track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Arcade,1Xi84slp6FryDSCbzq4UCD,2019-07-26T15:00:12Z,Arcade,2019-03-07,183624,77,Duncan Laurence,3klZnJvYGIbWritVwQD434,38376,67,dutch pop,0.45,0.32899999999999996,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3
neon,6OowiqIzUaMErs7eKAL9o8,2019-07-26T15:00:12Z,still sad still sexy,2019-07-26,205120,62,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,1212040,74,"art pop,chamber pop,electropop,folk-pop,indie pop,indietronica,pop,swedish electropop,swedish indie pop,swedish pop,tropical house",0.6459999999999999,0.747,2,-3.452,1,0.048,0.5770000000000001,0.0021899999999999997,0.12,0.6679999999999999,144.988,4
Emergency,1mLUvpjtP8RAZIt9KoZwvv,2019-07-26T15:00:12Z,Emergency,2018-02-09,208276,56,Jay Sean,4pADjHPWyrlAF0FA7joK2H,922831,69,"australian pop,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary",0.41200000000000003,0.355,1,-7.619,1,0.0325,0.7509999999999999,0.0,0.151,0.42100000000000004,82.24600000000001,4
Take Your Love,1Cxlad9pX88iFic9SjlqBt,2019-07-26T15:00:12Z,Take Your Love,2018-10-26,213480,57,Olly Murs,3whuHq0yGx60atvA2RCVRW,2475818,72,"dance pop,europop,pop,post-teen pop,talent show,tropical house,uk pop",0.731,0.698,1,-4.582,1,0.0592,0.0115,0.0,0.0393,0.743,110.11399999999999,4
If You Ever Want To Be In Love,02fZLz9BmmOKb5wkueM9D4,2019-07-26T15:00:12Z,Chaos And The Calm,2015-03-20,238973,53,James Bay,4EzkuveR9pLvDVFNx6foYD,2411575,79,"neo mellow,pop",0.684,0.8370000000000001,0,-5.46,1,0.0307,0.0276,2.98e-05,0.0627,0.565,115.94,4
sicker,7deKd2P0q8Wocasuten7I5,2019-07-26T15:00:12Z,sicker,2019-07-05,192555,50,laye,0Ae6oW3ISslTTIL7lIcCkn,2585,48,"canadian contemporary r&b,indie electro-pop,montreal indie",0.531,0.613,0,-6.455,1,0.044000000000000004,0.188,1.1599999999999999e-05,0.0942,0.142,144.969,4
Your Song,46AKrc7rPuEXL9QYr9eqFR,2019-07-26T15:00:12Z,Revamp: The Songs Of Elton John & Bernie Taupin,2018-04-06,256746,50,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,8534370,88,"dance pop,pop",0.486,0.486,9,-7.103,1,0.028999999999999998,0.345,0.0,0.139,0.184,128.768,4
Because of You,3PHYPaguCDKLK1a9cp3uXZ,2019-07-26T15:00:12Z,Breakaway,2004,218964,10,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,5287292,78,"australian pop,dance pop,neo mellow,pop,pop rock,post-teen pop,r&b,talent show",0.586,0.586,5,-5.314,0,0.0316,0.251,0.0,0.124,0.14400000000000002,139.915,4
Get You The Moon (feat. Snøw),4ZLzoOkj0MPWrTLvooIuaa,2019-07-26T15:00:12Z,Get You The Moon (feat. Snøw),2018-10-08,179080,82,Kina,4qIVPF0s71ZYW3qzhu5GkF,132232,75,lo-fi beats,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.14400000000000002,0.0895,118.917,4
The Archer,3Y7MHz19qCg1Pkxridtu1k,2019-07-26T15:00:12Z,The Archer,2019-07-23,211280,83,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21708543,92,"dance pop,pop,post-teen pop",0.271,0.5820000000000001,0,-9.412,1,0.0483,0.126,0.00262,0.0654,0.17600000000000002,124.499,4
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,2019-07-26T15:00:12Z,Unorthodox Jukebox,2012-12-07,213826,78,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,21917098,89,"pop,post-teen pop",0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.08800000000000001,0.387,72.795,4
Baby I Know,4JJqbtQagIxuemSxtPyMpk,2019-07-26T15:00:12Z,Baby I Know,2019-07-12,202520,49,Sam DeRosa,4xOi6SOP1jUoAeSfuPsfx0,949,44,,0.745,0.767,0,-4.643,0,0.0729,0.27,0.0,0.0778,0.767,105.95100000000001,4
Next To Me,7EUfNvyCVxQV3oN5ScA2Lb,2019-07-26T15:00:12Z,Evolve,2017-06-23,230288,13,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,20770600,91,"modern rock,rock",0.385,0.687,2,-4.426,1,0.0592,0.32799999999999996,0.00016299999999999998,0.0443,0.35100000000000003,113.669,4
Us,59z0L6S0GDNCiliSk3yiX0,2019-07-26T15:00:12Z,Sorry For Writing All The Songs About You,2018-09-14,177068,54,Clara Mae,6RHKEd9dpzQ4c09x8Zdaxu,47838,62,"dance pop,indie cafe pop,indie electro-pop,pop,post-teen pop,swedish pop",0.573,0.584,4,-6.574,1,0.047,0.315,1.19e-06,0.109,0.0805,114.84100000000001,4
