track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-21T04:01:00Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45951869,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
La Di Da,2YyvWje3cEYyqgYhNUIaBJ,2019-06-21T04:01:00Z,"Love, me",2018-11-17,209773,76,Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,102438,76,"canadian pop,dance pop,electropop,indie cafe pop,pop,post-teen pop",0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,4
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-06-21T04:01:00Z,i'm so tired...,2019-01-24,162582,90,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1349950,88,"dance pop,pop,post-teen pop",0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,4
Sixteen,4PkIDTPGedm0enzdvilLNd,2019-06-21T04:01:00Z,Sixteen,2019-04-12,201072,86,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6603700,87,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919,4
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-06-21T04:01:00Z,Rescue Me,2019-05-17,158899,89,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,7801346,87,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,2019-06-21T04:01:00Z,What I Like About You (feat. Theresa Rex),2019-03-22,220396,86,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2032728,87,"dance pop,edm,pop,tropical house,uk dance",0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,4
Stay Awake,6HZLMsw7ZdObf3Jk7lKAMX,2019-06-21T04:01:00Z,A Place We Knew,2019-03-22,185546,57,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,560246,83,"australian pop,pop",0.727,0.797,11,-7.956,0,0.0454,0.311,4.27e-05,0.0922,0.6,106.033,4
Wow.,6MWtB6iiXyIwun0YzU6DFP,2019-06-21T04:01:00Z,Wow.,2018-12-24,149520,92,Post Malone,246dkjvS1zLTtiykXe5h60,14789964,96,"dfw rap,pop,rap",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4
Let You Love Me,6xtcFXSo8H9BZN637BMVKS,2019-06-21T04:01:00Z,Let You Love Me,2018-09-21,190000,79,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,4403562,88,"dance pop,edm,pop,post-teen pop,r&b,tropical house,uk pop",0.531,0.854,10,-3.149,1,0.198,0.288,0,0.0773,0.456,94.419,4
Who Do You Love (with 5 Seconds of Summer),0u76qSAbFZPbOsBq5lIixm,2019-06-21T04:01:00Z,World War Joy,2019-05-31,226746,79,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12651203,91,"edm,electropop,pop,tropical house",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,4
"Hey Look Ma, I Made It",22oEJW6r2rMb9z4IntfyEa,2019-06-21T04:01:00Z,Pray for the Wicked,2018-06-22,169666,84,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,7188077,90,"baroque pop,emo,modern rock,pop punk",0.577,0.833,5,-3.337,1,0.0695,0.0137,0,0.121,0.58,107.936,4
Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,2019-06-21T04:01:00Z,Red Pill Blues (Deluxe),2018-06-15,235545,73,Maroon 5,04gDigrS5kc9YWfZHwBETP,18703860,90,pop,0.851,0.541,0,-6.825,1,0.0505,0.568,0,0.13,0.448,124.959,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-06-21T04:01:00Z,Piece Of Your Heart,2019-02-01,152913,72,MEDUZA,0xRXCcSX89eobfrshSVdyu,18667,81,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Can We Pretend (feat. Cash Cash),3O0e0LHTpza0rYVDbZfQ4r,2019-06-21T04:01:00Z,Can We Pretend (feat. Cash Cash),2019-04-11,224360,75,P!nk,1KCSPY1glIKqW2TotWuXOR,6519150,88,"dance pop,pop,post-teen pop,r&b",0.524,0.806,1,-3.447,0,0.406,0.197,0,0.101,0.45,115.172,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-06-21T04:01:00Z,SOS,2019-04-10,157202,88,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13802790,94,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-06-21T04:01:00Z,Ritual,2019-05-31,198995,84,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4414975,85,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,4
Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,2019-06-21T04:01:00Z,Electricity (with Dua Lipa),2018-09-06,238173,82,Silk City,2X97ZAqRKRMYFIDqtvGgGc,34246,73,"edm,house,tropical house",0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,4
Bruised Not Broken (feat. MNEK & Kiana Ledé),2ak79ho44RiDi9DFrqYgfq,2019-06-21T04:01:00Z,Bruised Not Broken (feat. MNEK & Kiana Ledé),2019-06-14,160909,68,Matoma,4YXycRbyyAE0wozTk7QMEq,465300,77,"dance pop,edm,electro house,pop,pop edm,tropical house",0.764,0.573,6,-4.385,1,0.0484,0.109,0,0.324,0.685,110.006,4
Bounce Back,5KPKjcE2trO2hBWRzkb2Mo,2019-06-21T04:01:00Z,Bounce Back,2019-06-14,160551,77,Little Mix,3e7awlrlDSwF3iM0WBjGMp,5996159,85,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.781,0.854,10,-4.115,0,0.074,0.0263,0.000216,0.344,0.41,103.021,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-06-21T04:01:00Z,"Don't Forget About Me, Demos",2018-10-16,177666,88,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,92643,79,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Broken & Beautiful (from the movie UGLYDOLLS),1Y9cAYTmyWJCcmfqdG2I29,2019-06-21T04:01:00Z,Broken & Beautiful (from the movie UGLYDOLLS),2019-03-27,218948,73,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,5085818,80,"australian pop,dance pop,neo mellow,pop,pop rock,post-teen pop,r&b,talent show",0.73,0.732,8,-2.556,1,0.0366,0.0823,0,0.0757,0.546,112.058,4
Open My Mouth,35d7zEy4yKgQwrmlCy69YB,2019-06-21T04:01:00Z,Open My Mouth,2019-06-07,155467,70,Kiiara,4u5smJBskI6Adzv08PuiUP,568247,74,"dance pop,electropop,indie poptimism,pop,post-teen pop",0.755,0.565,0,-9.76,0,0.0662,0.0651,3.46e-06,0.135,0.432,101.063,4
Forget to Forget,4E5IBDRu8kJbzUv1qaZM1t,2019-06-21T04:01:00Z,Forget to Forget,2018-05-25,155351,72,SHY Martin,7eCmccnRwPmRnWPw61x6jM,63825,72,"dance pop,electropop,indie cafe pop,indie electro-pop,indie poptimism,norwegian pop,pop,pop edm,swedish electropop",0.918,0.602,1,-8.891,1,0.0603,0.0732,1.94e-05,0.417,0.81,110.996,4
Talk,0rTV5WefWd1J3OwIheTzxM,2019-06-21T04:01:00Z,Talk,2019-02-07,197487,87,Khalid,6LuN9FCkKOj5PcnpouEgny,6941013,97,pop,0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-06-21T04:01:00Z,Never Really Over,2019-05-31,223523,91,Katy Perry,6jJ0s89eD6GaHleKKya26X,13151755,90,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
One Thought Away (feat. Wiz Khalifa),0uvoOTER9NSVvUyalNGEQP,2019-06-21T04:01:00Z,One Thought Away (feat. Wiz Khalifa),2019-04-12,174897,66,Asher Angel,48wfV4LAYtBe3r5SdjvjHX,72788,56,teen pop,0.72,0.749,3,-6.348,1,0.0747,0.116,0,0.274,0.247,90.017,4
One Touch,5EKiBMhzRLALeGDPdoAKkQ,2019-06-21T04:01:00Z,One Touch,2019-05-24,197875,79,Jess Glynne,4ScCswdRlyA23odg9thgIO,1594083,84,"dance pop,pop,post-teen pop,tropical house,uk pop",0.686,0.693,0,-6.245,0,0.131,0.329,0,0.136,0.699,124.206,4
Almost (Sweet Music),7nDYw1nNAW4dAqgmW2W3tq,2019-06-21T04:01:00Z,Almost (Sweet Music),2019-01-16,217480,38,Hozier,2FXC3k01G6Gw61bmprjgqS,3151509,83,"folk-pop,irish singer-songwriter,pop",0.384,0.689,7,-5.598,1,0.197,0.0217,2.24e-06,0.204,0.702,179.823,4
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,2019-06-21T04:01:00Z,Eastside (with Halsey & Khalid),2018-07-12,173799,86,benny blanco,5CiGnKThu5ctn9pBxv7DGa,278126,84,"dance pop,pop,tropical house",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391,4
Truth Hurts,5Qel1sTrU4LM8HlJSPT2jd,2019-06-21T04:01:00Z,Truth Hurts,2017-09-19,173325,64,Lizzo,56oDRnqbIiwx4mymNEv7dS,483165,88,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-06-21T04:01:00Z,Magnets EP,2019-05-24,174444,78,Sam Feldt,20gsENnposVs2I4rQ5kvrf,362745,79,"dance pop,deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
Feeling So Good,4GAFlFLouTialsJv1kiKaC,2019-06-21T04:01:00Z,Symptoms,2019-05-03,187160,67,Ashley Tisdale,2ddxtfC0oS8LoktXUHE7YL,631696,64,"dance pop,pop,post-teen pop,viral pop",0.727,0.702,4,-6.19,1,0.131,0.0991,9.42e-06,0.739,0.525,110.005,4
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-06-21T04:01:00Z,So Am I,2019-03-07,183026,89,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,410834,85,"dance pop,pop,post-teen pop",0.682,0.656,6,-4.67,1,0.0435,0.0737,0,0.353,0.607,130.089,4
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,2019-06-21T04:01:00Z,Sunflower (Spider-Man: Into the Spider-Verse),2018-10-18,158053,35,Post Malone,246dkjvS1zLTtiykXe5h60,14789964,96,"dfw rap,pop,rap",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,4
This Feeling (feat. Kelsea Ballerini),15kQGEy89K8deJcZVFEn0N,2019-06-21T04:01:00Z,Sick Boy...This Feeling,2018-09-18,199226,30,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12651203,91,"edm,electropop,pop,tropical house",0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,4
Bones (feat. OneRepublic),1pfgsjmxVZhoZpeDx6POKv,2019-06-21T04:01:00Z,Bones (feat. OneRepublic),2019-01-31,205792,81,Galantis,4sTQVOfp9vEMCemLw50sbu,2602685,80,"big room,dance pop,edm,electro house,pop,tropical house",0.658,0.804,0,-5.735,1,0.0377,0.00463,0,0.178,0.508,120.047,4
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-06-21T04:01:00Z,Happiness Begins,2019-06-07,183000,86,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2423293,91,"boy band,dance pop,pop,post-teen pop",0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-06-21T04:01:00Z,If I Can't Have You,2019-05-03,190800,95,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17394069,93,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-06-21T04:01:00Z,Dancing With A Stranger (with Normani),2019-01-11,171029,91,Sam Smith,2wY79sveU1sp5g7SokKOiI,8734341,91,"pop,post-teen pop",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-06-21T04:01:00Z,You Need To Calm Down,2019-06-14,171386,90,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20594646,94,"dance pop,pop,post-teen pop",0.767,0.681,2,-5.794,1,0.0501,0.0107,0,0.0707,0.726,85.003,4
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-06-21T04:01:00Z,"thank u, next",2019-02-08,190440,89,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,31108795,96,"dance pop,pop,post-teen pop",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999,4
Nobody,2qfEcCkEo5NscA9GL7ER72,2019-06-21T04:01:00Z,Nobody,2019-03-01,211040,77,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,496394,76,"big room,dance pop,edm,electro house,pop,pop edm,tropical house",0.673,0.687,6,-5.295,0,0.0623,0.269,0,0.181,0.524,96.964,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-06-21T04:01:00Z,TIM,2019-06-06,277261,89,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13802790,94,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
Woke Up Late (feat. Hailee Steinfeld),3qLBz3j26AHO2jBYUQWLA6,2019-06-21T04:01:00Z,Woke Up Late (feat. Hailee Steinfeld),2019-01-21,181859,74,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,31080,70,"australian pop,nz pop",0.698,0.66,2,-5.429,0,0.083,0.043,0,0.186,0.351,119.214,4
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-06-21T04:01:00Z,SHE IS COMING,2019-05-31,219080,88,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,8992177,89,"dance pop,pop,post-teen pop",0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,4
Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,2019-06-21T04:01:00Z,Sad Song (feat. TINI),2019-06-14,154024,76,Alesso,4AVFqumd2ogHFlRbKIjp1t,2830104,82,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.734,0.693,0,-6.474,1,0.0361,0.0878,0,0.341,0.55,110.021,4
Better,4SDeLyW1YUKuUn3xEU0MFD,2019-06-21T04:01:00Z,Better,2018-09-13,229412,65,Khalid,6LuN9FCkKOj5PcnpouEgny,6941013,97,pop,0.683,0.562,0,-10.315,0,0.0605,0.086,0.279,0.12,0.149,98.027,4
Bouncin (feat. Offset),1YWnrz4pqjtt2zlEOuDIFg,2019-06-21T04:01:00Z,Myself,2019-06-07,172493,70,Kiana Ledé,7jZMxhsB8djyIbYmoiJSTs,263746,74,"alternative r&b,dance pop,deep pop r&b,indie r&b,pop,post-teen pop,r&b",0.941,0.563,8,-8.494,1,0.307,0.12,2.78e-05,0.105,0.724,100.978,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-06-21T04:01:00Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,89,Kygo,23fqKkggKUBHNkbKtXEls4,5014160,90,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
Joy,3QpkbrYXtlU3LRJu3sTK6V,2019-06-21T04:01:00Z,Joy,2019-05-02,192522,78,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,3610460,87,"metropopolis,modern rock,pop",0.559,0.915,9,-4.811,1,0.132,0.222,0,0.113,0.361,117.914,4
Cynic,6IW6mD0OrfYXXkTgdLBQ83,2019-06-21T04:01:00Z,Busyhead,2019-06-14,208493,62,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,118133,75,"australian pop,electropop,folk-pop,indie cafe pop,indie folk,modern rock,neo mellow,pop",0.784,0.692,5,-5.634,1,0.0338,0.23,1.14e-06,0.325,0.962,103.007,4
Just You and I,2n48BjaFSczfeIG3HaIaPv,2019-06-21T04:01:00Z,Just You and I,2019-01-11,174982,79,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,422588,80,"indie anthem-folk,pop",0.567,0.696,9,-5.416,1,0.301,0.456,0,0.113,0.544,92.061,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-06-21T04:01:00Z,World War Joy,2019-05-31,217653,89,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12651203,91,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
Happy Now,14sOS5L36385FJ3OL8hew4,2019-06-21T04:01:00Z,Happy Now,2018-10-26,211362,83,Kygo,23fqKkggKUBHNkbKtXEls4,5014160,90,"edm,pop,tropical house",0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,4
