track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Love Me,7Aem1fAapTdGcHwAYyQYU4,2019-08-02T04:01:00Z,Love Me,2019-07-15,117680,77,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,289596,85,trap music,0.715,0.435,11,-10.325,0,0.251,0.67,0,0.106,0.801,204.077,4
Gang,5eWYhusHCbD6GQS9Ctac6I,2019-08-08T22:03:00Z,Gang,2019-08-09,210000,45,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,1207158,83,trap music,0.768,0.618,6,-7.471,0,0.34,0.0247,0,0.131,0.54,160.032,4
F.N,0UPBidRYcgJ2mjZlk08V8x,2019-08-08T22:03:00Z,F.N,2019-08-09,224000,57,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,269182,81,nyc rap,0.562,0.502,6,-10.269,0,0.255,0.323,0,0.0757,0.322,120.104,1
Baby,2nKYHpmwjLaEOXS3o7QMiz,2019-08-02T04:01:00Z,Baby,2019-07-17,142417,81,Quality Control,6i392l38cR3uBPF0DbNs7S,345661,77,"hip hop,pop,pop rap,rap,southern hip hop,trap music,vapor trap",0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,4
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,2019-08-08T22:03:00Z,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019-08-09,199427,68,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,284931,79,"hip pop,houston rap,pop,r&b,trap queen",0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,4
Bussin (feat. Lil Pump),4eZKAB9uNMIG0yNri34PBp,2019-08-08T22:03:00Z,Dirt Bag,2019-08-09,134666,57,Blueface,3Fl1V19tmjt57oBdxXKAjJ,942945,83,cali rap,0.918,0.657,8,-7.938,1,0.257,0.0102,0,0.143,0.659,106.988,4
Pretty Bitches (feat. G-Eazy & Bree Carter),1DJeN9JIHqYBxw2qKvOOIk,2019-08-09T04:01:00Z,On God,2019-08-09,242549,37,RJMrLA,6kQWPGBItT0oMCHZy3M9DN,51189,57,"cali rap,west coast trap",0.937,0.68,1,-4.525,1,0.149,0.0224,0.00065,0.0788,0.468,95.017,4
"Costa Rica (feat. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",1MJYFJ2igOWZpTo2kDcolx,2019-08-02T04:01:00Z,ROTD3.COM,2019-07-01,217866,59,Dreamville,1iNqsUDUraNWrj00bqssQG,116733,83,"hip hop,pop rap,rap,trap music",0.832,0.648,7,-6.383,0,0.37,0.532,0,0.0705,0.624,120.933,4
BIG,2qSpOQdHmHpOcVXzV9WU5w,2019-08-10T16:14:17Z,BIG,2019-06-28,224663,56,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,744738,63,"lgbtq+ hip hop,nyc rap,rap,trap music",0.86,0.507,0,-5.776,0,0.369,0.0412,6.55e-06,0.13,0.15,85.005,4
Broke As Fuck,1faIb3PPSzEifCHUOJ691R,2019-08-02T04:01:00Z,The Lost Boy,2019-07-26,196111,73,YBN Cordae,0huGjMyP507tBCARyzSkrv,610819,81,"dmv rap,hip hop,pop rap,rap,trap music,underground hip hop",0.616,0.669,1,-5.791,1,0.32,0.0298,0,0.127,0.275,154.056,4
Did It Again,01Qb6dN5suQNu87VJ1mIpf,2019-08-05T20:43:36Z,Did It Again,2019-07-24,116240,73,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,289596,85,trap music,0.699,0.575,1,-9.922,1,0.159,0.218,0,0.112,0.234,148.767,4
Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,2019-08-02T04:01:00Z,Shotta Flow (Feat. Blueface) [Remix],2019-06-20,176631,83,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,288960,81,memphis hip hop,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,4
Anything Can Happen (feat. Meek Mill),04VO6VICgMJgTe2dLxFBoW,2019-08-08T22:03:00Z,Anything Can Happen (feat. Meek Mill),2019-08-09,184690,53,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,141666,74,"rap,trap music,trap soul,underground hip hop",0.651,0.805,2,-6.577,1,0.0486,0.0164,0,0.344,0.136,138.018,4
Ready Set Go (feat. 03 Greedo & XXXTENTACION),5Iz8Iz5jdWwW95JusFxGrC,2019-08-02T04:01:00Z,MISUNDERSTOOD,2019-07-24,181301,62,Yung Bans,6WkUZyqghQei2G809wMKuZ,316444,71,"rap,southern hip hop,trap music,underground hip hop,vapor trap",0.675,0.598,6,-5.784,0,0.0456,0.0759,0,0.241,0.28,145.122,4
Hold Up (feat. Takeoff),4vRa2VvGJ9AWhsNYnzEXlT,2019-08-08T22:03:00Z,Bumps & Bruises (Deluxe),2019-08-09,165929,48,Ugly God,3Fdm9TFJQCLmC3AWMuGExi,1545685,67,"rap,southern hip hop,trap music,underground hip hop,vapor trap",0.828,0.317,1,-11.264,1,0.523,0.242,0,0.126,0.482,81.015,4
Toast 2 That (feat. Freddie Gibbs),5NfNMivWsKYBw3KrHfwVXj,2019-08-09T14:10:49Z,Toast 2 That (feat. Freddie Gibbs),2019-08-07,187485,46,Cousin Stizz,0KpCz7V5XRkqKuM1JDf56O,120149,60,"boston hip hop,deep underground hip hop,rap,southern hip hop,trap music,underground hip hop,vapor trap",0.776,0.751,8,-4.489,1,0.196,0.061,1.23e-05,0.175,0.245,126.023,4
Ransom,1xbtojAZsQjOgiGdGX6ChU,2019-08-02T04:01:00Z,Ransom,2019-05-22,131248,70,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,289596,85,trap music,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
