track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Unjudge Me (feat. Moneybagg Yo),4oV9EnNYheczqyY7bqareU,2019-05-24T04:01:00Z,Unjudge Me (feat. Moneybagg Yo),2019-05-17,206453,57,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,63387,76,chicago rap,0.7040000000000001,0.718,0,-7.042000000000001,1,0.12,0.308,0.0,0.342,0.43700000000000006,148.998,4
Same Yung Nigga (feat. Playboi Carti),1q9jq5X5vwmewjOa2mHtQ1,2019-05-24T04:01:00Z,Drip or Drown 2,2019-02-22,180934,76,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,1079279,88,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap music",0.852,0.568,1,-9.202,0,0.344,0.183,0.0,0.0993,0.504,81.52600000000001,4
Goin Baby,3WyRgi8CzQnhzO0xw79tTS,2019-05-24T04:01:00Z,Baby On Baby,2019-03-01,141826,80,DaBaby,4r63FhuTkUYltbVAg5TQnk,268209,83,"nc hip hop,rap,southern hip hop,trap music",0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.6779999999999999,132.906,4
Price On My Head (feat. The Weeknd),4RbbzNY4MEcgzewYWkIsGu,2019-05-24T04:01:00Z,Bad Habits,2019-03-22,217775,61,NAV,7rkW85dBwwrJtlHRDkJDAC,1365438,85,"canadian hip hop,pop,pop rap,rap,southern hip hop,trap music",0.768,0.574,6,-6.104,0,0.136,0.384,1.65e-05,0.336,0.278,74.949,4
I Like Girls (feat. Lil Skies),4KXDT3pmPDB9IB6hTUoGpd,2019-05-24T04:01:00Z,I Like Girls (feat. Lil Skies),2019-03-21,155093,74,PnB Rock,21WS9wngs9AqFckK7yYJPM,1897498,83,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.701,0.768,1,-3.531,1,0.22899999999999998,0.354,0.0,0.14800000000000002,0.7240000000000001,178.15099999999998,4
Talkin' My Shit,1H4pOx4uI7BdxM2RL3D99f,2019-05-24T04:01:00Z,Talkin' My Shit,2019-02-22,162819,65,Quin Nfn,3M1quhETLChtt9NHKVaajX,19090,57,,0.951,0.322,1,-13.615,1,0.588,0.0013599999999999999,0.0,0.21100000000000002,0.366,126.01,4
Trap (feat. Lil Baby),0mnVrUP1TAoO223C0N2NYI,2019-05-24T04:01:00Z,Trap (feat. Lil Baby),2019-02-28,184699,69,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,120068,68,"pop,rap,southern hip hop,trap music,trap soul,underground hip hop",0.792,0.8390000000000001,0,-2.887,1,0.0429,0.0862,0.0,0.19399999999999998,0.354,116.985,4
Valentino,0c7K73roy6RW4ebDkf4yGh,2019-05-24T04:01:00Z,Valentino,2019-01-25,179133,62,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,2965,52,cali rap,0.745,0.718,9,-4.853,0,0.183,0.19699999999999998,0.0,0.134,0.539,151.097,4
Have Mercy,6fIMvZ2JA9kuQG8IuDgWMM,2019-05-24T04:01:00Z,Have Mercy,2019-03-08,189400,77,YBN Cordae,0huGjMyP507tBCARyzSkrv,469241,75,"dmv rap,pop rap,rap,trap music,underground hip hop,vapor trap",0.772,0.385,0,-8.037,0,0.324,0.0309,0.0,0.647,0.36200000000000004,137.96200000000002,4
Walk (Remix),35l8ivgXiWiDCv7TCZ50Da,2019-05-24T04:01:00Z,Walk (Remix),2019-03-18,186517,72,Comethazine,1iJdyDcY98X3GMnUesl7tf,434976,75,"trap music,underground hip hop,vapor trap",0.813,0.586,2,-10.478,1,0.379,0.0547,0.0,0.23800000000000002,0.7979999999999999,160.043,4
Move It (feat. Offset),6hgEAYd3CimkLdOa4VgwTw,2019-05-24T04:01:00Z,Move It (feat. Offset),2019-03-15,171826,57,Lil Keed,3uJx5SnOM59Li7lCxA3b29,39524,67,"atl trap,rap,southern hip hop,trap music,vapor trap",0.9640000000000001,0.39,1,-8.812000000000001,1,0.308,0.0936,0.0,0.0929,0.106,122.99,4
