track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Fell In Love,1whwcizOjzpi5xK4FlWQF8,2019-08-23T04:01:20Z,Fell In Love,2019-08-23,164040,47,Shoreline Mafia,4tYSBptyGeVyZsk8JC4JHZ,365542,75,"cali rap,underground hip hop,vapor trap",0.922,0.726,4,-6.268,0,0.255,0.198,3.74e-05,0.0579,0.491,105.99700000000001,4
My Type (feat. City Girls & Jhené Aiko) - Remix,5LTdRSQOg63EazLbKZbWn2,2019-08-23T04:01:20Z,My Type (feat. City Girls & Jhené Aiko) [Remix],2019-08-23,172313,51,Saweetie,6cK3NBO6uP7hh0oyuVELFl,402133,77,"cali rap,pop,pop rap,trap queen",0.925,0.904,2,-3.362,1,0.201,0.00782,0.0,0.109,0.758,105.02,4
85 to Africa,2TF0kVvksniUGEdwnBSw2v,2019-08-23T04:01:20Z,85 to Africa,2019-08-23,143331,48,Jidenna,4TsHKU8l8Wq7n7OPVikirn,302111,65,ghanaian hip hop,0.642,0.6940000000000001,11,-6.104,1,0.364,0.000335,0.0,0.312,0.568,106.41,4
Reverend,4BYPnNTZkGpnd5Odm2JFpT,2019-08-23T04:01:20Z,Reverend,2019-08-23,156677,48,Smino,1ybINI1qPiFbwDXamRtwxD,253477,74,"alternative r&b,hip hop,pop rap,rap,underground hip hop",0.672,0.495,7,-8.704,1,0.47600000000000003,0.153,0.0,0.6709999999999999,0.6659999999999999,154.986,4
Pop My Shit (feat. Lil Keed) - Remix,7sfGOrHS7jUQqbzpCnseXU,2019-08-23T04:01:20Z,Pop My Shit (Remix) [feat. Lil Keed],2019-08-20,257638,41,Lil Gotit,4ke9HXbejpYVMhbOjSa4le,53560,62,"atl trap,rap,southern hip hop,trap music,vapor trap",0.752,0.635,10,-3.017,0,0.0452,0.20800000000000002,0.0,0.163,0.9,135.961,4
Sauce (feat. Lil Keed),1BbKYZMQHYk0g3CEkZw5MD,2019-08-23T04:01:20Z,Sauce (feat. Lil Keed),2019-08-23,171973,33,Kid Buu,0cIbGrllcQSKTM3AxUxHiL,44090,46,,0.84,0.768,1,-5.245,1,0.11599999999999999,0.0408,0.0,0.304,0.27399999999999997,134.02700000000002,4
Action (feat. Lil Gotit),7atIOHQWNZtVerj17DjwL9,2019-08-23T04:01:20Z,Action (feat. Lil Gotit),2019-08-21,221342,40,Yung Mal,6m0MLa2Q5RwIF8R7nwQkQ2,16376,47,"atl trap,vapor trap",0.857,0.513,1,-8.492,1,0.449,0.0589,0.0,0.204,0.337,139.971,4
Babouche (feat. GoldLink),2tN0dnN3wdgyIYvHbSGHiw,2019-08-23T19:04:48Z,85 to Africa,2019-08-23,166870,49,Jidenna,4TsHKU8l8Wq7n7OPVikirn,302111,65,ghanaian hip hop,0.828,0.706,2,-5.678,1,0.0708,0.146,1.2e-06,0.0608,0.556,92.976,4
Prada Process (feat. 6LACK),4bJpr0Ed3TUYfM3FYbpOEi,2019-08-23T04:01:20Z,Prada Process (feat. 6LACK),2019-08-23,196551,42,Guapdad 4000,0NcPKaSNIHAM2RfioH9vMT,10532,73,cali rap,0.6559999999999999,0.632,1,-6.565,0,0.434,0.402,0.0,0.111,0.561,85.83,4
Monica Lewinsky (feat. A Boogie wit da Hoodie),1rS0eq80peCPCgfT2t0Kmm,2019-08-23T04:01:20Z,Ghetto Lenny's Love Songs,2019-08-23,200474,52,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,149224,77,"rap,trap music,underground hip hop",0.8290000000000001,0.521,10,-5.582999999999999,1,0.138,0.858,0.0,0.13,0.36700000000000005,106.016,4
Magic,4bBwDzD6WUTVJX7Ea79xpB,2019-08-23T04:01:20Z,Magic,2019-08-15,169127,57,Rory Fresco,2R7Qt4vj8nbZzPDGv8sTqv,2194,49,,0.6859999999999999,0.589,2,-6.777,1,0.0532,0.19899999999999998,1.18e-05,0.171,0.154,149.077,4
LV Smoke,65APBxUtoaJnO97ohduFmD,2019-08-23T04:01:20Z,LV Smoke,2019-08-22,151514,44,Ryan Trey,5YHM0i7v5TqqibZhS0YiuX,21228,57,"alternative r&b,canadian hip hop,trap soul",0.767,0.6729999999999999,3,-6.417000000000001,0,0.0609,0.662,0.0,0.23600000000000002,0.9259999999999999,114.079,4
THRU THE NIGHT (feat. Bryson Tiller),1XRaT5DqbSipsS1YcubfDA,2019-08-23T04:01:20Z,THRU THE NIGHT (feat. Bryson Tiller),2019-08-21,128409,55,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,65606,60,"deep underground hip hop,underground hip hop",0.88,0.58,5,-5.032,0,0.0438,0.016,3.83e-06,0.0936,0.754,124.00299999999999,4
Big Homie,2cm7ApASoZdkhnJxvkMqfy,2019-08-23T05:41:54Z,Big Homie,2019-08-23,165818,31,OMB Peezy,1QdCkPulANBEZiaiAyLkak,155037,57,"alabama rap,cali rap,deep southern trap,southern hip hop,trap music,west coast trap",0.812,0.569,5,-8.228,1,0.111,0.22899999999999998,0.0,0.0823,0.336,110.146,4
INVENTED IT,6xxvhqxfBAhAOsf8OJ5shT,2019-08-23T04:01:20Z,DIE FOR MY BITCH,2019-07-19,90240,44,Baby Keem,5SXuuuRpukkTvsLuUknva1,5600,57,,0.86,0.662,7,-7.864,1,0.29600000000000004,0.0374,8.64e-06,0.0742,0.48200000000000004,96.01299999999999,4
Number 1,52XnuWJl9Ve1yS20tEkl0w,2019-08-23T04:01:20Z,Ten-Eight,2019-08-23,164571,30,G Perico,4Q2hTDZYFCohf17D5GvkIb,33759,55,"cali rap,west coast trap",0.9009999999999999,0.695,7,-2.904,1,0.255,0.0223,2.58e-05,0.0653,0.505,90.995,4
Hot Sauce,7r2ay8Pgbj9yZYUAPj6zqh,2019-08-23T04:01:20Z,Hot Sauce,2019-08-23,126640,32,Lil West,59dLTffLsw2ljmCiD8O1JX,7057,52,vapor trap,0.8959999999999999,0.40399999999999997,7,-8.084,1,0.0461,0.0603,1.76e-06,0.0857,0.34700000000000003,100.041,4
