track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Better When You're Gone,4Tvw0lweq9l2JPQKFbpbBQ,2019-06-20T22:01:00Z,Better When You're Gone,2019-02-08,192402,79,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18993825,91,"dance pop,edm,pop",0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,4
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,2019-06-20T22:01:00Z,High On Life (feat. Bonn),2018-07-29,230761,80,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10424676,89,"big room,edm,pop,progressive house,tropical house",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,4
Happy Now,14sOS5L36385FJ3OL8hew4,2019-06-20T22:01:00Z,Happy Now,2018-10-26,211362,83,Kygo,23fqKkggKUBHNkbKtXEls4,5014160,90,"edm,pop,tropical house",0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,4
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,2019-06-20T22:01:00Z,I Found You (with Calvin Harris),2018-11-02,191495,75,benny blanco,5CiGnKThu5ctn9pBxv7DGa,278125,84,"dance pop,pop,tropical house",0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,3Mong1BzxMKwTZ0SbfLdcQ,2019-06-20T22:01:00Z,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],2019-03-08,156167,67,Clean Bandit,6MDME20pz9RveH9rEXvrOM,2867622,84,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",0.684,0.95,1,-2.588,0,0.0809,0.0207,1.25e-06,0.105,0.436,125.974,4
Don't Worry Bout Me - Rudimental Remix,4R7ZSlYoJOIaxHJFHszQCR,2019-06-20T22:01:00Z,Don't Worry Bout Me (Rudimental Remix),2019-04-24,193137,66,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5256765,85,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.728,0.848,5,-6.248,1,0.185,0.0427,4.49e-06,0.118,0.612,124.993,4
Don’t Tell Me,7gq9Mo03Zr417T2C5sgR03,2019-06-20T22:01:00Z,Don't Tell Me,2019-01-18,173571,64,Matisse & Sadko,2QMCcKIPHnjQaPPgoEst88,57523,68,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house",0.597,0.785,4,-3.219,0,0.04,0.113,0,0.336,0.575,126.002,4
Save Me Tonight,1nufXiTCTTAeJfO9hLHvO8,2019-06-20T22:01:00Z,Save Me Tonight,2019-01-25,170079,68,ARTY,1rSGNXhhYuWoq9BEz5DZGO,120770,69,"big room,edm,electro house,pop edm,progressive electro house,progressive house,progressive trance,trance,tropical house,uplifting trance",0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,4
Grapevine,6EXl6ZF6rXm6qCsKeizJ1b,2019-06-20T22:01:00Z,Grapevine,2018-10-26,150967,24,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4414975,85,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.714,0.828,3,-4.663,1,0.0598,0.00514,0.154,0.32,0.208,124.034,4
Someone Like You,0gmQSIM2zqcVm9eKm8BkQm,2019-06-20T22:01:00Z,Someone Like You,2019-04-12,175714,60,Klaas,25sJFKMqDENdsTF7zRXoif,41130,68,"edm,german dance,pop house,tropical house",0.718,0.775,9,-5.742,1,0.078,0.27,1.59e-05,0.375,0.244,125.935,4
Won't Let Go,4LQpxVBNvFI1QC9Q34G2sl,2019-06-20T22:01:00Z,Won't Let Go,2018-11-16,159310,65,Lucas Estrada,2tndYCXQneCV4jtoWRwVpz,23885,68,"deep house,deep pop edm,deep tropical house,edm,pop,pop edm,swedish tropical house,tropical house",0.675,0.792,8,-4.725,1,0.0347,0.0455,1.05e-05,0.107,0.403,116.076,4
Home,3Qsp2uAtcDCrrlknJtUPj8,2019-06-20T22:01:00Z,Home,2018-07-20,189834,56,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,229831,73,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.544,0.932,10,-5.816,0,0.0679,0.00851,0.00811,0.157,0.337,125.954,4
Think About You - Galantis Remix,4fC6tDEFmSBBCRBUOPeQ8b,2019-06-20T22:01:00Z,Think About You (Galantis Remix),2019-04-12,181040,66,Kygo,23fqKkggKUBHNkbKtXEls4,5014160,90,"edm,pop,tropical house",0.621,0.898,10,-4.569,1,0.0401,0.0976,1.08e-05,0.404,0.332,124.018,4
Alive (feat. ILY),55Tom2dk5sMx1UTJPiTUbX,2019-06-20T22:01:00Z,Alive (feat. ILY),2018-10-19,176509,64,Jack Wins,5v8ZROs9c26k4yGMxUkebt,9886,63,"deep groove house,edm,house,pop edm,tropical house",0.633,0.842,0,-4.261,1,0.0566,0.0101,0.00167,0.166,0.287,124.008,4
Figure Out,1TjW3jIJQ3DmvBGTRWAFJ1,2019-06-20T22:01:00Z,Figure Out,2019-01-04,158880,59,Klaas,25sJFKMqDENdsTF7zRXoif,41130,68,"edm,german dance,pop house,tropical house",0.645,0.893,10,-5.245,0,0.0537,0.017,0.000126,0.321,0.773,124.923,4
Letting Go,1S7hEPenrIVKVTuEjtXKz9,2019-06-20T22:01:00Z,Letting Go,2019-06-07,192088,65,Hogland,5s21IKPvmxRf9WxpO8H5UB,13209,63,"deep pop edm,pop edm,swedish tropical house,tropical house",0.667,0.635,6,-5.924,1,0.0365,0.0534,0,0.0963,0.217,119.948,4
Wild Wild Son - Club Mix,2Fgo49RzWsVWKcwAksPWq8,2019-06-20T22:01:00Z,Wild Wild Son (Club Mix),2018-10-19,218200,45,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2876962,82,"edm,progressive house,progressive trance,trance",0.526,0.867,5,-4.332,0,0.0659,0.00138,0.00064,0.0975,0.12,132.106,4
My Way - Marcus Santoro Remix,29pQasEiyy3Otgq55dzyTt,2019-06-20T22:01:00Z,My Way (ft. Alice Berg) [Marcus Santoro Remix],2019-03-19,181147,38,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,1627108,74,"big room,dance pop,deep big room,edm,electro house,pop,pop edm,progressive electro house,progressive house,tropical house",0.563,0.882,1,-4.755,0,0.0596,0.0122,2.09e-06,0.0641,0.296,125.043,4
Do It Again,5VIHM44vAtlPVGwKJBR29p,2019-06-20T22:01:00Z,Do It Again,2018-07-20,194098,10,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,56620,59,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,sky room",0.575,0.954,1,-3.093,0,0.0442,0.0176,0.0506,0.0611,0.0882,124.978,4
Ocean (feat. Khalid) - DubVision Remix,5hxIWOdB3YAwuRMcdYUXNB,2019-06-20T22:01:00Z,Ocean (feat. Khalid) [Remixes Vol. 1],2018-07-20,315000,64,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10424676,89,"big room,edm,pop,progressive house,tropical house",0.611,0.835,3,-4.686,1,0.0558,0.0192,8.92e-06,0.0963,0.499,127.978,4
