track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,2019-05-10T11:46:23Z,Whenever (feat. Conor Maynard),2018-06-22,163636,78,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,72058,74,"dutch house,dutch pop,tropical house",0.7340000000000001,0.765,7,-5.562,1,0.0621,0.151,0.0,0.231,0.518,109.98899999999999,4
All For Love - Luca Schreiner Remix,6dzyIO2KpLofsypXbLGOWw,2019-05-10T11:46:23Z,All For Love (Luca Schreiner Remix),2018-07-20,178560,65,Tungevaag & Raaban,4cSYNpczcvTUpnPMFDLsIc,238507,70,"dance pop,deep pop edm,edm,norwegian pop,pop,tropical house",0.655,0.718,7,-6.5360000000000005,1,0.0518,0.00801,0.0,0.0603,0.358,125.045,4
Hold On Tight - Owen Norton Remix,1EFBbqHQArKnejv3k1544p,2019-05-10T11:46:23Z,Hold On Tight (Owen Norton Remix),2018-07-19,194638,38,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1632051,82,"big room,dance pop,dutch house,edm,electro house,pop,pop edm,progressive electro house,tropical house",0.457,0.9440000000000001,5,-3.338,1,0.0671,0.023,4.44e-05,0.122,0.366,126.616,3
Make Me Yours,3G2O60rq5a77GEIwK1mVmh,2019-05-10T11:46:23Z,Make Me Yours,2018-07-20,195239,69,Borgeous,4uiMn2g0pgTrhN096QJhbp,452510,66,"big room,dance pop,deep big room,edm,electro house,pop edm,progressive electro house,progressive house,tropical house",0.5770000000000001,0.615,7,-6.084,0,0.0395,0.0124,1.33e-06,0.124,0.174,127.904,4
Body,21RzyxY3EFaxVy6K4RqaU9,2019-05-10T11:46:23Z,Body,2017-10-27,163216,81,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,106056,78,"dance pop,edm,house,pop,tropical house",0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.5820000000000001,121.958,4
Truest Lies (feat. Karra) - Retrovision Remix,1coa6o9ko4mdpFajF6daS4,2019-05-10T11:46:23Z,Hagrid the Giant (feat. Ron),2019-04-13,204375,53,Far Out,7aB2KbM3pphL9mU3dXbyh2,23055,57,"bass trap,pop edm,tracestep,traprun",0.58,0.83,2,-5.756,1,0.14300000000000002,0.21100000000000002,0.0,0.147,0.267,127.866,4
Dancing in the Moonlight,5ow0sNF1zSqp71Ix5jEXWU,2019-05-10T11:46:23Z,Dancing in the Moonlight,2018-06-22,164009,75,Jubël,4FcZfItjVIsfO9TynErl7X,5808,65,swedish pop,0.659,0.617,11,-5.862,0,0.0649,0.27,0.0,0.187,0.187,119.85799999999999,4
Forever Young,0o9bHFc8Lt5tZFvTjNZTNf,2019-05-10T11:46:23Z,Forever Young,2018-07-27,167911,72,John De Sohn,3TVjdmhfFoYJLgBEkkZTBm,62195,66,"big room,dance pop,deep pop edm,edm,progressive electro house,swedish pop,swedish tropical house,tropical house",0.6509999999999999,0.617,8,-6.077000000000001,1,0.0309,0.179,0.0,0.113,0.591,121.977,4
California,2i1e4VbiH770F8dD3sG3jH,2019-05-10T11:46:23Z,California,2018-04-27,169157,25,Hot Shade,3GtCKJA4SkOxN65MWjm82R,21808,66,"deep pop edm,deep tropical house,swedish pop,tropical house",0.604,0.732,7,-3.966,1,0.0536,0.0215,0.0,0.402,0.619,119.945,4
Stay Up,0yHbRupKbD9LF7bHWVGyzi,2019-05-10T11:46:23Z,Stay Up,2018-06-29,162222,63,Sophie Francis,0NQJm4Wlz3rrDJGlQ28L81,22043,56,"big room,deep big room,electro house,pop edm,sky room",0.635,0.8140000000000001,7,-4.578,0,0.0588,0.0361,0.0,0.052000000000000005,0.502,108.206,4
Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,2019-05-10T11:46:23Z,Promises (with Sam Smith),2018-08-17,213309,86,Calvin Harris,7CajNmpbOovFoOoasH2HaY,16593564,90,"edm,electro house,house,pop,progressive house,uk dance",0.7809999999999999,0.768,11,-5.9910000000000005,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,4
I Love You - Chace Remix,5Qg3mcAypVOmLM0PLc1Usz,2019-05-10T11:46:23Z,I Love You (Chace Remix),2017-04-28,173182,11,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,1767290,75,"big room,dance pop,edm,electro house,pop,tropical house",0.7959999999999999,0.627,0,-5.928,1,0.24600000000000002,0.062,1.58e-06,0.0934,0.555,114.98899999999999,4
One Kiss - Oliver Heldens Remix,4dHuU8wSvtek4sxRGoDLpf,2019-05-10T11:46:23Z,One Kiss (Remixes),2018-06-22,281266,15,Calvin Harris,7CajNmpbOovFoOoasH2HaY,16593564,90,"edm,electro house,house,pop,progressive house,uk dance",0.7170000000000001,0.752,0,-6.933,1,0.065,0.251,0.000468,0.0802,0.14,123.97,4
Take This Ride,42ClGAGFKq3p5D8gQZvfBa,2019-05-10T11:46:23Z,Take This Ride,2018-05-25,203841,18,Vigiland,3tLYpanVDomWAZqF82NPds,176824,71,"dance pop,edm,electronic trap,tropical house",0.608,0.536,8,-5.355,0,0.0469,0.00704,3.59e-05,0.46,0.16699999999999998,112.035,4
Your Love,0tgbSxoFjZ20MjfoKwWevV,2019-05-10T11:46:23Z,Your Love,2018-06-14,185620,73,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18584048,90,"dance pop,edm,pop",0.5710000000000001,0.937,2,-2.682,0,0.0336,0.0997,0.496,0.125,0.512,125.027,4
Stop Being Yourself,2ewW50QGufVvqP959lB8F9,2019-05-10T11:46:23Z,Next Season,2018-05-04,249756,65,Felix Cartal,6roDXEmZ6AARdOUv6x5U2v,42330,66,"big room,canadian electronic,deep tropical house,edm,electro house,electropop,indie poptimism,pop edm,tropical house",0.662,0.73,10,-5.407,1,0.0615,0.0127,0.0,0.203,0.23199999999999998,122.96,4
Like I Do,6RnkFd8Fqqgk1Uni8RgqCQ,2019-05-10T11:46:23Z,Like I Do,2018-02-22,202500,77,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18584048,90,"dance pop,edm,pop",0.635,0.9,0,-3.719,0,0.0377,0.006640000000000001,0.0145,0.37,0.15,127.978,4
Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,2019-05-10T11:46:23Z,Jackie Chan,2018-05-18,215759,83,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4325703,82,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.747,0.8340000000000001,3,-2.867,0,0.045,0.374,0.0,0.0586,0.687,128.005,4
Sweet Dreams (feat. Kaleena Zanders),4BKlUinuIllRwKce1DAY0P,2019-05-10T11:46:23Z,Sweet Dreams (feat. Kaleena Zanders),2018-05-04,159375,66,Breathe Carolina,53M4Iv2RkzzxFFvW2B1jhC,260364,66,"big room,deep big room,edm,electropowerpop,emo,neon pop punk,pop edm,pop punk,screamo,trancecore",0.5489999999999999,0.963,3,-1.182,1,0.0594,0.0375,7.47e-06,0.429,0.42200000000000004,128.05100000000002,4
Just For A Moment (feat. Iselin),4JAX1qhCBGkO1IM9woosbZ,2019-05-10T11:46:23Z,Just For A Moment (feat. Iselin),2018-06-22,254556,21,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,254374,76,"dance pop,edm,electro house,indie poptimism,pop,pop edm,tropical house",0.534,0.77,1,-6.324,0,0.0549,0.0145,8.74e-06,0.27899999999999997,0.41,144.04,4
On My Mind - Deepend Remix,0biQw3X8RatfWe4IBY8F0Z,2019-05-10T11:46:23Z,On My Mind (Deepend Remix),2017-09-22,189836,62,Disciples,5EehXjjMktLuJmbRsM7YfB,156989,68,"deep groove house,disco house,edm,house,tropical house,uk dance",0.701,0.833,0,-6.586,0,0.05,0.00418,0.000133,0.34600000000000003,0.20600000000000002,122.03399999999999,4
Dancing Alone,5xzzxWj8a1YBbNZhNLqWuQ,2019-05-10T11:46:23Z,Dancing Alone,2018-06-29,253770,69,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,1767290,75,"big room,dance pop,edm,electro house,pop,tropical house",0.6990000000000001,0.94,8,-5.968999999999999,0,0.20800000000000002,0.0853,0.0,0.336,0.652,122.079,3
