track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Alive,2rPJcL8gQauA2nBdRyNZZL,2019-07-18T22:01:00Z,Alive,2018-11-16,180468,55,Paris Blohm,5lXf3xjcLx6BmYMY6TvczJ,51658,53,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house,sky room",0.494,0.847,0.0,-3.9960000000000004,0.0,0.0537,0.00248,0.0,0.0502,0.14800000000000002,129.909,4.0
Bloodshot,3EZFmxil8IXOIL0De8etDN,2019-07-18T22:01:00Z,Bloodshot,2019-06-28,195343,62,Mike Perry,6lB8vOoI4DRrrVxXwuV19c,572044,72,"dance pop,deep tropical house,edm,electro house,pop,pop edm,swedish tropical house,tropical house",0.6920000000000001,0.8420000000000001,11.0,-4.689,1.0,0.0643,0.276,0.0,0.154,0.649,113.009,4.0
Bring It Back,77mXgNePTK6pTC9afLQvi3,2019-07-18T22:01:00Z,Bring It Back,2019-02-22,138571,51,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,175183,73,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.7490000000000001,0.889,6.0,-4.435,0.0,0.0669,0.0276,0.0026100000000000003,0.142,0.521,126.03,4.0
Love No More,7lPo7aUbqNz5qmcan9Oj3F,2019-07-18T22:01:00Z,Love No More,2018-08-31,168635,54,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,138736,78,"dance pop,edm,house,pop,tropical house",0.767,0.674,0.0,-6.246,1.0,0.0529,0.0216,5.88e-05,0.257,0.221,121.01100000000001,4.0
Still Alive,3Y6wj6dRP3QmgXeV2zCzbn,2019-07-18T22:01:00Z,Still Alive,2018-06-07,141951,44,Mastrovita,4XU8dozOz0okhDgr9Fq3eN,1697,41,,0.65,0.912,11.0,-4.2780000000000005,0.0,0.055,0.3,0.6679999999999999,0.306,0.7290000000000001,126.073,4.0
I Wanna Dance,1CW7tYkpJ95c7bQkRf6CcK,2019-07-18T22:01:00Z,I Wanna Dance,2019-07-19,184582,55,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2123005,86,"dance pop,edm,pop,tropical house,uk dance",0.825,0.841,0.0,-6.433,1.0,0.135,0.0906,0.00411,0.258,0.616,126.02600000000001,4.0
Fantasy - R3HAB Remix,3iGMErA58MMTYT1mBkUkRf,2019-07-18T22:01:00Z,Fantasy (R3HAB Remix),2019-04-19,188346,57,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,242280,70,indietronica,0.7,0.7509999999999999,4.0,-3.853,0.0,0.0566,0.113,0.0012900000000000001,0.24100000000000002,0.24600000000000002,124.027,4.0
Sahara Love - Seven Lions Remix,6KjTXwntv8paBCL3El9TnV,2019-07-18T22:01:00Z,Sahara Love,2019-03-08,322892,56,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,509088,69,"edm,progressive house,progressive trance,trance,uplifting trance",0.275,0.659,6.0,-5.631,0.0,0.039,0.0418,4.15e-05,0.079,0.149,144.908,4.0
Go Bang,415pd34peNClAFFl5jYwKt,2019-07-18T22:01:00Z,Go Bang,2017-11-10,189092,52,PNAU,6n28c9qs9hNGriNa72b26u,107409,66,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,indietronica,new rave",0.598,0.893,2.0,-3.072,1.0,0.0319,0.0714,0.0159,0.146,0.485,120.97200000000001,4.0
On My Way (feat. Jordan Kaahn),0kDTkI3VN3LEObv3v3ehhY,2019-07-18T22:01:00Z,On My Way (feat. Jordan Kaahn),2018-07-20,218000,50,Robbie Rivera,4bYwbb6k4ujHD2NXRxSwRP,24150,50,"big room,circuit,disco house,edm,electro house,funky tech house,house,progressive electro house,progressive house,tech house,tribal house,vocal house",0.6609999999999999,0.93,7.0,-4.208,0.0,0.0617,0.0188,0.00146,0.0919,0.36700000000000005,122.052,4.0
With U (feat. Karen Harding),0RlRoQwro0aIKMJct9TKTW,2019-07-18T22:01:00Z,With U (feat. Karen Harding),2018-08-03,184555,61,Tujamo,2vVNxGBvKRQMWwI5c8KmYh,132692,68,"big room,dance pop,deep big room,edm,electro house,house,progressive electro house,progressive house,tropical house",0.785,0.865,8.0,-4.064,1.0,0.0307,0.0793,0.00103,0.0469,0.6729999999999999,122.01700000000001,4.0
EDM Sux,6AlzF33SOFB8vfrmABo0jV,2019-07-18T22:01:00Z,EDM Sux,2018-11-09,155625,56,FTampa,6P6fVBXZjnqdgq2z2b8WlO,183758,60,"brazilian edm,complextro,edm,electro house",0.653,0.907,7.0,-5.877000000000001,1.0,0.11,0.00775,0.82,0.342,0.23800000000000002,128.079,4.0
Pink Rupture,3L47u91Y7YIGPpLPBrulh0,2019-07-18T22:01:00Z,Pink Rupture,2018-04-27,348907,48,Kornum & Karma,2rXNMrnu3aMHSy8Y97M7Bi,176,38,,0.736,0.35600000000000004,4.0,-8.676,0.0,0.0405,0.0017800000000000001,0.7040000000000001,0.0925,0.525,118.00200000000001,4.0
Grapevine,6EXl6ZF6rXm6qCsKeizJ1b,2019-07-18T22:01:00Z,Grapevine,2018-10-26,150967,18,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4481280,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.7140000000000001,0.828,3.0,-4.663,1.0,0.0598,0.00514,0.154,0.32,0.20800000000000002,124.03399999999999,4.0
Unstoppable,3T2ibiKCatzkbTnn3hOyyQ,2019-07-18T22:01:00Z,Unstoppable,2019-01-04,173225,60,The Him,5WdqBAQhGFCrZvBKXiPIu7,57357,64,"big room,dance pop,deep house,deep tropical house,edm,electro house,house,pop,pop edm,tropical house,uk dance",0.688,0.8809999999999999,8.0,-4.32,0.0,0.127,0.0226,0.0117,0.43,0.514,123.98200000000001,4.0
Communicate,29YCC9Vad3O2jI36akkltE,2019-07-18T22:01:00Z,Communicate,2018-05-04,285600,50,Set Mo,2rv8IrcIQiFKkdvQAgUTZj,22802,57,"aussietronica,australian indie,house,tropical house,vapor soul",0.5870000000000001,0.925,0.0,-5.8420000000000005,1.0,0.0315,0.006640000000000001,0.635,0.213,0.22699999999999998,124.007,4.0
Say Something - RetroVision Remix,7MwoGAOLI3MnEC7mGFOYcW,2019-07-18T22:01:00Z,Say Something (The Remixes),2019-03-18,208571,57,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,240181,71,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.779,0.7559999999999999,8.0,-4.669,1.0,0.0887,0.215,2.48e-06,0.33299999999999996,0.795,125.988,4.0
Strangers,5CXmbqFE0mRXOYXgEze8q3,2019-07-18T22:01:00Z,Strangers,2019-01-25,167706,62,Vigiland,3tLYpanVDomWAZqF82NPds,189280,71,"dance pop,edm,electronic trap,tropical house",0.718,0.594,11.0,-4.96,1.0,0.0782,0.195,0.0,0.42200000000000004,0.534,124.209,4.0
