track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Man,3RauEVgRgj1IuWdJ9fDs70,2019-08-23T04:00:35Z,Lover,2019-08-23,190360,75,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22297229,95,"dance pop,pop,post-teen pop",0.755,0.659,0,-5.248,1,0.063,0.081,0,0.104,0.656,110.144,4
I Warned Myself,3707IBa4HnS3zDDoWfeUBl,2019-08-23T04:00:35Z,I Warned Myself,2019-08-21,159782,67,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,7549651,83,"dance pop,pop,post-teen pop,uk pop,viral pop",0.488,0.311,10,-11.467,0,0.297,0.562,0.000548,0.161,0.579,184.112,4
NO HALO,4fGCNoJqk6Khe6YTRxwMC6,2019-08-23T04:00:35Z,NO HALO,2019-08-22,259750,63,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,914598,81,"boy band,hip hop,pop rap,rap",0.643,0.57,4,-7.003,1,0.068,0.404,0.000157,0.0695,0.46,165.184,4
I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,2019-08-23T04:00:35Z,I Don’t Think I Can Do This Again,2019-08-21,221986,60,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,441155,70,"channel islands indie,vapor soul",0.58,0.434,8,-10.708,1,0.0479,0.00738,0.000129,0.105,0.536,139.082,4
Teeth,1JRK7srBWUtAW7dPabKBwJ,2019-08-23T04:00:35Z,Teeth,2019-08-21,204887,72,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5053046,87,"boy band,dance pop,pop,post-teen pop,uk pop",0.755,0.448,3,-2.993,0,0.0405,0.0508,3.87e-06,0.11,0.431,139.028,4
People,39sJbSgJmIrB9J1pkRbpaX,2019-08-23T04:00:35Z,People,2019-08-22,160008,64,The 1975,3mIj9lX2MWuHmhNCA7LSCW,3386572,82,"modern alternative rock,nu gaze,pop,shiver pop",0.492,0.926,0,-5.257,1,0.188,3.74e-05,0.0187,0.475,0.479,149.957,4
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,2019-08-23T04:00:35Z,Lover,2019-08-23,178426,75,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22297229,95,"dance pop,pop,post-teen pop",0.548,0.718,9,-5.671,1,0.147,0.11,3.98e-05,0.107,0.582,170.021,4
Truth Hurts (DaBaby Remix),01jBJGEa9Ex9W2IjkIzuY6,2019-08-23T04:00:35Z,Truth Hurts (DaBaby Remix),2019-08-23,197610,57,Lizzo,56oDRnqbIiwx4mymNEv7dS,819285,89,"escape room,minnesota hip hop,pop,trap queen",0.706,0.628,4,-2.94,0,0.201,0.193,0,0.126,0.38,158.036,4
All Facts (feat. Ty Dolla $ign),0DbTFOxWuQ5PHsk2sIn4hk,2019-08-23T04:00:35Z,B-Sides,2019-08-22,180581,51,G-Eazy,02kJSzxNuaWGqwubyUba0Z,4030160,86,"hip hop,indie pop rap,pop,pop rap,rap",0.727,0.707,0,-4.789,0,0.306,0.0535,0,0.112,0.652,80.089,4
FEELS LIKE HOME,0T9un1tCka7l3lwsJmmLLU,2019-08-23T04:00:35Z,FEELS LIKE HOME,2019-08-23,211521,57,Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,1271831,76,"dance pop,electropop,indie poptimism,pop,post-teen pop,talent show,uk pop,viral pop",0.817,0.445,4,-7.21,0,0.103,0.376,0,0.107,0.273,97.024,4
