track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-10T04:00:46Z,I Don't Care (with Justin Bieber),2019-05-10,219946,84,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,43741523,93,"pop,uk pop",0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4
Icy (feat. Gucci Mane),5sCwso3aURYAdieWEFI1nE,2019-05-10T04:11:52Z,Confessions of a Dangerous Mind,2019-05-10,265266,68,Logic,4xRYI6VqpkE3UwrDrAZL8L,3617941,90,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.826,0.528,7,-5.4479999999999995,1,0.0717,0.179,0.0,0.114,0.47700000000000004,152.006,4
Tough Love,4XZxalvnG4Yo8YZLuiT1kV,2019-05-10T04:00:46Z,Tough Love,2019-05-09,191248,73,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13214140,89,"big room,dance pop,edm,pop",0.402,0.754,8,-4.837,1,0.0432,0.14300000000000002,0.0,0.358,0.621,108.17,4
Civil War,5tmu5pAFHkUSl8Fo8ncyA4,2019-05-10T04:00:46Z,Civil War,2019-05-08,143880,65,Russ,1z7b1Pr1rSlvWRzsW3HOrS,2252477,84,"pop,rap",0.9129999999999999,0.608,7,-6.763999999999999,1,0.259,0.11599999999999999,0.0,0.109,0.496,101.00200000000001,4
Thriving (with Nas),2c3yj3P8LNuWURaainoOVm,2019-05-10T04:00:46Z,Thriving,2019-05-08,222266,57,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,1833806,72,"dance pop,hip hop,hip pop,neo soul,pop,r&b,urban contemporary",0.72,0.757,8,-5.519,0,0.126,0.00481,3.57e-06,0.302,0.645,101.45299999999999,4
BMO,7Ffgp7DIow5wECYQyzEiTq,2019-05-10T04:00:46Z,Shea Butter Baby,2019-05-07,146914,60,Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,114435,71,"alternative r&b,dmv rap,indie r&b,r&b",0.73,0.644,1,-5.5089999999999995,0,0.0804,0.0136,0.000265,0.562,0.83,157.89700000000002,4
Blame It On My Youth,5VYRZ0PFFpHX8Hp0turWxI,2019-05-10T04:00:46Z,Blame It On My Youth,2019-05-08,186000,67,blink-182,6FBDaR13swtiWwGhX1WQsP,4929711,80,"modern rock,pop punk,punk",0.452,0.9359999999999999,8,-3.028,1,0.19,0.0331,0.0,0.19699999999999998,0.6659999999999999,170.12,4
"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",5duCElafuovM4ZSmkQL4hn,2019-05-10T04:00:46Z,"100 Bands (feat. Quavo, 21 Savage, YG & Meek Mill)",2019-05-10,179387,63,Mustard,0YinUQ50QDB7ZxSCLyQ40k,382301,80,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.8690000000000001,0.48200000000000004,9,-6.787999999999999,1,0.379,0.009890000000000001,0.0,0.0913,0.14,92.96600000000001,4
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-05-10T04:00:46Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,69,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18518205,89,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0.0,0.19899999999999998,0.552,119.865,4
Proud Of Me (feat. Young Thug),4ETgPn8Pc9ljGSLLuvWonJ,2019-05-10T04:00:46Z,Proud Of Me (feat. Young Thug),2019-05-05,209053,59,Lil Keed,3uJx5SnOM59Li7lCxA3b29,33735,65,"atl trap,rap,southern hip hop,trap music,vapor trap",0.675,0.7190000000000001,0,-6.567,0,0.0743,0.10400000000000001,0.0,0.252,0.568,121.999,4
One Big Party,4YBYxI7AX3hu5GbVl0lsyB,2019-05-10T04:00:46Z,One Big Party,2019-05-10,218070,52,Gia Woods,6T56xtTEllGW17snjAZLNP,21454,48,,0.588,0.743,1,-5.672000000000001,0,0.0816,0.0537,0.0,0.251,0.73,159.85,4
Can't Take It From Me (feat. Skip Marley),1MBtNXoT6cXrrSstG07Lf7,2019-05-10T04:00:46Z,Can't Take It From Me (feat. Skip Marley),2019-05-10,175866,41,Major Lazer,738wLrAtLtCtFOLvQBXOXp,5342441,81,"dance pop,edm,electro house,moombahton,pop,pop rap,tropical house",0.606,0.847,11,-6.292000000000001,1,0.0975,0.0377,7.95e-06,0.14,0.503,144.936,4
Flames (feat. Ruel),0D1ZKHo1jI0gzOWZGhlyv3,2019-05-10T04:00:46Z,Flames,2019-05-10,216765,57,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,124821,68,"alternative r&b,electropop,indie poptimism,indie r&b,tropical house,vapor soul,vapor twitch",0.555,0.62,9,-5.822,0,0.11800000000000001,0.0891,0.0030600000000000002,0.107,0.371,193.924,3
Triggered (freestyle),3PAptX72PPmjj1Igms0zjo,2019-05-10T04:00:46Z,Triggered (freestyle),2019-05-08,211226,69,Jhene Aiko,5ZS223C6JyBfXasXxrRqOk,2262993,79,"alternative r&b,dance pop,deep pop r&b,hip pop,pop,pop rap,r&b,rap,urban contemporary",0.513,0.40299999999999997,0,-9.597999999999999,1,0.293,0.8109999999999999,0.0,0.124,0.435,138.873,3
COMMANDO (feat. G-Eazy),2SDFznsHkeFXiPFwN0npVM,2019-05-10T04:00:46Z,Confessions of a Dangerous Mind,2019-05-10,211933,67,Logic,4xRYI6VqpkE3UwrDrAZL8L,3617941,90,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.851,0.489,1,-6.542999999999999,1,0.268,0.153,0.0,0.105,0.159,153.966,4
Beauty Marks,2cWC0R1ShnLaJEYRMAD8dj,2019-05-10T04:00:46Z,Beauty Marks,2019-05-10,216068,55,Ciara,2NdeV5rLm47xAvogXrYhJX,3749811,75,"dance pop,hip hop,hip pop,pop,pop rap,post-teen pop,r&b,rap,urban contemporary",0.6409999999999999,0.41,5,-5.2860000000000005,1,0.0269,0.8440000000000001,0.0,0.122,0.109,83.975,4
Missing You,5VOJXcC4WgPrcwAFcHFLJl,2019-05-10T04:00:46Z,Missing You,2019-05-10,174586,53,Ingrid Michaelson,2vm8GdHyrJh2O2MfbQFYG0,566573,66,"acoustic pop,ectofolk,folk-pop,indiecoustica,lilith,neo mellow,pop rock",0.6779999999999999,0.527,0,-7.803999999999999,1,0.0583,0.12,0.00041500000000000006,0.128,0.436,109.962,4
You And I,0pDP15GJoo83zH7VnUtxmi,2019-05-10T04:00:46Z,You And I,2019-05-10,176680,54,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,194139,68,"modern alternative rock,modern rock",0.631,0.8370000000000001,1,-4.917,1,0.0611,0.008620000000000001,0.0,0.145,0.523,99.98100000000001,4
