track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lover,0bzbvANY6oETSJLc0wlVGY,2019-08-16T04:00:49Z,Lover,2019-08-16,221306,75,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22048950,93,"dance pop,pop,post-teen pop",0.433,0.551,7,-7.684,1,0.0989,0.503,3.45e-05,0.14800000000000002,0.498,205.71599999999998,3
Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,2019-08-16T04:00:49Z,Won't Be Late (feat. Drake),2019-08-16,218709,66,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,474322,88,trap music,0.915,0.588,7,-6.3020000000000005,0,0.0677,0.0824,0.000169,0.10400000000000001,0.32899999999999996,123.936,4
Motivation,0rIAC4PXANcKmitJfoqmVm,2019-08-16T04:00:49Z,Motivation,2019-08-16,193837,67,Normani,2cWZOOzeOm4WmBJRnD5R7I,443020,80,"pop,post-teen pop,r&b",0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.8809999999999999,170.918,4
Slide Away,44ADyYoY5liaRa3EOAl4uf,2019-08-16T04:00:49Z,Slide Away,2019-08-16,233654,69,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9523742,86,"dance pop,pop,post-teen pop,uk pop",0.53,0.5379999999999999,5,-6.672000000000001,1,0.0335,0.17,2.83e-06,0.248,0.28800000000000003,148.05100000000002,4
Bad Bad Bad,1GeNui6m825V8jP4uKiIaH,2019-08-16T04:00:49Z,So Much Fun,2019-08-16,149040,67,Young Thug,50co4Is1HCEo8bhOyUWKpn,4268614,93,"atl hip hop,atl trap,gangster rap,pop,pop rap,rap,trap music",0.9740000000000001,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,4
In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,2019-08-16T04:00:49Z,ASCEND,2019-08-16,220730,62,ILLENIUM,45eNHdiiabvmbp4erw26rg,628622,83,"edm,electropop,pop,tropical house",0.389,0.8240000000000001,2,-4.7669999999999995,1,0.055999999999999994,0.19699999999999998,0.0,0.114,0.10300000000000001,147.965,4
"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,2019-08-16T04:00:49Z,"Yo x Ti, Tu x Mi",2019-08-15,201040,71,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1095734,84,r&b en espanol,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.14300000000000002,0.579,91.95200000000001,4
"Pink Toes (Offset, DaBaby feat. Gunna)",0W1ZfgXpC23RYQPDq7RM5I,2019-08-16T04:00:49Z,Quality Control: Control The Streets Volume 2,2019-08-16,217220,60,Quality Control,6i392l38cR3uBPF0DbNs7S,362046,79,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.958,0.782,5,-5.084,1,0.11199999999999999,0.0521,0.0,0.11599999999999999,0.517,110.49,4
Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,2019-08-16T04:00:49Z,Heartless (feat. Morgan Wallen),2019-08-16,169226,62,Diplo,5fMUXHkw8R8eOP2RNVYEZX,2021943,87,"bmore,edm,moombahton,ninja,pop",0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.00399999999999,4
Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,2019-08-16T04:00:49Z,Be Honest (feat. Burna Boy),2019-08-16,207030,62,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,1033994,77,"pop,uk contemporary r&b",0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,4
All Love,7iv32XEy2HlM7PqQO4lp5f,2019-08-16T04:00:49Z,you ruined new york city for me,2019-08-16,193599,57,FLETCHER,5qa31A9HySw3T7MKWI9bGg,110312,68,"dance pop,electropop,indie electro-pop,indie poptimism,pop,post-teen pop,uk pop",0.6779999999999999,0.48700000000000004,4,-7.1770000000000005,1,0.0866,0.272,0.000261,0.18100000000000002,0.48,141.983,4
