track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Señorita,0TK2YIli7K1leLovkQiNik,2019-07-19T04:15:00Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18250928,95,"canadian pop,dance pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-07-19T04:15:00Z,Old Town Road,2019-04-05,157066,95,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,621952,93,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,2019-07-19T04:15:00Z,No.6 Collaborations Project,2019-07-12,204466,85,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47593248,100,"pop,uk pop",0.857,0.621,9,-6.376,0,0.0824,0.148,0,0.0865,0.668,97.986,4
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,2019-07-19T04:15:00Z,Cuz I Love You (Deluxe),2019-05-03,173325,90,Lizzo,56oDRnqbIiwx4mymNEv7dS,631649,87,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,2019-07-19T04:15:00Z,How Do You Sleep?,2019-07-19,202204,71,Sam Smith,2wY79sveU1sp5g7SokKOiI,9013879,89,"pop,post-teen pop",0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,2019-07-19T04:15:00Z,bad guy (with Justin Bieber),2019-07-11,194839,85,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10646860,97,"electropop,pop",0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,4
Faz Gostoso (feat. Anitta),2SC14LGDbRWRlyLg9Wupa0,2019-07-19T04:15:00Z,Madame X (Deluxe),2019-06-14,245706,74,Madonna,6tbjWDEIzxoDsBA1FuhfPW,3195702,82,dance pop,0.773,0.702,10,-6.068,0,0.0961,0.294,0,0.0726,0.634,130.095,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-07-19T04:15:00Z,I Don't Care (with Justin Bieber),2019-05-10,219946,97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47593248,100,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-07-19T04:15:00Z,Sucker,2019-03-01,181040,89,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2601389,89,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
Muito Calor,5uVgsAzjO6eJR06VPrqUga,2019-07-19T04:15:00Z,Muito Calor,2019-07-11,185146,71,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,17751102,95,"reggaeton,trap latino",0.814,0.863,9,-2.885,1,0.0589,0.116,0.000226,0.0736,0.597,98.048,4
