track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-06-21T03:02:00Z,You Need To Calm Down,2019-06-14,171386,90,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20594646,94,"dance pop,pop,post-teen pop",0.767,0.6809999999999999,2.0,-5.794,1.0,0.0501,0.0107,0.0,0.0707,0.726,85.00299999999999,4.0
Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,2019-06-21T03:02:00Z,Sad Song (feat. TINI),2019-06-14,154024,76,Alesso,4AVFqumd2ogHFlRbKIjp1t,2830104,82,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.7340000000000001,0.693,0.0,-6.474,1.0,0.0361,0.0878,0.0,0.341,0.55,110.021,4.0
Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,2019-06-21T03:02:00Z,Cuz I Love You (Deluxe),2019-05-03,173325,91,Lizzo,56oDRnqbIiwx4mymNEv7dS,483165,88,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4.0,-3.0460000000000003,0.0,0.114,0.11,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,4.0
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-06-21T03:02:00Z,Happiness Begins,2019-06-07,183000,86,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2423295,91,"boy band,dance pop,pop,post-teen pop",0.795,0.496,0.0,-5.882999999999999,1.0,0.0722,0.10800000000000001,0.0,0.0645,0.8740000000000001,94.01,4.0
Spicy (with Diplo & Charli XCX),54z0kLF0skj0Hdb9wCqPJt,2019-06-21T03:02:00Z,Spicy (with Diplo & Charli XCX),2019-05-30,157159,72,Herve Pagez,31JFnMfmvwzZGdEnXaKGek,2650,66,,0.8370000000000001,0.818,8.0,-4.474,0.0,0.0533,0.0527,0.00642,0.11,0.484,109.993,4.0
Mad Love,79JBjIq90BrQ8Ws0pUhlzD,2019-06-21T03:02:00Z,Mad Love,2019-06-07,169813,83,Mabel,1MIVXf74SZHmTIp4V4paH4,275660,84,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.622,0.7959999999999999,0.0,-2.9989999999999997,0.0,0.172,0.667,0.0,0.106,0.62,197.705,4.0
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-06-21T03:02:00Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,86,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,574051,85,"dance pop,pop",0.605,0.664,8.0,-7.162000000000001,1.0,0.0316,0.00548,3e-06,0.204,0.16399999999999998,103.99700000000001,4.0
Panini,6fTt0CH2t0mdeB2N9XFG5r,2019-06-21T03:02:00Z,7 EP,2019-06-21,114893,71,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,411921,92,country rap,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.12300000000000001,0.475,153.84799999999998,4.0
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-06-21T03:02:00Z,Dancing With A Stranger (with Normani),2019-01-11,171029,91,Sam Smith,2wY79sveU1sp5g7SokKOiI,8734341,91,"pop,post-teen pop",0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,4.0
Dream Glow (BTS World Original Soundtrack) - Pt. 1,4c1WgUnHXq2LEncGHKgj1I,2019-06-21T03:02:00Z,Dream Glow (BTS World Original Soundtrack) [Pt. 1],2019-06-07,187457,84,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11642461,95,"k-pop,k-pop boy group",0.735,0.74,0.0,-3.8369999999999997,0.0,0.0519,0.0967,0.0,0.10099999999999999,0.541,141.94799999999998,4.0
Kill This Love,18PergoIrGmRyeYxnaXJN2,2019-06-21T03:02:00Z,KILL THIS LOVE,2019-04-05,189052,84,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,7431307,88,"k-pop,k-pop girl group",0.738,0.861,2.0,-4.141,1.0,0.237,0.32,0.00175,0.325,0.58,131.974,4.0
A Brand New Day (BTS World Original Soundtrack) [Pt. 2],5XkyZyKMdFungjDb9cUKc3,2019-06-21T03:02:00Z,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],2019-06-14,205019,79,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11642461,95,"k-pop,k-pop boy group",0.804,0.498,8.0,-7.3870000000000005,0.0,0.0571,0.33899999999999997,0.000236,0.18,0.7040000000000001,105.008,4.0
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-06-21T03:02:00Z,SHE IS COMING,2019-05-31,219080,88,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,8992177,89,"dance pop,pop,post-teen pop",0.6809999999999999,0.865,1.0,-4.132,0.0,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4.0
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-06-21T03:02:00Z,11:11,2019-05-17,175733,89,Maluma,1r4hJ1h58CWwUQe3MxPuau,15858916,94,reggaeton,0.777,0.7120000000000001,10.0,-4.84,1.0,0.27699999999999997,0.217,0.0,0.091,0.68,95.69200000000001,4.0
Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,2019-06-21T03:02:00Z,Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,206186,91,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45951871,97,"pop,uk pop",0.746,0.787,4.0,-6.372999999999999,1.0,0.12,0.214,0.0,0.0669,0.607,95.005,4.0
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-06-21T03:02:00Z,SOS,2019-04-10,157202,88,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13802790,94,"big room,edm,pop",0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,4.0
