track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Overseas (feat. Lil Pump),2Q13JqwPOhGIgvuHgdk6eZ,2019-05-23T23:01:00Z,Overseas,2018-11-09,192026,58,Desiigner,7pFeBzX627ff0VnN6bxPR4,2571760,74,"hip hop,pop rap,rap,southern hip hop,trap music,viral trap",0.892,0.679,9,-6.495,1,0.0676,0.129,1.55e-05,0.301,0.434,129.99200000000002,4
MotorSport,4wFjTWCunQFKtukqrNijEt,2019-05-23T23:01:00Z,Culture II,2018-01-26,303076,77,Migos,6oMuImdp5ZcFhWP0ESe6mG,8918623,88,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",0.8959999999999999,0.515,2,-5.395,1,0.183,0.0338,0.0,0.317,0.174,138.016,4
Oh My,5lTBFpNkKWu8nRy3qzEw2h,2019-05-23T23:01:00Z,Oh My,2018-06-22,248093,65,Dappy,4q6hTJmeYXCwp0ivdtoSWA,178809,67,"dance pop,grime,uk hip hop",0.7120000000000001,0.626,11,-7.966,0,0.174,0.342,0.0,0.10800000000000001,0.721,96.177,4
16 Shots,5b1GCiDjsOv3731sV3uL3L,2019-05-23T23:01:00Z,16 Shots,2017-05-22,224727,7,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,299797,79,"dancehall,pop,r&b,uk dancehall,uk hip hop",0.682,0.812,3,-4.936,0,0.0586,0.0254,0.00020099999999999998,0.10400000000000001,0.569,95.06299999999999,4
Bodak Yellow,2771LMNxwf62FTAdpJMQfM,2019-05-23T23:01:00Z,Bodak Yellow,2017-06-16,223962,71,Cardi B,4kYSro6naA4h99UJvo89HB,8456951,93,"pop,rap",0.929,0.723,11,-5.792000000000001,0,0.109,0.0672,0.0,0.34600000000000003,0.45799999999999996,125.022,4
Never Lack,6xp6EUAwQ9SGi09htjDDHU,2019-05-23T23:01:00Z,Out of the Pan,2018-04-30,210450,54,Splurgeboys,5ybO9LJlZ1H2d0zBMhdjVa,3537,48,"grime,uk alternative hip hop,uk hip hop",0.9209999999999999,0.654,0,-6.343,0,0.17600000000000002,0.0848,0.0021,0.0792,0.431,94.999,4
4 Days,5tpEGhK123kgPf7pWWE9g6,2019-05-23T23:01:00Z,4 Days,2018-03-23,190480,54,Belly,0FOWNUFHPnMy0vOw1siGqi,158198,70,"canadian hip hop,hip hop,pop rap,rap,southern hip hop,trap music,trap soul,underground hip hop",0.8390000000000001,0.5720000000000001,10,-5.312,0,0.0945,0.0423,0.0,0.0905,0.40399999999999997,97.991,4
Die By The Gun,079gQtcdrYaHbBFzv13seK,2019-05-23T23:01:00Z,B. Inspired,2018-08-17,248866,60,Bugzy Malone,4Dokdwa3WB7ilQ2c2qvIBL,377596,70,"grime,manchester hip hop,uk hip hop",0.59,0.629,11,-7.877000000000001,0,0.295,0.159,0.0,0.28800000000000003,0.41700000000000004,139.524,4
Fine Girl,2H9zpvV33I48HE5jnNvWVB,2019-05-23T23:01:00Z,Fine Girl,2018-03-12,163000,66,ZieZie,26XzvosH2cl8Re6KSo9m8Z,30908,66,uk hip hop,0.867,0.509,7,-4.8839999999999995,0,0.0918,0.0295,0.0,0.0424,0.684,100.99799999999999,4
Cocky (feat. London On Da Track),1nO2NjuFkGaAWcMdJ1pNrp,2019-05-23T23:01:00Z,Cocky (feat. London On Da Track),2018-02-16,232413,62,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,5496128,88,"east coast hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.797,0.633,5,-4.815,1,0.23800000000000002,0.223,0.0,0.109,0.5770000000000001,156.015,4
Lyca,0InksU0QzMCNS47OYeE90N,2019-05-23T23:01:00Z,Lyca,2018-04-27,226285,2,Swarmz,2yPprAQlrIQWu60g09B9MZ,46648,72,uk hip hop,0.725,0.486,3,-9.558,0,0.122,0.611,0.0,0.0802,0.505,104.831,4
Psych Out!,0935whoU2oTfWNaYdZ0rd4,2019-05-23T23:01:00Z,Psych Out!,2019-01-17,175520,61,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,258834,75,"grime,uk drill,uk hip hop",0.733,0.555,9,-9.829,1,0.249,0.706,0.0,0.0961,0.35,77.584,4
6:30,6lU7kJ6k1oUew36PbPl15E,2019-05-23T23:01:00Z,6:30,2018-05-22,213000,66,Geko,5vfmmb3UHpuQWJ55JP9slk,81592,66,"manchester hip hop,uk hip hop",0.757,0.579,1,-3.827,0,0.0809,0.149,0.0,0.0543,0.56,99.96799999999999,4
Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,2019-05-23T23:01:00Z,Energy (Stay Far Away),2018-06-20,199521,68,Skepta,2p1fiYHYiXz9qi0JJyxBzN,568921,82,"birmingham grime,instrumental grime,rap",0.836,0.614,8,-4.543,0,0.311,0.345,9.86e-05,0.08800000000000001,0.603,101.97,4
R.I.C.O. (feat. Drake),0Y0TOsE1q11qgbi7c5WZsG,2019-05-23T23:01:00Z,Dreams Worth More Than Money,2015-06-29,197133,71,Meek Mill,20sxb77xiYeusSH8cVdatc,3238023,88,"hip hop,philly rap,pop,pop rap,rap,southern hip hop,trap music",0.727,0.599,1,-6.941,1,0.327,0.317,0.0,0.21899999999999997,0.386,167.90900000000002,3
A Milli,6ScJMrlpiLfZUGtWp4QIVt,2019-05-23T23:01:00Z,Tha Carter III,2008-01-01,221840,73,Lil Wayne,55Aa2cqylxrFIXC767Z865,7985930,92,"hip hop,new orleans rap,pop,pop rap,rap,trap music",0.679,0.684,6,-8.559,1,0.278,0.0527,0.000895,0.177,0.755,151.748,4
Supreme,04441m0TA5fxQeUU8bjhDq,2019-05-23T23:01:00Z,Supreme,2018-01-26,150752,55,A.M. SNiPER,4kRfa7RBzBu7mxeWo3FkOe,15064,50,,0.484,0.711,8,-3.8480000000000003,1,0.341,0.263,0.0,0.10400000000000001,0.515,102.05,4
Magnum Cum Laude,3wbrD8HX915iJIldT5fAD5,2019-05-23T23:01:00Z,Magnum Cum Laude,2018-04-06,209197,1,Mike Rebel,2w5vinTlVvdveFjFYHazgu,1044,35,,0.597,0.922,1,-3.321,1,0.295,0.364,0.0,0.392,0.841,80.605,4
Tonka,544FLIfmISCEEvPaU0Jn8w,2019-05-23T23:01:00Z,L.O.D.,2018-05-04,178852,47,Desiigner,7pFeBzX627ff0VnN6bxPR4,2571760,74,"hip hop,pop rap,rap,southern hip hop,trap music,viral trap",0.857,0.6970000000000001,0,-3.645,0,0.309,0.00677,0.0,0.508,0.45,139.976,4
Alive (with Offset & 2 Chainz),7w8SYlPLA9bqj7vRHvYNDz,2019-05-23T23:01:00Z,Alive (with Offset & 2 Chainz),2018-01-26,235897,66,Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,826017,77,"atl hip hop,crunk,dance pop,dirty south rap,pop rap,southern hip hop",0.8109999999999999,0.7340000000000001,0,-6.626,0,0.33399999999999996,0.364,2.26e-06,0.121,0.5660000000000001,150.06,4
Stay out the Way,6JcfTTCwKcYkW50FhLP5aq,2019-05-23T23:01:00Z,Stay out the Way,2018-03-16,249012,36,Trackman,4myIeZu9Cqx7Ihzuh7LG8C,105,25,,0.722,0.752,1,-6.2589999999999995,1,0.287,0.44799999999999995,0.0,0.16699999999999998,0.861,100.01,4
Jumpman,46gjYTEK7W8ZTABcglGP2f,2019-05-23T23:01:00Z,What A Time To Be Alive,2015-09-20,205879,9,Drake,3TVXtAsR1Inumwj472S9r4,37926964,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.853,0.5579999999999999,1,-7.4479999999999995,1,0.20199999999999999,0.0462,0.0,0.341,0.654,142.079,4
Gucci Gang,43ZyHQITOjhciSUUNPVRHc,2019-05-23T23:01:00Z,Lil Pump,2017-10-06,124055,75,Lil Pump,3wyVrVrFCkukjdVIdirGVY,5683678,84,"emo rap,miami hip hop,trap music",0.9359999999999999,0.523,5,-6.71,1,0.0597,0.239,0.0,0.11699999999999999,0.6990000000000001,119.889,4
"Pumpy (feat. AJ x Deno, Swarmz & Cadet)",2r7kFZo4Ua517FKCW39fo9,2019-05-23T23:01:00Z,"Pumpy (feat. AJ x Deno, Swarmz & Cadet)",2018-10-26,181176,65,Da Beatfreakz,3Q8Ow3li2nXzZhRPHMwR7h,13178,64,uk hip hop,0.7879999999999999,0.579,3,-5.621,0,0.46399999999999997,0.166,0.0,0.21100000000000002,0.561,101.852,4
Rina,0Lb11t5kXf0dMATOjvSwnl,2019-05-23T23:01:00Z,AJ Tracey,2019-02-08,167000,57,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,258834,75,"grime,uk drill,uk hip hop",0.6409999999999999,0.613,11,-11.512,0,0.299,0.28800000000000003,0.0,0.124,0.44299999999999995,104.84899999999999,4
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,2019-05-23T23:01:00Z,Sucker For Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016-06-24,243490,77,Lil Wayne,55Aa2cqylxrFIXC767Z865,7985930,92,"hip hop,new orleans rap,pop,pop rap,rap,trap music",0.502,0.7859999999999999,9,-4.378,0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021,4
Money Right,4m08vFKrKbjEklzRIBwllU,2019-05-23T23:01:00Z,Money Right,2018-09-05,200079,3,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,251350,68,"bassline,grime,hip hop,house,instrumental grime,pop rap,rap,uk garage",0.8009999999999999,0.765,2,-5.944,1,0.16699999999999998,0.251,0.0,0.235,0.405,150.002,4
Problem (feat. Fredo),45mWYUryiVeQfbcbsTSwaW,2019-05-23T23:01:00Z,Problem (feat. Fredo),2018-12-14,184124,58,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,207869,73,"grime,uk dancehall,uk drill,uk hip hop",0.561,0.5770000000000001,11,-8.814,0,0.38,0.121,9.46e-06,0.111,0.522,105.751,4
CRB Check (feat. Not3s),38xW706M5Qluex4kivcVWY,2019-05-23T23:01:00Z,TEN10,2018-09-21,183995,60,Chip,0tJCNteqwm7LmRZ6KWr8GT,176604,68,"grime,instrumental grime,uk drill,uk garage,uk hip hop",0.7609999999999999,0.8270000000000001,1,-3.1460000000000004,1,0.284,0.14300000000000002,0.0,0.11599999999999999,0.9620000000000001,105.021,4
