track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-06-15T17:47:26Z,The Best In The World Pack,2019-06-15,205426,0,Drake,3TVXtAsR1Inumwj472S9r4,37661484,98,"canadian hip hop,canadian pop,hip hop,pop rap,rap"
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",4eqrNsKy9Mvg1fvfsTVIAE,2019-06-13T01:00:14Z,1-888-88-DREAM,2019-06-12,169146,71,Dreamville,1iNqsUDUraNWrj00bqssQG,23564,64,,0.78,0.597,1,-5.252,1,0.375,0.0365,0,0.0819,0.694,149.769,4
Suge,2gwkD6igEhQbDQegRCcdoB,2019-04-12T04:01:00Z,Baby On Baby,2019-03-01,163320,90,DaBaby,4r63FhuTkUYltbVAg5TQnk,353779,87,"nc hip hop,rap,southern hip hop,trap music",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,2019-04-10T01:09:24Z,Sanguine Paradise,2019-04-09,243976,88,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,6454467,90,"philly rap,rap,trap music",0.729,0.603,6,-6.736,0,0.0666,0.0948,0,0.113,0.207,134.972,4
The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,2019-05-23T22:02:35Z,The London (feat. J. Cole & Travis Scott),2019-05-23,200106,91,Young Thug,50co4Is1HCEo8bhOyUWKpn,4084852,90,"atl hip hop,atl trap,gangster rap,hip hop,pop,pop rap,rap,trap music",0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,4
Pop Out feat. Lil Tjay,5AjINjwKyRvQJhSe2zpPHi,2019-03-29T04:01:00Z,Pop Out feat. Lil Tjay,2019-02-07,166640,89,Polo G,6AgTAQt8XS6jRWi4sX7w49,143162,83,"chicago rap,trap music",0.861,0.621,1,-7.106,1,0.362,0.121,0,0.0689,0.254,83.976,4
Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,2019-04-26T04:01:00Z,FATHER OF 4,2019-02-22,205803,85,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,1130123,91,"atl hip hop,pop,pop rap,rap,trap music",0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,4
Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,2019-05-10T04:01:00Z,Baby On Baby,2019-03-01,157693,82,DaBaby,4r63FhuTkUYltbVAg5TQnk,353779,87,"nc hip hop,rap,southern hip hop,trap music",0.852,0.73,1,-5.803,1,0.0579,0.0219,0,0.336,0.394,92.506,4
Feeling,2Jh3UqxnHJMyzMzku4uOtE,2019-03-29T04:01:00Z,Death Race For Love,2019-03-08,201920,81,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,4502211,93,"chicago rap,trap music",0.712,0.515,10,-6.004,0,0.0857,0.234,0,0.205,0.563,160.0,4
Ransom,1xbtojAZsQjOgiGdGX6ChU,2019-06-10T15:55:46Z,Ransom,2019-05-22,131248,84,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,59195,76,vapor trap,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
Go Loko,3SZqA7rQvROJsCbUu2v0xa,2019-05-03T04:01:00Z,Go Loko,2019-05-03,299226,87,YG,0A0FS04o6zMoto8OKPsDwY,1727032,89,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,0.67,2,-5.188,1,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,4
Legendary (feat. Gunna),4yn0ftNHQSwsWE81h33y4K,2019-06-07T04:01:00Z,Legendary,2019-06-07,152532,74,Tyga,5LHRHt1k9lMyONurDHEdrp,4836291,92,"hip hop,pop,pop rap,rap,trap music",0.897,0.467,1,-4.948,1,0.0646,0.0263,4.06e-05,0.146,0.375,100.048,4
Broke Leg (with Quavo & Tyga),5WJdUrZ4ND1TCZ2AsjYK3P,2019-05-31T04:01:00Z,Broke Leg (with Quavo & Tyga),2019-05-31,165604,78,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,2326944,86,"canadian hip hop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.851,0.85,1,-3.4,1,0.0904,0.226,0,0.145,0.642,99.975,4
Government Official,2QEnZJ8FwpBoyLKcFcgceT,2019-06-07T04:01:00Z,SAVE ME,2019-06-07,150760,76,Future,1RyvyyTE3xzB2ZywiAwp0i,7837079,91,"atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.801,0.774,1,-5.125,1,0.157,0.0365,3.03e-06,0.114,0.321,144.988,4
Young Grizzley World (feat. A Boogie Wit Da Hoodie & YNW Melly),2HsSzwrvvgiYSCdsYLiJWB,2019-06-14T04:01:00Z,Scriptures,2019-06-07,332195,69,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,1292953,80,"detroit hip hop,detroit trap,hip hop,pop rap,rap,southern hip hop,trap music",0.779,0.705,8,-6.383,0,0.051,0.237,0,0.0899,0.451,122.996,4
Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,2019-05-10T04:01:00Z,Bad Habits (Deluxe),2019-03-26,148278,81,NAV,7rkW85dBwwrJtlHRDkJDAC,1400363,85,"canadian hip hop,pop,pop rap,rap,southern hip hop,trap music",0.901,0.676,2,-7.033,1,0.251,0.0646,0,0.0863,0.452,85.018,4
GRoCERIES,0yFvWTLs3iIwDbc91noXGT,2019-05-17T04:01:00Z,GRoCERIES,2019-05-17,226845,80,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,4074038,87,"chicago rap,conscious hip hop,hip hop,pop,pop rap,rap",0.906,0.596,0,-5.88,0,0.243,0.0578,0,0.109,0.701,144.038,4
