track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Double Trouble (Quavo feat. Meek Mill),5YSfZJE0EYrGVsWeYqv9xo,2019-08-16T04:13:14Z,Quality Control: Control The Streets Volume 2,2019-08-16,176911,59,Quality Control,6i392l38cR3uBPF0DbNs7S,362046,79,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.8740000000000001,0.636,2,-3.75,1,0.24100000000000002,0.0776,2.17e-06,0.114,0.49,164.928,4
Sextasy,5jlLBqK31dOqXECKn3jlMX,2019-08-16T04:13:14Z,Sextasy,2019-08-15,225036,60,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,474322,88,trap music,0.784,0.41600000000000004,7,-9.231,1,0.102,0.0546,2.1600000000000003e-05,0.11199999999999999,0.259,147.994,4
Nobody's Favorite (feat. Gunplay),3ZZkSBbBOXi1NFzPbY7Lxb,2019-08-16T04:13:14Z,Port of Miami 2,2019-08-09,245240,66,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,3322788,88,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.762,0.6659999999999999,1,-6.202999999999999,1,0.401,0.000676,0.0,0.15,0.36200000000000004,157.10399999999998,4
MLK BLVD (feat. Meek Mill),3mXyeoYgJSjQrRhD9BQrfj,2019-08-16T18:03:58Z,MLK BLVD,2019-08-13,200666,50,Jeezy,4yBK75WVCQXej1p04GWqxH,1321489,75,"atl hip hop,crunk,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.7979999999999999,0.748,1,-4.416,1,0.0948,0.000763,2.05e-06,0.141,0.513,149.031,4
Welcome To The Party (feat. Nicki MInaj) - Remix,0i56hhAdCCT5KqZIy4pHQ4,2019-08-16T04:13:14Z,Welcome To The Party (Remix),2019-08-16,180720,53,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,15299,63,,0.67,0.622,2,-6.001,1,0.253,0.0317,0.0,0.158,0.41,142.931,4
Snake Skin,48BycLu4MtbVvCumpvMMbP,2019-08-08T22:05:00Z,!,2019-08-09,186944,73,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,3303404,89,"rap,trap music",0.669,0.557,8,-8.835,0,0.0498,0.0574,0.0,0.0662,0.5529999999999999,144.043,4
My Type,5KBARWIxeMGkvUax9VtVC9,2019-07-11T21:11:00Z,ICY,2019-03-29,126446,80,Saweetie,6cK3NBO6uP7hh0oyuVELFl,394868,76,"cali rap,pop,pop rap,trap queen",0.899,0.8109999999999999,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.5870000000000001,105.038,4
Bitchuary,4dV3okcjbQwTcg4ObIGr4N,2019-07-11T21:11:00Z,Captain Hook,2018-12-08,134213,76,Shordie Shordie,5fyvTyetDr7gvLafBsEEhU,23399,68,"baltimore hip hop,cali rap",0.762,0.38299999999999995,5,-10.097999999999999,0,0.20199999999999999,0.349,0.0,0.127,0.44,92.947,4
Bussdown (feat. Offset),2RYRhxFeiiMMJPUZZiNbfR,2019-07-17T04:46:34Z,Bussdown,2019-07-12,183760,73,Blueface,3Fl1V19tmjt57oBdxXKAjJ,982626,84,cali rap,0.905,0.659,1,-4.785,1,0.433,0.0583,0.0,0.0775,0.87,121.103,4
Press,6dPyzkyZwoj9LqjQXOFdVv,2019-05-31T04:01:00Z,Press,2019-05-31,143791,78,Cardi B,4kYSro6naA4h99UJvo89HB,9075202,92,"pop,rap",0.888,0.525,1,-5.665,1,0.305,0.028999999999999998,5.68e-06,0.13699999999999998,0.243,133.983,4
