track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bored and Razed,38qlQwX1bUB7PxL5ydrjmS,2019-06-21T04:01:00Z,Bored and Razed,2019-06-10,215497,52,The Raconteurs,4wo1267SJuUfHgasdlfNfc,489558,70,"alternative rock,dance-punk,garage rock,indie rock,modern blues rock,modern rock,post-grunge,rock",0.318,0.951,2,-6.733,1,0.32299999999999995,0.000472,0.0124,0.114,0.0727,164.49599999999998,4
Leave It All Behind,6nMNpGl4VvMhtYigbbOmBu,2019-06-21T04:01:00Z,Leave It All Behind,2019-06-19,198248,58,Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,1489199,68,"metalcore,pop emo,pop punk,screamo",0.555,0.925,2,-4.008,0,0.121,0.00402,0.00034500000000000004,0.122,0.308,97.495,4
W W Y D F,61oG7DvhBOvdXBALpVY9VG,2019-06-21T04:01:00Z,W W Y D F,2019-03-22,180000,64,Zero,1V599H9vfq6hWe2hGzyzI0,25756,55,deep underground hip hop,0.359,0.889,2,-4.238,0,0.0517,0.00035499999999999996,0.00324,0.0577,0.469,94.059,4
Unsainted,2093eVNfimjmNjU1gk1ES7,2019-06-21T04:01:00Z,Unsainted,2019-05-16,260276,79,Slipknot,05fG473iIaoy82BF1aGhL8,4516873,83,"alternative metal,nu metal,post-grunge,rap metal",0.42700000000000005,0.9440000000000001,7,-2.885,1,0.0565,0.000197,0.0159,0.0625,0.248,101.07799999999999,4
Panic Attack,0Sq7plMRgBfE3f8tOneVo6,2019-06-21T04:01:00Z,Panic Attack,2019-06-05,188974,50,The Glorious Sons,5CPxrqCStgt6AfI4fLiedH,68250,62,"canadian indie,canadian rock,kingston on indie",0.457,0.955,8,-2.8689999999999998,1,0.0568,0.00081,4.3e-05,0.152,0.609,151.931,4
The Heart Is a Muscle - Radio Edit,5DlQetNIPiALnYuM3BFgRz,2019-06-21T04:01:00Z,The Heart Is a Muscle (Radio Edit),2018-03-16,214409,56,Gang of Youths,142YBUGmLWCJigFLzgguf8,156604,63,"australian indie,australian pop",0.551,0.8959999999999999,11,-4.905,1,0.0443,0.0049,0.00514,0.252,0.54,106.48299999999999,4
Promise Me,5TU1cWjUGyVKjSnIIxRSEf,2019-06-21T04:01:00Z,"OK, I'M SICK",2019-02-22,229666,58,Badflower,3T55D3LMiygE9eSKFpiAye,70470,63,"modern alternative rock,modern rock",0.591,0.797,2,-4.675,0,0.0297,0.00462,1.3e-06,0.13699999999999998,0.35100000000000003,104.014,4
Less Is More,32rG7MMvXotrLIVSGHAN5W,2019-06-21T04:01:00Z,Less Is More,2019-02-01,180000,52,Demob Happy,6FKokxvL5PCWIxrVhMyDgI,13105,50,"brighton indie,modern alternative rock,newcastle indie",0.529,0.743,1,-6.865,1,0.091,0.0037799999999999995,5.46e-06,0.0432,0.616,112.985,4
When I'm Gone,3VZjogSj2XePaVubGgFOUo,2019-06-21T04:01:00Z,Dirty Honey,2019-03-22,205090,54,Dirty Honey,0XBRd3N11rCbh0s8qHf41m,4017,45,,0.452,0.9159999999999999,1,-3.17,1,0.0478,0.000308,0.000391,0.11800000000000001,0.5920000000000001,90.995,4
Over & Over,2wBEMqe81CXIX88kph8GBO,2019-06-21T04:01:00Z,Hear Me Out,2019-03-01,209029,53,Reignwolf,66YGDwn22fjphzqGCSIbbK,55253,54,"garage rock,modern alternative rock,modern blues rock,modern hard rock,punk blues,saskatchewan indie",0.47600000000000003,0.861,10,-7.358,0,0.5,0.0169,0.00028700000000000004,0.237,0.0861,95.23100000000001,4
Back Foot,6hZ11ThYoAHlLJsBK2U3jH,2019-06-21T04:01:00Z,Back Foot,2019-04-29,188653,59,Dinosaur Pile-Up,4MQsNhP9u10g1xuxaJBF0S,25857,56,"british alternative rock,leeds indie,modern alternative rock,modern hard rock",0.547,0.922,6,-5.845,1,0.0858,0.00619,1.13e-05,0.349,0.8440000000000001,160.128,4
Ways To Disappear,0KcHwAnK9I7ieGVaRJICxT,2019-06-21T04:01:00Z,Erase The Pain,2018-12-28,237625,54,Palisades,2w6slVluzWlwADP8aB5yz5,93707,62,"metalcore,post-screamo,screamo,trancecore",0.423,0.792,5,-6.227,0,0.0396,1.49e-05,0.0,0.429,0.195,119.97399999999999,4
Westwood Road,0MS4mfGlVa925o8g14N2ei,2019-06-21T04:01:00Z,Westwood Road,2019-02-15,182800,34,Andy Black,09NYzWfQlunWS3XBZFaDEC,280442,59,"pixie,pop punk",0.484,0.93,2,-4.459,1,0.14800000000000002,0.007259999999999999,0.000259,0.151,0.515,194.03599999999997,4
Pirate Punk Politician,6Pj2nU8oN5P1fKAsbNK0Ll,2019-06-21T04:01:00Z,Pirate Punk Politician,2019-03-29,170333,50,Perry Farrell,2DS5RPK5A2GQTucYlgsQdE,9621,47,,0.504,0.888,1,-5.224,0,0.0935,0.000516,0.00031800000000000003,0.602,0.47,179.757,4
Chlorine,23OXdR7YuUBVWh5hSnYJau,2019-06-21T04:01:00Z,Trench,2018-10-05,324466,81,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,13350648,89,"pop punk,rock",0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,4
In Love With A Camera,2CEjWJ4lPiodKXXS2bhVyP,2019-06-21T04:01:00Z,YOUNG&DANGEROUS,2018-10-19,202401,57,The Struts,3lDpdwM8KILepMHqBWUhIA,176307,65,"glam rock,modern rock",0.557,0.8859999999999999,0,-3.092,1,0.0378,0.000125,0.000199,0.355,0.638,127.98200000000001,4
Elevate,1SNipdzMky2C2LwvoVRzsv,2019-06-21T04:01:00Z,Elevate,2018-12-14,191564,67,Papa Roach,4RddZ3iHvSpGV4dvATac9X,2671649,78,"alternative metal,nu metal,pop punk,post-grunge,rap metal,rap rock",0.6659999999999999,0.775,2,-5.457999999999999,0,0.0979,0.0226,0.0,0.254,0.59,144.998,4
The Dirt (Est. 1981) [feat. Machine Gun Kelly],4iGBPovu7Hy7TUg6Wk6pjt,2019-06-21T04:01:00Z,The Dirt Soundtrack,2019-03-22,232000,61,Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,1896035,79,"glam metal,hard rock,rock,sleaze rock",0.42100000000000004,0.8590000000000001,1,-4.333,1,0.0694,0.000103,0.000248,0.1,0.373,166.09900000000002,4
