track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Luz De Dia,71AMvL4Fey4MwxQShk4VBR,2019-06-28T18:50:19Z,En Vivo,2004-01-01,293226,68,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,1639629,74,"argentine rock,latin,latin alternative,latin pop,latin rock,mexican pop,rock en espanol,ska argentino",0.627,0.6970000000000001,0,-8.183,1,0.0282,0.244,0.0,0.966,0.409,121.948,4
Vasos Vacíos,6iCmg8Ntj6kBDmtoAiFVWf,2019-06-28T18:50:19Z,Vasos Vacios,1994-02-15,278306,9,Los Fabulosos Cadillacs,2FS22haX3FYbyOsUAkuYqZ,1505216,72,"argentine rock,latin alternative,latin rock,rock en espanol,ska argentino",0.705,0.535,7,-9.287,1,0.0388,0.501,0.00046399999999999995,0.33399999999999996,0.966,134.85399999999998,4
Cuando Pase El Temblor - Remasterizado 2007,3uMYq07Kj5m564OQwdSCrD,2019-06-28T18:50:19Z,Nada Personal (Remastered),1985,229160,68,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,3786083,78,"argentine rock,latin alternative,latin rock,rock en espanol,ska argentino",0.652,0.607,0,-8.657,1,0.0368,0.0314,0.00285,0.0721,0.72,94.089,4
Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,2019-06-28T18:50:19Z,Big Bang,1994-01-01,222226,72,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,1639629,74,"argentine rock,latin,latin alternative,latin pop,latin rock,mexican pop,rock en espanol,ska argentino",0.7140000000000001,0.735,4,-7.125,0,0.0306,0.17600000000000002,0.0006219999999999999,0.115,0.68,123.57,4
Para No Verte Más,19CmuECYssqkPWANF4nLWM,2019-06-28T18:50:19Z,Visperas De Carnaval,2000,191378,67,La Mosca Tse-Tse,60nua3AsVSfADZtg5Hdz3W,179526,63,"argentine rock,cumbia,latin,latin alternative,latin pop,latin rock,rock en espanol,ska argentino",0.6579999999999999,0.815,0,-6.834,1,0.105,0.0168,0.0,0.341,0.8370000000000001,99.28,4
Amargo Adiós,4mQwxVqjcHdUEfwSWEOopx,2019-06-28T18:50:19Z,Video Rola,2004-01-01,229800,66,Inspector,4OiCK9NnTWhakDIG57uBUA,628105,70,"latin alternative,latin rock,mexican rock,rock en espanol,ska mexicano",0.597,0.5329999999999999,2,-7.662999999999999,0,0.045,0.17600000000000002,0.0,0.109,0.8340000000000001,139.511,4
La Planta,2GggG2lQVYuus2aeAybe8M,2019-06-28T18:50:19Z,La Vida Gacha,2014-09-12,245826,68,Caos,7aTwbcPoqJOzeEh96WHxrp,12535,59,,0.695,0.7959999999999999,4,-6.057,0,0.0361,0.0174,0.0,0.0493,0.652,114.804,4
De Música Ligera,4bzmedNeY5Ky9EiG6O4jlG,2019-06-28T18:50:19Z,De Musica Ligera,1999-04-27,216626,6,Soda Stereo,7An4yvF7hDYDolN4m5zKBp,3786083,78,"argentine rock,latin alternative,latin rock,rock en espanol,ska argentino",0.55,0.599,2,-11.45,1,0.0274,0.000601,0.599,0.308,0.8009999999999999,124.242,4
La flaca,1MrZ8hGkUWMmT816wPaMgE,2019-06-28T18:50:19Z,La Flaca - Edición 10º Aniversario,2006-06-23,261200,67,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,692976,71,"latin,latin alternative,latin pop,latin rock,rock en espanol,spanish pop,spanish rock",0.871,0.48100000000000004,7,-9.068,1,0.0383,0.52,5.539999999999999e-05,0.0809,0.664,103.06299999999999,4
En algún lugar,3UIENhLRdFIOuRan92cAQu,2019-06-28T18:50:19Z,El Grito Del Tiempo,1987-01-17,235626,66,Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,304635,63,"cantautor,rock en espanol,spanish new wave,spanish pop",0.527,0.8590000000000001,7,-6.685,1,0.0687,0.17600000000000002,0.0866,0.157,0.44299999999999995,74.214,4
Te quiero,6tu2FHuKL9C8pwNrityweQ,2019-06-28T18:50:19Z,Las baladas (Los singles vol II),1985-01-01,225760,69,Hombres G,60uh2KYYSCqAgJNxcU4DA0,1472362,74,"latin,latin alternative,latin pop,latin rock,mexican pop,rock en espanol,spanish rock",0.736,0.711,2,-5.502999999999999,1,0.0352,0.0029,0.000275,0.0948,0.7190000000000001,112.309,3
Te Lo Pido por Favor,6iRkrVOhCjgKFB2cBWnx4M,2019-06-28T18:50:19Z,El Primer Instinto,2002-10-22,206133,67,Jaguares,1RgXxY6uzWo9cjYYwwgVGq,634081,63,"latin alternative,latin rock,mexican rock,rock en espanol",0.648,0.659,2,-6.369,1,0.0259,0.115,0.000307,0.19,0.532,106.196,4
