track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Enter the Unseen,0wpHo9ufyiNdbnr9lIe0B8,2019-05-10T21:26:41Z,Deep Below,2018-11-13,232385,67,Steven Goldmund,3dwkO7z23scCJppeqHGTy3,1753,70,,0.0756,0.0351,10,-29.021,1,0.0395,0.826,0.809,0.102,0.0638,174.44799999999998,4
Heavenly,1uSaD0JKNb5o8Wv29zULwf,2019-05-10T21:26:41Z,Heavenly,2018-12-01,179014,68,Elise Magnefold,6NwzoAF59ghN7JuBvwHVex,743,58,,0.209,0.0692,2,-23.987,0,0.046,0.9570000000000001,0.868,0.115,0.0695,68.543,3
Let Her Go,1SJ4D06KVt9JygZ68vyjkj,2019-05-10T21:26:41Z,All Around Us,2018-11-23,183022,15,Amaranth Cove,1Gt39QnTBTndeyiJ5SO04q,1124,62,focus,0.139,0.21,8,-17.317,0,0.0412,0.823,0.9129999999999999,0.13,0.0414,100.664,4
Focus,2i8zZqCZembQ5MZ9d4Nlow,2019-05-10T21:26:41Z,Focus,2019-02-14,179200,62,Momento,2HD6u9F4pocPtFgmev72AK,129,66,,0.0983,0.07400000000000001,9,-22.995,0,0.0392,0.7490000000000001,0.905,0.10400000000000001,0.0382,88.725,4
Soul Lotion,3Wybg2sLkq2ZrA364KfQfz,2019-05-10T21:26:41Z,Soul Lotion,2018-06-15,210000,63,Cadet de l'espace,3kbDzg7IazEzF0DSWhHK5Z,682,54,,0.213,0.00257,0,-31.156,0,0.04,0.987,0.897,0.163,0.14,68.041,4
Dreaming Deeper,4KPRqt53xnT2Hs2rDGKiRu,2019-05-10T21:26:41Z,The Dreaming Sessions,2019-02-05,223259,69,Alex Couture,25G0894RyKrGyKDqdG1pGu,425,63,,0.175,0.0236,9,-32.695,0,0.0493,0.9279999999999999,0.95,0.0651,0.0373,122.538,5
Eudoxie,1onEytWdEeDCZoyF8VOOA9,2019-05-10T21:26:41Z,Eudoxie,2019-04-21,213500,67,Irizarry Barraza,3l8Rz2GBf5iqZUpd4FjlLW,20,56,,0.17600000000000002,0.0226,0,-24.974,1,0.0379,0.973,0.85,0.109,0.0373,68.663,4
Demi Sec,5cpH1u4FeSQg3mZ7dRb1mj,2019-05-10T21:26:41Z,Demi Sec,2018-03-28,175934,63,Sub-City Keys,3yLwXiZTWsRCxJ0yHVTWNw,903,58,focus,0.326,0.0038,10,-30.011,0,0.0594,0.993,0.95,0.127,0.373,69.85300000000001,4
Movements of Dimensions,7BQDfK8Emfh80YJuvoGrb4,2019-05-10T21:26:41Z,The One We Got,2019-03-25,160392,66,Everlight,6RavlD6YjBgKC9iSh3uHgg,46,65,,0.08199999999999999,0.0782,0,-22.579,1,0.0368,0.981,0.9259999999999999,0.107,0.0369,76.78699999999999,4
A Fighting Chance,00ak5WSrRYU0oPhh1oGr9f,2019-05-10T21:26:41Z,Degrees Of Separation,2018-05-25,190684,18,Trevor Kowalski,4vPiZNfnHqzN52FOn38BEv,1777,63,focus,0.0861,0.18,7,-21.121,0,0.0441,0.8240000000000001,0.9540000000000001,0.12300000000000001,0.0383,68.999,4
