track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y,2019-07-26T16:37:06Z,FourFiveSeconds,2015-01-24,188238,75,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,32997439,90,"dance pop,pop,post-teen pop,r&b,urban contemporary",0.5760000000000001,0.267,2,-5.667999999999999,1,0.044000000000000004,0.878,0.0,0.11900000000000001,0.326,205.888,4
Light On,6UnCGAEmrbGIOSmGRZQ1M2,2019-07-26T16:37:06Z,Heard It In A Past Life,2019-01-18,233880,70,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,418699,72,"electropop,pop",0.657,0.569,2,-6.287000000000001,1,0.0542,0.201,1.3800000000000002e-05,0.126,0.39899999999999997,102.054,4
Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,2019-07-26T16:37:06Z,Must Have Been The Wind,2019-06-13,179299,73,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,712737,81,pop,0.5920000000000001,0.475,7,-11.09,1,0.0727,0.8220000000000001,0.0009689999999999999,0.122,0.369,178.093,4
Out Of Love,4WzhjxvLP95y7AMDy0Atwb,2019-07-26T16:37:06Z,The Pains Of Growing,2018-11-30,227693,77,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,5667051,82,"canadian contemporary r&b,dance pop,pop,post-teen pop,r&b",0.49200000000000005,0.267,7,-9.25,1,0.0336,0.8,0.0,0.249,0.13699999999999998,117.679,3
Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,2019-07-26T16:37:06Z,Outnumbered,2019-06-13,245699,75,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,306704,76,indie folk,0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85,4
20 Something,4h6ViRoztTBpWcJ1zFT9Zg,2019-07-26T16:37:06Z,Ctrl,2017-06-09,198160,59,SZA,7tYKF4w9nC0nq9CsPZTHyP,2699453,83,"hip hop,pop,pop rap,r&b,rap",0.5660000000000001,0.29600000000000004,11,-8.615,1,0.273,0.738,0.0,0.054000000000000006,0.505,79.888,3
Bad,3xRcQ04b0l5RiU2w7lJhCD,2019-07-26T16:37:06Z,Oh My Messy Mind,2019-05-10,225920,69,James Bay,4EzkuveR9pLvDVFNx6foYD,2399045,79,"neo mellow,pop",0.5489999999999999,0.413,4,-5.587000000000001,1,0.0362,0.7559999999999999,0.0,0.0939,0.29,139.981,4
i love you,6CcJMwBtXByIz4zQLzFkKc,2019-07-26T16:37:06Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,291796,84,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10963745,97,"electropop,pop",0.42100000000000004,0.131,0,-18.435,1,0.0382,0.9520000000000001,0.004529999999999999,0.109,0.12,137.446,4
My Mistake,0UlguQTHxZSh4NKDMpQATl,2019-07-26T16:37:06Z,My Mistake,2018-11-28,264656,57,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,465873,64,"acoustic pop,folk-pop,indie anthem-folk,indie folk,neo mellow,neo-singer-songwriter,pop,uk pop,viral pop",0.47600000000000003,0.255,6,-8.522,1,0.0338,0.792,0.0,0.114,0.12,145.67,4
Home,4OsBjrJQbPSMAqdjLBaGOt,2019-07-26T16:37:06Z,A Song For Every Moon,2017-08-31,200620,51,Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,212051,67,"indie cafe pop,indie r&b",0.479,0.446,11,-7.291,1,0.0377,0.825,2.49e-06,0.0926,0.11800000000000001,130.63,4
Hold Me While You Wait,6700Z4Izi8EbB6JNthU6Ma,2019-07-26T16:37:06Z,Hold Me While You Wait,2019-05-03,205686,73,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,843118,87,pop,0.688,0.53,11,-5.507000000000001,1,0.0333,0.44299999999999995,0.0,0.0995,0.162,106.958,4
