track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Tongue Tied,0GO8y8jQk1PkHzS31d699N,2019-05-10T20:44:43Z,Never Trust A Happy Song,2011-09-02,218013,78,Grouplove,3kVUvbeRdcrqQ3oHk5hPdx,727004,70,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,stomp and holler",0.56,0.9359999999999999,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4
I Write Sins Not Tragedies,4bPQs0PHn4xbipzdPfn6du,2019-05-10T20:44:43Z,A Fever You Can't Sweat Out,2005-09-27,187613,75,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,6803587,88,"emo,modern rock,pop punk",0.5670000000000001,0.795,9,-4.985,0,0.134,0.0938,0.0,0.114,0.635,170.06,4
Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,2019-05-10T20:44:43Z,Hot Fuss,2004-01-01,222586,78,The Killers,0C0XlULifJtAgn6ZNCW2eu,4490534,80,"indie rock,modern rock,permanent wave,rock",0.33,0.9359999999999999,1,-3.66,1,0.0917,0.00108,0.0,0.0926,0.23399999999999999,148.112,4
TiK ToK,5OMwQFBcte0aWFJFqrr5oj,2019-05-10T20:44:43Z,Animal,2010,199693,39,Kesha,6LqNN22kT3074XbTVUrhzX,4503646,79,"dance pop,electropop,pop,pop rap,post-teen pop,r&b",0.755,0.8320000000000001,2,-2.741,0,0.11599999999999999,0.0746,1.27e-06,0.29100000000000004,0.735,120.03200000000001,4
I'm Not The Only One,0fioLzGM8ngbD1w6fMmm45,2019-05-10T20:44:43Z,In The Lonely Hour,2014-01-01,239316,23,Sam Smith,2wY79sveU1sp5g7SokKOiI,8439988,90,"pop,post-teen pop",0.45299999999999996,0.496,5,-5.785,1,0.0453,0.5539999999999999,2.65e-05,0.0772,0.501,80.994,4
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,2019-05-10T20:44:43Z,24K Magic,2016-11-17,206693,83,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,20917155,90,"dance pop,pop,post-teen pop",0.853,0.56,1,-4.961,1,0.0406,0.013000000000000001,0.0,0.0944,0.86,134.066,4
Love On The Brain,2aksifNn5ph8igDOkPBA02,2019-05-10T20:44:43Z,ANTI,2016-01-28,224000,72,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,31506339,90,"dance pop,pop,post-teen pop,r&b,urban contemporary",0.509,0.637,4,-4.83,0,0.0471,0.0717,1.0800000000000002e-05,0.0789,0.37799999999999995,172.00599999999997,3
Sk8er Boi,00Mb3DuaIH1kjrwOku9CGU,2019-05-10T20:44:43Z,Let Go,2002-06-04,204000,75,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,4282055,79,"canadian pop,candy pop,dance pop,pop,post-teen pop",0.48700000000000004,0.9,0,-4.417,1,0.0482,6.790000000000001e-05,0.0,0.358,0.484,149.937,4
Say Something,6Vc5wAMmXdKIAM7WUoEb7N,2019-05-10T20:44:43Z,Is There Anybody Out There?,2014-01-17,229400,78,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,326723,70,"neo mellow,piano rock,pop rock",0.40700000000000003,0.147,2,-8.822000000000001,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3
Bohemian Rhapsody - Remastered 2011,2GAIycsMaDVtMtdvxzR2xI,2019-05-10T20:44:43Z,Queen 40 Limited Edition Collector's Box Set,2011-01-01,354320,57,Queen,1dfeR4HaWDbWqFHLkxsg1d,15625049,93,"glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.28800000000000003,0.0,0.243,0.228,143.88299999999998,4
