track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Want It That Way,6e40mgJiCid5HRAGrbpGA6,2019-05-24T09:42:46Z,The Hits--Chapter One,2001-10-23,213600,75,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,2384862,80,"boy band,dance pop,europop",0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,4
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,2019-05-24T09:42:46Z,The Time Of Our Lives (International Version),2009-01-01,202066,77,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9274939,87,"dance pop,pop,post-teen pop",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,2019-05-24T09:42:46Z,Whitney,1987-06-02,291293,78,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,4297200,82,"dance pop,pop,r&b",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.814,4
Don't Go Breaking My Heart,5nPdMALTEd7HOjn16oNf2X,2019-05-24T09:42:46Z,Rock Of The Westies (Remastered),1975-10-24,275440,25,Elton John,3PhoLpVuITZKcymswpck5b,3211895,86,"glam rock,mellow gold,piano rock,rock",0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,4
"Hey, Soul Sister",0KpfYajJVVGgQ32Dby7e9i,2019-05-24T09:42:46Z,"Hey, Soul Sister",2009-08-06,216666,26,Train,3FUY2gzHeIiaesXtOAdB7A,2867167,77,"neo mellow,pop,pop rock",0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,4
9 To 5,5UWYJWoVXRpaLuzzXmHqg8,2019-05-24T09:42:46Z,Dolly Parton Slipcase,2003,162466,18,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,815297,74,"country,country dawn,traditional country",0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4
Take A Bow,3goSVuTt3fDYDP6kRnFwuL,2019-05-24T09:42:46Z,Good Girl Gone Bad: Reloaded,2008-06-02,229413,75,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,32866721,90,"dance pop,pop,post-teen pop,r&b,urban contemporary",0.697,0.467,9,-7.536,1,0.0715,0.248,0,0.0941,0.572,82.081,4
Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,2019-05-24T09:42:46Z,An Innocent Man,1983-08-08,197706,76,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1877576,79,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.701,0.943,4,-2.986,1,0.0456,0.0747,0,0.601,0.791,128.992,4
Bleeding Love,6LtPIXlIzPOTF8vTecYjRe,2019-05-24T09:42:46Z,Spirit,2007,262664,65,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,1825436,73,"australian pop,british soul,dance pop,europop,pop,post-teen pop,r&b,talent show,uk pop",0.635,0.647,5,-5.865,1,0.0351,0.192,0,0.154,0.203,104.054,4
Sweet Caroline,3zByVQLvdXUaDTubfWkpCk,2019-05-24T09:42:46Z,Sweet Caroline,1969,203573,19,Neil Diamond,7mEIug7XUlQHikrFxjTWes,803136,71,"adult standards,brill building pop,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,4
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,2019-05-24T09:42:46Z,Midnight Memories (Deluxe),2013-11-25,245493,76,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,13533697,84,"boy band,dance pop,pop,post-teen pop,talent show",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,4
