track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Crazy for This Girl,2gdt70w8DOCWGq1HdkgSUd,2019-05-24T09:42:46Z,evan and jaron,2000-08-29,202026,58,Evan And Jaron,1xeZcY93inQY14LWwnxd5G,7753,49,"neo mellow,pop rock",0.457,0.9259999999999999,0,-5.461,1,0.038,0.000487,5.6899999999999994e-05,0.0949,0.41,93.964,4
Nervous (The Ooh Song) - Mark McCabe Remix,0L9lXMXddmoBbBUeF7A9An,2019-05-24T09:42:46Z,Nervous (The Ooh Song) [Mark McCabe Remix],2016-06-24,195194,59,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,275051,76,"australian pop,indie cafe pop,neo mellow,pop,viral pop",0.43200000000000005,0.8740000000000001,7,-5.558,1,0.0462,0.0732,6.14e-06,0.371,0.374,103.85,4
Torn,0KDaN0HL3TcJVTbXlQCEsS,2019-05-24T09:42:46Z,Left Of The Middle,1998-01-08,244666,67,Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP,418028,67,"australian pop,dance pop,europop,folk-pop,lilith,new wave pop,pop rock",0.575,0.8859999999999999,5,-5.182,1,0.034,0.0647,0.00018700000000000002,0.7090000000000001,0.608,96.30799999999999,4
Shape of You,7qiZfU4dY1lWllzX7mPBI3,2019-05-24T09:42:46Z,÷ (Deluxe),2017-03-03,233712,86,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45951857,97,"pop,uk pop",0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977,4
Life Is A Highway,0hKF8N8aflF1uDzEEnPr2j,2019-05-24T09:42:46Z,Mad Mad World,1992,266560,22,Tom Cochrane,5Jj4mqGYiplyowPLKkJLHt,27301,57,"canadian indie,canadian singer-songwriter,classic canadian rock,mellow gold",0.6829999999999999,0.7509999999999999,5,-10.184,1,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,4
Take Me to Church,0aOluBqXYd0rFSCsgDyAWX,2019-05-24T09:42:46Z,Hozier,2014-10-07,241693,24,Hozier,2FXC3k01G6Gw61bmprjgqS,3151508,83,"folk-pop,irish singer-songwriter,pop",0.5660000000000001,0.664,4,-5.303,0,0.0464,0.634,0.0,0.11599999999999999,0.43700000000000006,128.945,4
You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,2019-05-24T09:42:46Z,Slippery When Wet,1986-01-01,222706,80,Bon Jovi,58lV9VcRSjABbAbfWS6skp,5854992,82,"glam metal,rock",0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4
Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,2019-05-24T09:42:46Z,Diva,1992,253295,69,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,577745,68,"folk,folk-pop,lilith,mellow gold,new wave pop,pop rock,soft rock",0.75,0.562,0,-8.45,1,0.0281,0.215,1.1e-06,0.105,0.807,115.008,4
I Will Always Love You,0BsbPzgtF3Ljzgtp5WmvwO,2019-05-24T09:42:46Z,Love Songs,2009-01-29,270946,53,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,4195311,79,"dance pop,pop,r&b,urban contemporary",0.29100000000000004,0.213,4,-12.672,1,0.0387,0.84,5.07e-06,0.10400000000000001,0.0993,133.64700000000002,4
Wherever You Will Go,37qI0mchgzUSeUhPiwUWPY,2019-05-24T09:42:46Z,The Best Of...,2011-02-04,209360,64,The Calling,5aMmmNxw4vgpc5XC6hK0zp,393226,67,"neo mellow,pop rock,post-grunge",0.551,0.696,2,-6.192,1,0.0265,0.0392,0.0,0.127,0.354,112.024,4
Feel It Still,7FESgYLcOufHqKlwrvJN60,2019-05-24T09:42:46Z,Feel It Still,2017-03-02,163250,68,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,926171,76,"indie pop,indie rock,modern rock",0.78,0.7979999999999999,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.7709999999999999,78.969,4
Eternal Flame - Single Version,3qzcM6SmbzBnGXSJe6hYdy,2019-05-24T09:42:46Z,Right Now,2001-01-01,195506,59,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,179288,66,"australian pop,bubblegum dance,candy pop,dance pop,europop,girl group",0.578,0.581,0,-6.867000000000001,1,0.0318,0.0658,0.0042,0.0674,0.408,83.29299999999999,4
In the Name of Love,23L5CiUhw2jV1OIMwthR3S,2019-05-24T09:42:46Z,In the Name of Love,2016-07-29,195706,81,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10424676,89,"big room,edm,pop,progressive house,tropical house",0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.45399999999999996,0.168,133.99,4
To Be With You,0Yi128S6QgQDnAKg5A0OZw,2019-05-24T09:42:46Z,Deep Cuts: The Best Of The Ballads,2000,208066,23,Mr. Big,5OfhOoKunSnuubxxRML8J3,240687,63,"album rock,glam metal,hard rock,rock",0.696,0.419,4,-7.289,1,0.0419,0.245,0.0,0.0785,0.48700000000000004,83.65299999999999,4
Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m,2019-05-24T09:42:46Z,Encore,2016-08-05,205946,24,DJ Snake,540vIaP2JwjQb9dm3aArA4,4925954,86,"dance pop,edm,electronic trap,pop,tropical house",0.47600000000000003,0.718,8,-5.309,1,0.0576,0.0784,1.0199999999999999e-05,0.122,0.142,199.864,4
Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,2019-05-24T09:42:46Z,Making Mirrors,2011-01-01,244884,74,Gotye,2AsusXITU8P25dlRNhcAbG,2143282,70,australian pop,0.862,0.515,0,-6.9270000000000005,1,0.0359,0.542,0.000113,0.0987,0.7509999999999999,129.055,4
Use Somebody,5VGlqQANWDKJFl0MBG3sg2,2019-05-24T09:42:46Z,Only By The Night,2008-09-23,230760,76,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,3848720,80,"garage rock,indie rock,modern rock,rock",0.276,0.715,0,-5.356,1,0.0432,0.005520000000000001,0.000417,0.201,0.17300000000000001,137.028,4
Just Like a Pill,2Aebl2cIDLjPUvOJPH8xyH,2019-05-24T09:42:46Z,M!ssundaztood,2001-11-16,237040,16,P!nk,1KCSPY1glIKqW2TotWuXOR,6519150,88,"dance pop,pop,post-teen pop,r&b",0.6859999999999999,0.782,9,-4.6530000000000005,1,0.0277,0.000106,0.0,0.0961,0.247,101.986,4
The Shoop Shoop Song (It's In His Kiss),1F93GMRPvmWpVP970SzjpH,2019-05-24T09:42:46Z,Love Hurts (UK Mid Price),1991-01-01,170000,28,Cher,72OaDtakiy6yFqkt4TsiFt,1117980,75,"dance pop,hollywood,new wave pop,pop",0.6779999999999999,0.61,0,-10.509,1,0.0306,0.467,0.0,0.397,0.919,117.04,4
Bitch,3i6qNxyVgIdUZTTi5m25EM,2019-05-24T09:42:46Z,Blurring The Edges,1997-01-01,252760,67,Meredith Brooks,2QmLFuIDtNDmmJY3OtvinN,43833,57,"lilith,pop rock",0.617,0.8859999999999999,9,-5.952999999999999,1,0.055,0.0112,9.63e-05,0.0523,0.629,96.32799999999999,4
Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ,2019-05-24T09:42:46Z,Faith,1987-10-30,193200,73,George Michael,19ra5tSw0tWufvUp8GotLo,1726537,76,"dance rock,europop,new wave pop,soft rock",0.887,0.48,11,-11.994000000000002,1,0.11699999999999999,0.0094,3.5799999999999996e-05,0.0662,0.607,95.846,4
Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,2019-05-24T09:42:46Z,The Game (2011 Remaster),1980-06-27,214653,82,Queen,1dfeR4HaWDbWqFHLkxsg1d,16956673,93,"glam rock,rock",0.9329999999999999,0.528,5,-6.472,0,0.161,0.11199999999999999,0.312,0.163,0.754,109.96700000000001,4
Zombie,2IZZqH4K02UIYg5EohpNHF,2019-05-24T09:42:46Z,No Need To Argue,1994-10-03,306410,79,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,1618262,77,"irish rock,pop rock,rock",0.299,0.613,7,-9.012,1,0.0347,0.0163,0.00359,0.368,0.306,166.96,4
