track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-06-28T17:32:35Z,Beautiful People (feat. Khalid),2019-06-28,197866,79,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46325721,98,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-06-28T17:32:35Z,Higher Love,2019-06-28,228267,71,Kygo,23fqKkggKUBHNkbKtXEls4,5051310,90,"edm,pop,tropical house",0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,4
On A Roll,56JyMaElW79S7TDWh1Zw1m,2019-06-28T17:32:35Z,On A Roll,2019-06-14,154447,81,Ashley O,14scxEoUN7Dcx1m4EQ7oHe,34780,72,"dance pop,pop,post-teen pop",0.737,0.81,5,-6.354,1,0.0896,0.077,0.0,0.0523,0.387,125.005,4
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,2019-06-28T17:32:35Z,7 EP,2019-06-21,157066,69,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,468509,93,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4
Good as Hell,6uAm7pG66O1XesXS9bpHSF,2019-06-28T17:32:35Z,Good As Hell,2016-03-11,159011,79,Lizzo,56oDRnqbIiwx4mymNEv7dS,528490,88,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.684,0.905,0,-3.187,0,0.0765,0.285,0.0,0.525,0.49200000000000005,95.985,4
Lalala,07rmSXN6vNoquX1AsWd9pP,2019-06-28T17:32:35Z,Lalala,2019-06-07,160615,82,Y2K,6USMTwO0MNDnKte5a5h0xx,13857,73,,0.843,0.391,2,-7.899,1,0.0845,0.18100000000000002,0.0,0.13699999999999998,0.496,129.972,4
Rescue Me,5dLP5JbgWGZttnUv4NFJeg,2019-06-28T17:32:35Z,Rescue Me,2019-06-14,237203,75,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13458939,92,"brostep,egyptian pop,progressive electro house",0.45,0.8959999999999999,11,-2.52,1,0.0882,0.00938,0.0,0.41600000000000004,0.392,148.126,4
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,2019-06-28T17:32:35Z,Hate Me (with Juice WRLD),2019-06-26,186223,70,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6632870,87,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.657,0.768,8,-4.628,1,0.0507,0.10800000000000001,0.0,0.14400000000000002,0.759,75.025,4
Cigarettes On Patios,44yeuXXaEnaK5Cugptf7GH,2019-06-28T17:34:54Z,Cigarettes On Patios,2019-06-07,207813,59,BabyJake,07Asx51VtMw5kbNXKrpZlq,562,52,,0.754,0.725,7,-5.7829999999999995,1,0.0528,0.319,1.19e-06,0.188,0.597,140.011,4
I Believe,1vYh9x8UmFTLbXiizk9Qc5,2019-06-28T17:32:35Z,Happiness Begins,2019-06-07,217533,78,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2472309,91,"boy band,dance pop,pop,post-teen pop",0.7490000000000001,0.774,9,-6.221,1,0.12,0.0857,1.1400000000000001e-05,0.11,0.35,99.01899999999999,4
