track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-06-15T12:14:17Z,You Need To Calm Down,2019-06-14,171386,79,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20409402,93,"dance pop,pop,post-teen pop",0.767,0.681,2,-5.794,1,0.0501,0.0107,0,0.0707,0.726,85.003,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-06-15T12:14:17Z,World War Joy,2019-05-31,217653,87,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12544509,91,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-15T12:14:17Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45546912,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-06-15T12:14:17Z,TIM,2019-06-06,277261,86,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13695741,93,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-06-15T12:14:17Z,Happiness Begins,2019-06-07,183000,83,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2357244,90,"boy band,dance pop,pop,post-teen pop",0.793,0.49,2,-5.857,0,0.0784,0.121,0,0.0638,0.838,94.006,4
when the party's over - Recorded at Spotify Studios NYC,6H7fWtwEUHVfTyZD7zeG4w,2019-06-15T12:14:17Z,Spotify Singles,2019-06-12,232837,70,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,636783,89,pop,0.476,0.208,10,-10.253,1,0.0384,0.943,0,0.0909,0.282,117.055,3
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-06-15T12:14:17Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8930028,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-06-15T12:14:17Z,The Best In The World Pack,2019-06-15,205426,0,Drake,3TVXtAsR1Inumwj472S9r4,37661483,98,"canadian hip hop,canadian pop,hip hop,pop rap,rap"
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-06-15T12:14:17Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,91,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10344694,89,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-06-15T12:14:17Z,If I Can't Have You,2019-05-03,190800,95,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17183828,93,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-06-15T12:14:17Z,Never Really Over,2019-05-31,223523,89,Katy Perry,6jJ0s89eD6GaHleKKya26X,13090966,89,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
