track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,2019-06-28T14:37:10Z,"Todos Os Cantos, Vol. 2 (ao Vivo)",2019-05-17,154661,83,Marília Mendonça,1yR65psqiazQpeM79CcGh8,9816074,88,sertanejo,0.621,0.743,3,-3.864,1,0.0738,0.281,0,0.411,0.581,111.454,4
Lençol Dobrado,5pRGXCDY0eT6R1QicAn7Uk,2019-06-28T14:37:10Z,Espelho no Teto,2018-12-21,179164,82,João Gustavo e Murilo,6xerOqBLmelL3xZNZkVbGl,43089,72,sertanejo pop,0.707,0.664,2,-5.042,1,0.0382,0.361,0,0.331,0.674,124.991,4
Evoluiu,0WhDotK0QXigmsrlw0DxKK,2019-06-28T14:37:10Z,Evoluiu,2019-03-15,179644,81,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,186535,81,funk carioca,0.776,0.465,7,-6.368,0,0.434,0.466,0,0.363,0.694,149.829,4
Não sou obrigada,0nkDm27DGppCSk8dnGtvPa,2019-06-28T14:37:10Z,Não sou obrigada,2019-03-29,148340,78,POCAH,11iQCRz636WFdHj42qxAF6,8543,69,,0.819,0.951,6,-2.896,0,0.141,0.356,0,0.145,0.963,153.963,4
Cobaia,6qDvzHbstT1Tr45okT8eN4,2019-06-28T14:37:10Z,Cobaia,2018-07-20,219442,78,Lauana Prado,6TYimByryGphZCtwYopH0y,369445,73,"sertanejo pop,sertanejo universitario",0.751,0.709,8,-4.216,1,0.0382,0.125,0,0.807,0.515,114.094,4
Garupa,1HEr5uCRyuuLlVCOB1RiTE,2019-06-28T14:37:10Z,Garupa,2019-06-13,128067,71,Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,517439,72,"baile pop,funk carioca,pop nacional",0.785,0.76,6,-4.168,0,0.0438,0.175,6.25e-05,0.169,0.498,101.964,4
Senta braba,2SgVsDXzET5EU8VngMh9dv,2019-06-28T14:37:10Z,Senta braba,2019-02-08,149615,76,MC WM,14D0I0RYqvIorkPL2EWoQh,2540721,71,"baile pop,funk carioca,funk ostentacao",0.876,0.724,7,-2.915,1,0.0955,0.228,0.000655,0.104,0.789,100.021,4
Vou Ter Que Superar - Ao Vivo,6sRLrSetyIwIKhW1eMlUNP,2019-06-28T14:37:10Z,Tem Moda Pra Tudo (Ao Vivo),2019-03-22,189059,82,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,5789727,83,"funk carioca,pop nacional,sertanejo universitario",0.505,0.721,1,-5.86,1,0.061,0.768,0,0.869,0.421,106.248,4
Péssimo Negócio - Ao Vivo,3FOOdP48VrHCAviC34L84Q,2019-06-28T14:37:10Z,Péssimo Negócio (Ao Vivo),2018-10-31,201377,75,Dilsinho,4NUePmzDvCYqilXBFa91Hg,919845,79,"funk carioca,pagode",0.538,0.651,10,-5.805,1,0.0336,0.801,0,0.948,0.544,148.03,4
Onda diferente (feat. Papatinho),2H8ETIUEoN9YMf56X66bxd,2019-06-28T14:37:10Z,Kisses,2019-04-05,160900,79,Anitta,7FNnA9vBm6EKceENgCGRMb,7655013,87,"baile pop,funk carioca,funk das antigas",0.705,0.721,1,-5.545,0,0.514,0.333,0,0.101,0.574,75.132,4
