track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Softly,4PvbbMYL4fkToni5BLaYRb,2019-08-16T08:01:00Z,Immunity,2019-08-02,185306,70,Clairo,3l0CmX0FuQjFxr8SK7Vqag,633356,80,"bedroom pop,boston indie,pop",0.759,0.436,0,-11.233,0,0.0419,0.33,0.0113,0.102,0.782,94.03,4
RABi,1NrmVZxiiBPBOVHnN0001b,2019-08-23T08:01:00Z,"i,i",2019-08-09,212266,63,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2382395,82,"chamber pop,eau claire indie,folk-pop,indie folk,indie pop,melancholia,slow core,stomp and holler",0.413,0.21,10,-13.94,1,0.0365,0.953,0.00524,0.121,0.278,111.518,4
Can I Call You Tonight?,5Ti99QiUdIwe0xG4gS22FL,2019-06-21T08:01:00Z,Fuzzybrain,2018-09-28,278769,68,Dayglow,6eJa3zG1QZLRB3xgRuyxbm,36797,61,austindie,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
Tenderness,0l4cR2AZ18MktMd0BU3zwh,2019-08-23T08:01:00Z,Anak Ko,2019-08-23,241097,16,Jay Som,1wmiQ6ytATiGnJs6uFluKO,55226,58,"art pop,bay area indie,chamber pop,chillwave,dream pop,electropop,folk-pop,freak folk,indie folk,indie pop,indie rock,indietronica,modern rock,noise pop,oakland indie,preverb,small room",0.543,0.498,9,-10.152,1,0.0678,0.692,0.433,0.078,0.815,113.394,4
Borderline,3O8X1DE9btbzy4UH9cSX9a,2019-04-12T07:01:00Z,Borderline,2019-04-12,274293,74,Tame Impala,5INjqkS1o8h1imAzPqGZBb,2749987,81,"australian psych,neo-psychedelic,psychedelic rock",0.598,0.71,0,-6.839,0,0.0272,0.0476,1.77e-05,0.1,0.726,97.976,4
Fall Down,5UoGeHzsUbEImTCwtLeM8K,2019-06-14T08:01:00Z,Fall Down,2019-05-29,173000,38,Crumb,4kSGbjWGxTchKpIxXPJv0B,129659,65,"indie garage rock,neo-psychedelic",0.715,0.53,7,-8.674,1,0.0284,0.487,0.902,0.196,0.606,120.021,4
Southern Sky,3ijBnsYKZ71OuUOEkrEXbl,2019-08-23T08:01:00Z,Southern Sky,2019-08-13,192866,53,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,81241,61,"alternative rock,art pop,chillwave,dream pop,freak folk,garage psych,indie folk,indie garage rock,indie pop,indie rock,lo-fi,noise pop,philly indie,preverb",0.514,0.474,7,-5.617,1,0.0238,0.34,0.00105,0.123,0.21,98.082,4
Honeypie,6JqYhSdTE4WbQrMXxPH5cD,2019-08-16T08:01:00Z,Honeypie,2019-04-25,135521,68,Johnny Utah,25pd339V2rRJo84USlcSRP,15870,59,bedroom pop,0.742,0.678,5,-4.605,0,0.192,0.0698,0,0.151,0.927,115.05,4
The greatest,13F2adrvrpaq2383GHh1Jl,2019-08-23T08:01:00Z,Fuck it I love you / The greatest,2019-08-22,300360,64,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,8731109,86,"dance pop,pop",0.405,0.229,2,-12.334,0,0.0369,0.935,0.0171,0.172,0.186,78.434,3
When Am I Gonna Lose You,5wCVLW9qMtIY9IkBeyYnh6,2019-04-26T08:01:00Z,Violet Street,2019-04-26,264213,67,Local Natives,75dQReiBOHN37fQgWQrIAJ,429741,69,"chamber pop,electropop,folk-pop,indie folk,indie pop,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler",0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,4
