track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-07-04T11:46:12Z,TIM,2019-06-06,277261,90,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13986569,93,"big room,edm,pop",0.5920000000000001,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,4
Runaway,7BuSE9uTIw931wtZYzvZcQ,2019-07-04T11:46:12Z,Runaway,2019-06-21,200693,84,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,7608068,90,colombian pop,0.7559999999999999,0.851,2,-3.33,1,0.0674,0.0336,0.0,0.126,0.934,75.014,4
La Libertad,3DsLBZjoU5AYxZXsepHtsW,2019-07-04T11:46:12Z,Mar De Colores (Versión Extendida),2019-05-10,192853,77,Alvaro Soler,2urF8dgLVfDjunO0pcHUEe,992221,77,latin pop,0.6759999999999999,0.792,5,-4.593999999999999,0,0.0351,0.0149,0.0,0.414,0.57,112.00399999999999,4
Señorita,0TK2YIli7K1leLovkQiNik,2019-07-04T11:46:12Z,Señorita,2019-06-21,190960,99,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17804035,96,"canadian pop,dance pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037000000000000005,0.0,0.0945,0.75,116.947,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-07-04T11:46:12Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,93,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10577461,90,"big room,edm,pop,progressive house,tropical house",0.6609999999999999,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.77799999999999,4
Sixteen,4PkIDTPGedm0enzdvilLNd,2019-07-04T11:46:12Z,Sixteen,2019-04-12,201072,86,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6658845,87,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.669,0.8009999999999999,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,4
On A Roll,56JyMaElW79S7TDWh1Zw1m,2019-07-04T11:46:12Z,On A Roll,2019-06-14,154447,85,Ashley O,14scxEoUN7Dcx1m4EQ7oHe,40256,75,"dance pop,pop,post-teen pop",0.737,0.81,5,-6.354,1,0.0896,0.077,0.0,0.0523,0.387,125.005,4
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-07-04T11:46:12Z,You Need To Calm Down,2019-06-14,171386,93,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20927108,94,"dance pop,pop,post-teen pop",0.767,0.6809999999999999,2,-5.794,1,0.0501,0.0107,0.0,0.0707,0.726,85.00299999999999,4
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,2019-07-04T11:46:12Z,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,174800,84,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,4400741,84,"dance pop,pop,post-teen pop,tropical house",0.6629999999999999,0.708,8,-4.154,1,0.0473,0.0337,0.0,0.0841,0.742,103.073,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-07-04T11:46:12Z,SOS,2019-04-10,157202,83,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13986569,93,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,4
Te Vas,365AIaW2TfwodPX30tn71e,2019-07-04T11:46:12Z,YO,2019-05-31,192000,59,INNA,2w9zwq3AktTeYYMuhMjju8,803002,70,dance pop,0.835,0.628,6,-6.926,0,0.17800000000000002,0.0745,1.13e-06,0.0823,0.33899999999999997,115.046,4
