track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-07-25T02:33:58Z,SOS,2019-04-10,157202,70,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14396710,90,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,4
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,2019-07-25T02:33:58Z,Climaxxx,2019-05-10,286506,85,Dalex,0KPX4Ucy9dk82uj4GpKesn,191538,85,r&b en espanol,0.6809999999999999,0.648,1,-5.021,0,0.38,0.524,0.0,0.10400000000000001,0.687,172.019,4
Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,2019-07-25T02:33:58Z,Nothing Breaks Like a Heart (feat. Miley Cyrus),2018-11-30,217466,80,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,621914,84,"dance pop,pop,tropical house",0.601,0.794,7,-5.843999999999999,0,0.0671,0.00987,1.36e-06,0.38799999999999996,0.244,114.066,4
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,2019-07-25T02:33:58Z,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,174800,80,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,4574479,81,"dance pop,pop,post-teen pop,tropical house",0.6629999999999999,0.708,8,-4.154,1,0.0473,0.0337,0.0,0.0841,0.742,103.073,4
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-07-25T02:33:58Z,You Need To Calm Down,2019-06-14,171386,90,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21708534,92,"dance pop,pop,post-teen pop",0.767,0.6809999999999999,2,-5.794,1,0.0501,0.0107,0.0,0.0707,0.726,85.00299999999999,4
Sixteen,4PkIDTPGedm0enzdvilLNd,2019-07-25T02:33:58Z,Sixteen,2019-04-12,201072,81,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6774658,86,"dance pop,electropop,metropopolis,pop,post-teen pop,tropical house",0.669,0.8009999999999999,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,4
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-07-25T02:33:58Z,Beautiful People (feat. Khalid),2019-06-28,197866,92,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48409762,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.5479999999999999,92.977,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-07-25T02:33:58Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,89,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10939756,88,"big room,edm,pop,progressive house,tropical house",0.6609999999999999,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.77799999999999,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-07-25T02:33:58Z,TIM,2019-06-06,277261,85,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14396710,90,"big room,edm,pop",0.5920000000000001,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,4
Call You Mine,05CwHjIk71RXVU40boRMnR,2019-07-25T02:33:58Z,World War Joy,2019-05-31,217653,89,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13215506,90,"electropop,pop,tropical house",0.591,0.7020000000000001,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.00299999999999,4
On A Roll,56JyMaElW79S7TDWh1Zw1m,2019-07-25T02:33:58Z,On A Roll,2019-06-14,154447,85,Ashley O,14scxEoUN7Dcx1m4EQ7oHe,49279,75,"dance pop,electropop,pop,post-teen pop",0.737,0.81,5,-6.354,1,0.0896,0.077,0.0,0.0523,0.387,125.005,4
Otra Vez,6P1CgIgKVxLFgFUHtymVpV,2019-07-25T02:33:58Z,Realidad,2019-05-31,170560,71,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,1240211,87,"latin,reggaeton,reggaeton flow,tropical",0.89,0.539,11,-3.327,0,0.0658,0.0816,0.0,0.0886,0.5479999999999999,94.006,4
