track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-28T15:32:20Z,I Don't Care (with Justin Bieber),2019-05-10,219946,100,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46325746,98,"pop,uk pop",0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4
Sucker,22vgEDb5hykfaTwLuskFGD,2019-06-28T15:32:20Z,Happiness Begins,2019-06-07,181026,81,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2472312,91,"boy band,dance pop,pop,post-teen pop",0.8420000000000001,0.7340000000000001,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,4
Who Do You Love,11cDEev79fPKi6uJCjUhu8,2019-06-28T15:32:20Z,Who Do You Love,2019-02-07,226746,62,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12746625,92,"edm,electropop,pop,tropical house",0.51,0.835,3,-4.673,1,0.0447,0.007909999999999999,0.0,0.21899999999999997,0.435,140.024,4
Polaroid,1wsLHgXJ4SKIfd5ePSX1hD,2019-06-28T15:32:20Z,Polaroid,2018-10-05,193377,80,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2055294,87,"dance pop,edm,pop,tropical house,uk dance",0.652,0.897,7,-4.481,0,0.036000000000000004,0.293,0.0,0.0722,0.475,114.03299999999999,4
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,2019-06-28T15:32:20Z,Close To Me (feat. Swae Lee),2018-10-24,182623,86,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6632870,87,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.574,0.758,1,-5.029,0,0.0621,0.0969,0.0,0.395,0.49200000000000005,144.111,4
Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,2019-06-28T15:32:20Z,Lost In Japan (Remix),2018-09-27,201253,78,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17605429,95,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.6940000000000001,0.852,7,-5.34,0,0.257,0.0882,0.0,0.33399999999999996,0.377,107.178,4
No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,2019-06-28T15:32:20Z,No One Compares To You,2018-10-05,184080,31,Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,954387,78,"australian pop,dance pop,pop,post-teen pop,teen pop",0.703,0.748,1,-6.047000000000001,1,0.0435,0.12300000000000001,0.0,0.0642,0.625,111.943,4
Big Plans,6Yx181fZzA0YE2EkUsYruq,2019-06-28T15:32:20Z,Big Plans,2019-01-17,179929,80,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1371317,83,"boy band,dance pop,pop,post-teen pop,teen pop",0.693,0.604,11,-5.279,1,0.0427,0.0668,0.0,0.114,0.6509999999999999,75.014,4
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,2019-06-28T15:32:20Z,Ruin My Life,2018-10-18,190931,81,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5306886,86,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.665,0.6990000000000001,11,-5.265,1,0.0578,0.423,0.0,0.0969,0.585,124.896,4
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,2019-06-28T15:32:20Z,I Like Me Better,2017-05-19,197436,85,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1374451,88,"dance pop,pop,post-teen pop",0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.10400000000000001,0.419,91.97,4
