track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
No New Friends,3Y7a0typ6ik1KscmebXd6D,2019-07-26T17:31:53Z,No New Friends,2019-03-14,175823,47,Sia,5WUlDfRSoLAfcVSX1WnrxN,12986638,88,"australian dance,australian pop,pop",0.7240000000000001,0.7020000000000001,7,-4.622,1,0.0429,0.0648,0.000256,0.121,0.688,106.044,4
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-07-26T17:31:53Z,Dancing With A Stranger (with Normani),2019-01-11,171029,87,Sam Smith,2wY79sveU1sp5g7SokKOiI,9109466,90,"pop,post-teen pop",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,4
7 Years,5kqIPrATaCc2LqxVWzQGbk,2019-07-26T17:31:53Z,Lukas Graham,2016-04-01,237300,76,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,1361607,76,"danish pop,pop,scandipop",0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,4
One Foot,3yWsWi2PAo9s6elIhnywIS,2019-07-26T17:31:53Z,One Foot,2017-09-22,261371,61,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,1350705,73,"indie pop,indie poptimism,indietronica,modern rock,pop,pop rock",0.581,0.826,0,-4.87,1,0.0357,0.00773,1.56e-06,0.792,0.49200000000000005,100.01799999999999,4
To the Man Who Let Her Go - Radio Mix,4tmeZE9eLenHpENjMtxRAO,2019-07-26T17:31:53Z,To the Man Who Let Her Go (Remixes),2019-05-24,185219,54,Tyler Shaw,3jERgGiTwNAPxNmDasAb31,23589,56,pop quebecois,0.7609999999999999,0.584,6,-7.832000000000001,1,0.0407,0.0719,0.0,0.0939,0.294,101.993,4
Havana,0ofbQMrRDsUaVKq2mGLEAb,2019-07-26T17:31:53Z,Havana,2017-08-03,216896,25,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,10724878,94,"dance pop,pop,post-teen pop",0.768,0.517,7,-4.323,0,0.0312,0.18600000000000003,3.8e-05,0.10400000000000001,0.418,104.992,4
One Touch,5EKiBMhzRLALeGDPdoAKkQ,2019-07-26T17:31:53Z,One Touch,2019-05-24,197875,76,Jess Glynne,4ScCswdRlyA23odg9thgIO,1667827,82,"dance pop,pop,post-teen pop,tropical house,uk pop",0.6859999999999999,0.693,0,-6.245,0,0.131,0.32899999999999996,0.0,0.136,0.6990000000000001,124.206,4
Let You Love Me,6xtcFXSo8H9BZN637BMVKS,2019-07-26T17:31:53Z,Let You Love Me,2018-09-21,190000,75,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,4580453,86,"dance pop,edm,pop,post-teen pop,r&b,tropical house,uk pop",0.531,0.8540000000000001,10,-3.1489999999999996,1,0.198,0.28800000000000003,0.0,0.0773,0.456,94.419,4
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,2019-07-26T17:31:53Z,Jungle Rules,2017-07-14,233901,80,French Montana,6vXTefBL93Dj5IqAWq6OTv,2897674,85,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.726,0.769,6,-5.043,1,0.12300000000000001,0.0293,0.0101,0.10400000000000001,0.733,97.985,4
Let Me Live,3RtG4ReXHEhIPkxPHCF4jp,2019-07-26T17:31:53Z,Let Me Live,2018-06-15,205760,45,Rudimental,4WN5naL3ofxrVBgFpguzKo,1052768,77,"dance pop,edm,liquid funk,pop,tropical house,uk funky",0.662,0.8440000000000001,8,-5.495,1,0.0669,0.00295,4.7799999999999996e-05,0.525,0.763,145.007,4
This Is How We Do It,7m9QZZvQ67VKPhJwR8PyOa,2019-07-26T17:31:53Z,This Is How We Do It,2019-07-05,144240,56,Dan Talevski,0Vu4A064M7J86SoMA0nrJH,4699,56,canadian pop,0.7390000000000001,0.527,11,-5.747999999999999,1,0.042,0.0799,0.0,0.157,0.551,101.98299999999999,4
All The Lies (with Felix Jaehn & The Vamps),4Cy5f4JsH1yoeGks7FnoHw,2019-07-26T17:31:53Z,All The Lies (with Felix Jaehn & The Vamps),2019-03-15,179456,69,Alok,0NGAZxHanS9e0iNHpR8f2W,5925388,79,"electro house,pop nacional",0.611,0.835,6,-4.107,1,0.139,0.16699999999999998,0.0,0.107,0.672,102.023,4
