track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ain't Thinkin Bout You (feat. Louisa),1tjxQYoB2OS2fRZS43ODLQ,2019-06-01T22:35:01Z,Ain't Thinkin Bout You (feat. Louisa),2019-05-31,165616,50,KREAM,0DdDnziut7wOo6cAYWVZC5,50719,68,"dance pop,deep tropical house,edm,electro house,pop,pop edm,tropical house,uk dance",0.784,0.761,9,-4.533,1,0.0351,0.00653,0.000463,0.0984,0.525,123.971,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-06-01T22:35:01Z,Piece Of Your Heart,2019-02-01,152913,79,MEDUZA,0xRXCcSX89eobfrshSVdyu,11339,79,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Lullaby - GATTÜSO Remix,0D2GrOxDYUSEO5lPBBiQ3v,2019-06-01T22:35:01Z,Lullaby (GATTÜSO Remix),2019-05-17,222187,63,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1643542,83,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.494,0.639,1,-6.276,0,0.0324,0.00544,0,0.143,0.235,127.997,4
SOS - Laidback Luke Tribute Remix / Radio Edit,3eLdNmnRWr9gIyBcqTSSti,2019-06-01T22:35:01Z,SOS (Laidback Luke Tribute Remix),2019-05-17,164516,62,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13477339,90,"big room,edm,pop",0.572,0.915,5,-4.451,0,0.0625,0.0111,0,0.339,0.678,123.919,4
Fire In My Soul,0M0FvSNRZmDz0Z769rewlI,2019-06-01T22:35:01Z,Fire In My Soul,2018-10-26,175253,70,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,731167,75,"big room,dance pop,deep big room,edm,electro house,future house,house,progressive electro house,progressive house,tropical house",0.592,0.977,6,-3.389,1,0.312,0.206,0.000103,0.0703,0.496,126.178,4
Sweet Disposition - Vintage Culture & Lazy Bear Remix,4MFZBEsF4RZ8ihiLCyl79f,2019-06-01T22:35:01Z,Sweet Disposition (Vintage Culture & Lazy Bear Remix),2019-04-05,225245,63,The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,514372,66,"alternative dance,indie pop,indie rock,indietronica,modern rock",0.702,0.658,11,-3.656,0,0.0367,0.169,0.0172,0.111,0.418,121.989,4
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,2019-06-01T22:35:01Z,High On Life (feat. Bonn),2018-07-29,230761,80,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10195171,88,"big room,edm,pop,progressive house,tropical house",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,4
Million Things - Stash Konig Remix,13yttVPvRnbEAeiQjYNbJE,2019-06-01T22:35:01Z,Million Things (Stash Konig Remix),2019-05-17,240000,53,GATTÜSO,3PlRvQnVE3XAbtHUNc4nic,29365,64,pop edm,0.801,0.894,8,-2.934,1,0.0574,0.0245,0.000712,0.0395,0.803,119.986,4
Solid Gold,7DQ5CZjAQdhgDgdnSXxJ7Z,2019-06-01T22:35:01Z,Solid Gold,2019-05-02,208367,66,PNAU,6n28c9qs9hNGriNa72b26u,102186,67,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,edm,new rave",0.567,0.946,5,-2.245,0,0.0541,0.0978,1.37e-06,0.0836,0.295,104.983,4
Deep End (feat. JHart) - Eden Prince Remix,3K4ywyPCdpF9evoL7Z3z1b,2019-06-01T22:35:01Z,Deep End (feat. JHart) [Eden Prince Remix],2018-08-24,208095,67,KREAM,0DdDnziut7wOo6cAYWVZC5,50719,68,"dance pop,deep tropical house,edm,electro house,pop,pop edm,tropical house,uk dance",0.677,0.848,7,-6.14,0,0.0741,0.0154,0.00111,0.277,0.469,125.068,4
