track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Instagram,0U6bQIAh6MCGo1xjbIIx2S,2019-07-19T04:04:06Z,Instagram,2019-07-05,184558,78,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2487852,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.765,0.9059999999999999,8,-2.097,0,0.0965,0.125,0.0,0.423,0.95,96.071,4
Selfish - Tomorrowland 2013 Aftermovie Remix,28ywYrZxqUIdX7ctAkGrGi,2019-07-19T04:04:06Z,Selfish (Tomorrowland 2013 Aftermovie Remix),2019-07-19,224368,41,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2487852,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.581,0.961,9,-5.431,1,0.0632,0.266,0.7090000000000001,0.156,0.111,126.195,4
Stay (Don't Go Away) [feat. Raye] - David Guetta & R3HAB Remix,1CshSPWFrIZTXrAXHMc4jG,2019-07-19T04:04:06Z,Stay (Don't Go Away) [feat. Raye] [David Guetta & R3HAB Remix],2019-06-14,200314,62,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19284011,89,"dance pop,edm,pop",0.594,0.883,9,-4.91,0,0.0845,0.039,9.14e-06,0.0902,0.188,127.09200000000001,4
Tough Love - Tiësto Remix,7HJ7gLfj3Qmu7PZIRYgRHo,2019-07-19T04:04:06Z,Tough Love (Tiësto Remix),2019-06-14,238110,62,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14190375,91,"big room,edm,pop",0.6559999999999999,0.9059999999999999,8,-3.425,1,0.0494,0.00267,2.54e-05,0.353,0.5920000000000001,127.01700000000001,4
These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,2019-07-19T04:04:06Z,These Are The Times (feat. JRM),2019-07-18,188656,62,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10773013,88,"big room,edm,pop,progressive house,tropical house",0.687,0.7070000000000001,4,-6.19,1,0.0328,0.0536,9.290000000000001e-05,0.16,0.607,127.03299999999999,4
Project T - Martin Garrix Remix,5Qw6359qWB9JdwIXYS0lxj,2019-07-19T04:04:06Z,Project T (Martin Garrix Remix),2013-10-14,312197,45,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2487852,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.561,0.725,9,-7.212000000000001,0,0.042,0.00358,0.857,0.0872,0.11699999999999999,127.993,4
Repeat After Me,1F9xcExF9W7m5BxTdlJLED,2019-07-19T04:04:06Z,Repeat After Me,2019-01-11,194260,67,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2487852,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.321,0.9390000000000001,6,-4.86,0,0.0616,0.0034200000000000003,0.81,0.0905,0.179,131.933,4
Café Del Mar 2016 - Dimitri Vegas & Like Mike vs Klaas Edit,4Hrp6dJx0gQX65fnyBnsIy,2019-07-19T04:04:06Z,Café Del Mar (Dimitri Vegas & Like Mike vs Klaas Edit),2016-04-04,173906,28,MATTN,1RQ3ZwCNI7KniEKIN5kkio,15311,53,"belgian edm,deep big room,sky room",0.555,0.9590000000000001,5,-4.118,0,0.0591,0.0265,0.00126,0.401,0.308,128.028,4
Sad Song (feat. TINI) (Alesso Remix),2UJQmwF0yShE7pHcjSzX4X,2019-07-19T04:04:06Z,Sad Song (feat. TINI) (Alesso Remix),2019-07-19,214385,49,Alesso,4AVFqumd2ogHFlRbKIjp1t,2891145,81,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.541,0.92,7,-3.299,1,0.0937,0.0193,0.000397,0.0911,0.2,123.95200000000001,4
All This Love (feat. Harlœ) - Deepend Remix,4JxZdpIH323g6eK1FrGqDW,2019-07-19T04:04:06Z,All This Love (feat. Harlœ) [Deepend Remix],2019-06-21,169523,56,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2081576,83,"dance pop,deep euro house,deep house,edm,german dance,pop,tropical house",0.624,0.94,5,-5.027,1,0.0561,0.0203,0.0008119999999999999,0.222,0.304,126.038,4
