track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Te Vas,365AIaW2TfwodPX30tn71e,2019-05-31T15:36:27Z,YO,2019-05-31,192000,45,INNA,2w9zwq3AktTeYYMuhMjju8,791514,68,dance pop,0.835,0.628,6,-6.926,0,0.178,0.0745,1.13e-06,0.0823,0.339,115.046,4
Don't Dream It's Over,2vGzIWcTV96T9Lq26l2cW5,2019-05-31T15:36:27Z,Don't Dream It's Over,2019-03-29,197346,49,Tom & Collins,1XU5MjR4kex9BGyY4UMtta,14591,50,mexican edm,0.824,0.701,5,-5.472,1,0.0567,0.0159,5.78e-06,0.0487,0.581,123.969,4
Tell Me Baby,74a8uh6LujRi29INbe4Inv,2019-05-31T15:36:27Z,Tell Me Baby,2019-05-24,196721,24,RodMac,7dbe4S6XKgCPQrZ5YtWOyP,736,34,,0.85,0.563,1,-6.563,0,0.0481,0.0189,0.00347,0.0989,0.52,122.003,4
Back to You,6KUb2wilBgNoDj9fLvhURh,2019-05-31T15:36:27Z,Back to You,2019-01-18,176523,37,ZEXTONE,0t2rVUFJxfR071gkSIwiCC,53,30,,0.799,0.614,10,-9.817,0,0.0704,0.00225,0.011,0.177,0.39,119.981,4
Verte Triste,4PvM85aE1kiun9jG4m1apO,2019-05-31T15:36:27Z,Verte Triste,2019-05-10,195840,48,Sinego,3UlAQex8nw3vquHcmY8fpb,2742,42,mexican edm,0.702,0.736,4,-5.844,0,0.106,0.0169,0.00658,0.092,0.202,125.09,4
Shameless,5jOJ3jumH0eS1kZg6tSW5k,2019-05-31T15:36:27Z,Shameless,2019-03-22,185922,6,Sunnery James & Ryan Marciano,7kABWMhjA5GIl9PBEasBPt,38937,59,"big room,circuit,deep big room,dutch house,edm,electro house,progressive electro house",0.624,0.931,6,-5.324,0,0.0913,0.0163,0.036,0.556,0.391,125.982,4
Caballero,3YNiK2iq9bxZ86swUDalVc,2019-05-31T15:36:27Z,Caballero,2019-02-22,224400,55,Mr. Pig,4psozRvxjEJEOANLHTwA7J,40766,50,mexican edm,0.703,0.726,4,-8.135,0,0.0668,0.266,4.24e-05,0.278,0.408,100.01,4
Playa Grande,6IsMnhtDLKG0h4H8pmQVRw,2019-05-31T15:36:27Z,Playa Grande,2019-05-31,201321,53,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,230198,70,indietronica,0.61,0.882,9,-4.393,0,0.0331,0.0262,0.00146,0.245,0.555,120.032,4
Make Me Feel Good,2SmCxNKmrWrFfSS4Lo1AC2,2019-05-31T15:36:27Z,Make Me Feel Good,2018-12-18,188509,39,SPENCE,2zhOVmp1pHxMUZuA68Xdvb,5781,38,,0.724,0.696,7,-8.229,0,0.038,0.0286,2.77e-05,0.117,0.317,110.004,4
Don't Wanna Wait,3hjV3o0fqEjEh3CNSag2GB,2019-05-31T15:36:27Z,Don't Wanna Wait,2019-05-24,255320,18,Michael J,7kvD8kfuiYBffdqFs9ksdE,2,9,,0.627,0.505,5,-8.538,1,0.06,0.0587,0.00227,0.105,0.114,110.077,4
Last Chance,4HRGzVkOhwQxjIBFMyvqey,2019-05-31T15:36:27Z,Extrasolar,2019-04-26,216334,30,Frikstailers,3kGiP6mQDtEZG5UD7mAlBH,6939,34,nu-cumbia,0.325,0.53,1,-10.216,1,0.0392,0.307,0.436,0.114,0.197,130.444,5
Horsepower,05XHsSBgZanrla4cz3QtWS,2019-05-31T15:36:27Z,Mexico 70,2019-04-05,354098,35,Bufi,0ckrHQgGWuXzYxRM0jLOZZ,9876,36,mexican indie,0.733,0.851,0,-7.644,1,0.0513,0.000447,0.703,0.0761,0.35,122.001,4
Energia Boa,5zhxllxorvOwmfWJv53aCy,2019-05-31T15:36:27Z,Energia Boa,2019-05-31,199846,34,Diskover,3YbWcfZCP1MPYvMzLxkvSI,2278,54,brazilian edm,0.681,0.704,11,-4.751,1,0.0503,0.0205,1.31e-05,0.0943,0.598,126.007,4
Keep Pushin',24H99MZSQRR1YfCzvWSZPl,2019-05-31T15:36:27Z,Keep Pushin',2019-05-20,266000,19,Pato Watson,5UBAh8nYFgoHlD4bFNlqJ4,3942,34,mexican edm,0.815,0.673,6,-9.278,1,0.0529,0.00159,0.911,0.2,0.488,117.99,4
Me Llamas,4hy8XmWbT9HKrhdP0FbwfO,2019-05-31T15:36:27Z,Me Llamas,2019-05-24,150857,21,Arlon Vibes,761axOmT9EOfJw4q5Pu2yt,35,12,,0.716,0.901,9,-2.176,1,0.0525,0.0645,0,0.0987,0.77,105.022,4
Stay,3IC6BF7qEvsus7yORuxNJ9,2019-05-31T15:36:27Z,Stay,2019-05-31,173083,9,Blader,4QkJMLI02U48Pe06h6HmtP,695,22,,0.633,0.678,0,-5.66,1,0.039,0.203,0,0.468,0.523,98.02,4
Never Let You Go (feat. Sofia Reyes),7KY4hAPXXg9aeYczem8JBo,2019-05-31T15:36:27Z,Never Let You Go (feat. Sofia Reyes),2019-01-18,162537,60,Slushii,41rVuRHYAiH7ltBTHVR9We,509553,66,"brostep,edm,electro house,electronic trap,pop,pop edm",0.67,0.672,1,-3.469,1,0.0923,0.192,5.13e-05,0.0926,0.643,165.075,4
You & I,49Diq00G2E5qjKzbSR7GPM,2019-05-31T15:36:27Z,You & I,2019-05-09,210000,28,Mastachi,2FUdSx0y6GUemXtB1xXIax,675,26,mexican edm,0.667,0.857,1,-4.166,0,0.0254,0.316,0.0129,0.177,0.344,109.98,4
My Luck,7p7K1Nk3xb08eSmfD6z28Y,2019-05-31T15:36:27Z,My Luck,2019-03-29,160475,33,Tayrell,2eKTxdRiIGgbWMaPhZDR4w,1898,39,cdmx indie,0.57,0.634,3,-6.377,1,0.165,0.39,1.55e-05,0.174,0.469,94.985,4
Val Haunter - Original Mix,1QMWa3ayVZ4KbAkrJPDV3d,2019-05-31T15:36:27Z,Val Haunter,2019-04-08,466000,29,Mariano Mellino,3ikEi08G1s0jiIxBC9a9GE,2753,41,"focus trance,house argentino",0.749,0.757,7,-9.781,1,0.0554,0.0019,0.895,0.35,0.162,122.006,4
