track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Te Vas,365AIaW2TfwodPX30tn71e,2019-05-31T15:36:27Z,YO,2019-05-31,192000,45,INNA,2w9zwq3AktTeYYMuhMjju8,791514,68,dance pop,0.835,0.628,6,-6.926,0,0.17800000000000002,0.0745,1.13e-06,0.0823,0.33899999999999997,115.046,4
Tell Me Baby,74a8uh6LujRi29INbe4Inv,2019-05-31T15:36:27Z,Tell Me Baby,2019-05-24,196721,24,RodMac,7dbe4S6XKgCPQrZ5YtWOyP,736,34,,0.85,0.563,1,-6.563,0,0.0481,0.0189,0.0034700000000000004,0.0989,0.52,122.00299999999999,4
Playa Grande,6IsMnhtDLKG0h4H8pmQVRw,2019-05-31T15:36:27Z,Playa Grande,2019-05-31,201321,53,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,230198,70,indietronica,0.61,0.882,9,-4.393,0,0.0331,0.0262,0.00146,0.245,0.555,120.03200000000001,4
Don't Wanna Wait,3hjV3o0fqEjEh3CNSag2GB,2019-05-31T15:36:27Z,Don't Wanna Wait,2019-05-24,255320,18,Michael J,7kvD8kfuiYBffdqFs9ksdE,2,9,,0.627,0.505,5,-8.538,1,0.06,0.0587,0.00227,0.105,0.114,110.07700000000001,4
Energia Boa,5zhxllxorvOwmfWJv53aCy,2019-05-31T15:36:27Z,Energia Boa,2019-05-31,199846,34,Diskover,3YbWcfZCP1MPYvMzLxkvSI,2278,54,brazilian edm,0.6809999999999999,0.7040000000000001,11,-4.751,1,0.0503,0.0205,1.31e-05,0.0943,0.598,126.007,4
Keep Pushin',24H99MZSQRR1YfCzvWSZPl,2019-05-31T15:36:27Z,Keep Pushin',2019-05-20,266000,19,Pato Watson,5UBAh8nYFgoHlD4bFNlqJ4,3942,34,mexican edm,0.815,0.6729999999999999,6,-9.277999999999999,1,0.0529,0.00159,0.9109999999999999,0.2,0.488,117.99,4
Me Llamas,4hy8XmWbT9HKrhdP0FbwfO,2019-05-31T15:36:27Z,Me Llamas,2019-05-24,150857,21,Arlon Vibes,761axOmT9EOfJw4q5Pu2yt,35,12,,0.716,0.9009999999999999,9,-2.176,1,0.0525,0.0645,0.0,0.0987,0.77,105.022,4
Stay,3IC6BF7qEvsus7yORuxNJ9,2019-05-31T15:36:27Z,Stay,2019-05-31,173083,9,Blader,4QkJMLI02U48Pe06h6HmtP,695,22,,0.633,0.6779999999999999,0,-5.66,1,0.039,0.203,0.0,0.46799999999999997,0.523,98.02,4
Amanhecer,1aExObSdCjbANQvuv4ML5b,2019-05-31T15:36:27Z,Amanhecer,2019-05-24,193747,47,Selva,1Ejjxuav6kpsSyb6QIhjHa,24426,59,brazilian edm,0.7240000000000001,0.648,6,-5.2860000000000005,0,0.0323,0.0827,0.0,0.10400000000000001,0.423,124.021,4
Toy Awitado,58nqdetrKgu9EMsS8n2LcI,2019-05-31T15:36:27Z,Toy Awitado,2019-05-25,210000,21,Eidan,7u1sDAihTzteIOuqFC5yY9,427,44,chihuahua indie,0.5,0.54,11,-9.474,0,0.228,0.45299999999999996,0.00963,0.0615,0.484,207.18599999999998,4
