track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
China,2ksOAxtIxY8yElEWw8RhgK,2019-08-09T04:01:00Z,China,2019-07-19,301714,95,Anuel AA,2R21vXR83lH98kGeO99Y66,7587398,96,"reggaeton flow,trap latino",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4
Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,2019-08-09T04:01:00Z,Otro Trago (Remix),2019-07-26,287773,90,Sech,77ziqFxp5gaInVrF2lj4ht,812209,93,panamanian pop,0.725,0.79,0,-2.331,1,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,4
"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,2019-08-16T04:01:00Z,"Yo x Ti, Tu x Mi",2019-08-15,201040,83,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,1150842,85,r&b en espanol,0.78,0.759,1,-3.292,1,0.225,0.462,0.000868,0.143,0.579,91.952,4
Callaita,2TH65lNHgvLxCKXM3apjxI,2019-08-09T04:01:00Z,Callaita,2019-05-31,250533,94,Bad Bunny,4q3ewBCX7sLwd24euuV69X,14646271,98,"reggaeton,trap latino",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,2019-08-09T04:01:00Z,OASIS,2019-06-28,242573,91,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,15358877,99,"latin,reggaeton",0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4
Tutu,1nocRtwyNPVtGcIJqfgdzZ,2019-08-09T04:01:00Z,Tutu,2019-08-09,178613,84,Camilo,28gNT5KBp7IjEOQoevXf9N,154028,84,colombian pop,0.731,0.832,9,-2.592,1,0.0503,0.273,0,0.0665,0.94,146.013,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-08-09T04:01:00Z,11:11,2019-05-17,175733,89,Maluma,1r4hJ1h58CWwUQe3MxPuau,16575158,93,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
Atrévete,3KekO5WUfJsh7kYU9o2w50,2019-08-09T04:01:00Z,Atrévete,2019-08-02,198320,81,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9744702,94,"latin,latin hip hop,pop,reggaeton,tropical",0.552,0.675,11,-3.824,1,0.297,0.311,0,0.119,0.586,183.785,4
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,2019-08-09T04:01:00Z,OASIS,2019-06-28,222346,90,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,15358877,99,"latin,reggaeton",0.639,0.791,10,-4.443,0,0.253,0.0275,0,0.362,0.939,92.603,4
Runaway,7BuSE9uTIw931wtZYzvZcQ,2019-08-09T04:01:00Z,Runaway,2019-06-21,200693,86,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,8281982,89,colombian pop,0.756,0.851,2,-3.33,1,0.0674,0.0336,0,0.126,0.934,75.014,4
La Boca - Remix,2EEmzqzM70CybVspgM7YRT,2019-08-09T04:01:00Z,La Boca (Remix),2019-07-17,188467,82,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,1217450,83,"latin,latin pop",0.691,0.773,11,-3.812,0,0.0355,0.236,0,0.329,0.85,92.992,4
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,2019-08-09T04:01:00Z,Soltera (Remix),2019-05-10,266086,91,Lunay,47MpMsUfWtgyIIBEFOr4FE,609769,85,"latin,reggaeton flow,tropical",0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,4
Bellacoso,1kMUGCt7XLDc5Q64Vl0H8S,2019-08-09T04:01:00Z,Bellacoso,2019-07-26,257864,83,Residente,5GcWBUX00IPuWVGMIRK1sS,480699,75,venezuelan hip hop,0.774,0.851,11,-2.795,0,0.255,0.0651,0,0.0568,0.695,180.086,4
Muito Calor,5uVgsAzjO6eJR06VPrqUga,2019-08-09T04:01:00Z,Muito Calor,2019-07-11,185146,79,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,18479619,97,"reggaeton,trap latino",0.814,0.863,9,-2.885,1,0.0589,0.116,0.000226,0.0736,0.597,98.048,4
Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,2019-08-09T04:01:00Z,Verte Ir,2019-03-28,267500,87,DJ Luian,64aJYyrXljOodnUG6jvhRD,400427,83,"latin,reggaeton flow,tropical",0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,4
Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,2019-08-09T04:01:00Z,Loco Contigo (with J. Balvin & Tyga),2019-06-13,185194,88,DJ Snake,540vIaP2JwjQb9dm3aArA4,5460131,89,"dance pop,edm,electronic trap,pop",0.822,0.743,6,-3.04,0,0.0567,0.285,2.31e-06,0.102,0.355,96.025,4
Rebota - Remix,3dWpRjCmaHbroNahuSeX11,2019-08-09T04:01:00Z,Rebota (Remix),2019-07-12,262000,83,Guaynaa,0BqURncJM5B1BBu7UM51eq,67721,79,"perreo,reggaeton flow",0.885,0.857,0,-2.279,0,0.204,0.205,0,0.671,0.818,90.025,4
Mami,3bDD7GGvIzAZeHz2TOYD3A,2019-08-23T04:01:00Z,Mami,2019-08-09,229503,71,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,4007152,82,"colombian pop,latin",0.718,0.695,4,-4.067,0,0.194,0.609,0,0.131,0.692,177.909,4
Tal Vez,46lvmzK8wxAy66tjzXXSh0,2019-08-09T04:01:00Z,Tal Vez,2019-04-03,264483,84,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,6697475,88,"argentine hip hop,trap argentino,trap latino",0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,4
Me Vuelvo Loco,0KmeVVL1SHlPIiHWtOD34X,2019-08-16T04:01:00Z,Me Vuelvo Loco,2019-08-02,200980,73,Abraham Mateo,2bxxlINUlcMQQb39K7IopR,784297,69,"latin arena pop,latin pop,latin viral pop,spanish pop",0.696,0.859,1,-2.999,1,0.0408,0.159,0,0.0583,0.654,92.048,4
No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,2019-08-09T04:01:00Z,No Me Conoce (Remix),2019-05-17,307546,87,Jhay Cortez,0EFisYRi20PTADoJrifHrz,256117,83,"reggaeton flow,trap latino",0.794,0.79,10,-3.855,0,0.0599,0.144,0,0.0893,0.577,91.984,4
Si Supieras,7MRU4vOkywuhZ9kbFiPuiu,2019-08-09T04:01:00Z,Si Supieras,2019-06-28,241880,85,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,12928171,96,"latin,latin hip hop,pop,reggaeton,tropical",0.691,0.894,9,-1.681,0,0.115,0.291,0,0.104,0.623,184.019,4
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,2019-08-09T04:01:00Z,Climaxxx,2019-05-10,286506,86,Dalex,0KPX4Ucy9dk82uj4GpKesn,265134,85,r&b en espanol,0.681,0.648,1,-5.021,0,0.38,0.524,0,0.104,0.687,172.019,4
Nada Ha Cambiado,0uv14vi55Evco7lDLDj87P,2019-08-09T04:01:00Z,Nada Ha Cambiado,2019-07-26,228837,75,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,4262562,88,"colombian pop,latin,reggaeton,tropical",0.731,0.646,6,-4.376,1,0.241,0.0778,0,0.0595,0.388,171.963,4
