track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Callaita,2TH65lNHgvLxCKXM3apjxI,2019-06-28T04:01:00Z,Callaita,2019-05-31,250533,93,Bad Bunny,4q3ewBCX7sLwd24euuV69X,13355959,97,"reggaeton,trap latino",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4
Cristina (feat. Shelow Shaq),2egI1hFZDAYrkCgtepoore,2019-06-28T04:01:00Z,Cristina (feat. Shelow Shaq),2019-03-29,186893,81,Maffio,5RzT7CM6Ot0sh0EHefMicV,3178,71,tropical,0.861,0.599,1,-4.205,1,0.246,0.183,0,0.0921,0.869,102.119,4
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,2019-06-28T04:01:00Z,OASIS,2019-06-28,222346,73,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,14692176,97,"latin,pop,reggaeton"
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,2019-06-28T04:01:00Z,Sueños,2019-04-19,225933,96,Sech,77ziqFxp5gaInVrF2lj4ht,408271,93,panamanian pop,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,4
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,2019-06-28T04:01:00Z,Soltera (Remix),2019-05-10,266086,94,Lunay,47MpMsUfWtgyIIBEFOr4FE,305566,86,"latin,reggaeton flow,tropical",0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,4
Ellos,2AgPxySIeAnXDHZvAQHg0R,2019-06-28T04:01:00Z,Ellos,2019-03-12,172982,19,Ceky Viciny,5UopXhshFFqRIMfeZrBclq,34820,66,"dembow,dominican pop,rap dominicano",0.769,0.927,5,-2.667,0,0.0372,0.114,0.00711,0.257,0.814,122.039,4
No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,2019-06-28T04:01:00Z,No Me Conoce (Remix),2019-05-17,307546,87,Jhay Cortez,0EFisYRi20PTADoJrifHrz,167850,82,"reggaeton flow,trap latino",0.794,0.79,10,-3.855,0,0.0599,0.144,0,0.0893,0.577,91.984,4
Cuaderno,7anSoGdgtmJTAPZBzcPhO6,2019-06-28T04:01:00Z,Climaxxx,2019-05-10,286506,87,Dalex,0KPX4Ucy9dk82uj4GpKesn,123296,87,r&b en espanol,0.681,0.648,1,-5.021,0,0.38,0.524,0,0.104,0.687,172.019,4
Delincuente,3TqLIW3qd4qFYkfYsBjVN6,2019-06-28T04:01:00Z,Gangalee,2019-04-26,396120,81,Farruko,329e4yvIujISKGKz1BZZbO,5665011,94,"latin,reggaeton,trap latino,tropical",0.655,0.858,0,-5.607,0,0.315,0.53,0,0.344,0.65,83.489,4
Soldi (feat. Maikel Delacalle),1GVBnZF3tHJiWzdCSgg75Z,2019-06-28T04:01:00Z,Soldi,2019-05-09,184578,74,Mahmood,06nvjg4wBANK6DCHjqtPNd,167438,80,italian arena pop,0.727,0.587,3,-9.271,0,0.0463,0.0324,0,0.121,0.437,94.976,4
Contra La Pared,37eGbhE1xVFSvcKkqGb6i1,2019-06-28T04:01:00Z,Contra La Pared,2019-03-14,224680,88,Sean Paul,3Isy6kedDrgPYoTS1dazA9,2506602,87,"dance pop,dancehall",0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,4
