track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-23T05:00:55Z,I Don't Care (with Justin Bieber),2019-05-10,219946,97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44456253,95,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-05-23T05:00:55Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7940305,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-05-23T05:00:55Z,Old Town Road,2019-04-05,157066,98,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,257073,90,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Con Altura,2qG5sZ7Si6sdK74qLxedYM,2019-05-23T05:00:55Z,Con Altura,2019-03-28,161626,90,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,640122,83,r&b en espanol,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,2019-05-23T05:00:55Z,Soltera (Remix),2019-05-10,266086,89,Lunay,47MpMsUfWtgyIIBEFOr4FE,169434,83,,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,4
Rebota,2YRvdf9cdS88y1wB1WhKoE,2019-05-23T05:00:55Z,Rebota,2018-12-14,204630,84,Guaynaa,0BqURncJM5B1BBu7UM51eq,29669,73,reggaeton flow,0.796,0.911,1,-1.998,1,0.285,0.188,0,0.499,0.918,180.128,4
Mañana Es Too Late,3AnFYXJMTNJtQUwsJWmTK4,2019-05-23T05:00:55Z,Mañana Es Too Late,2019-04-12,195213,77,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,2813165,78,"latin,latin arena pop,latin pop,mexican pop,pop",0.71,0.772,11,-3.291,0,0.162,0.262,0,0.357,0.867,183.957,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-05-23T05:00:55Z,11:11,2019-05-17,175733,79,Maluma,1r4hJ1h58CWwUQe3MxPuau,15547681,92,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,2019-05-23T05:00:55Z,Sueños,2019-04-19,225933,92,Sech,77ziqFxp5gaInVrF2lj4ht,259221,90,panamanian pop,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,4
Tal Vez,46lvmzK8wxAy66tjzXXSh0,2019-05-23T05:00:55Z,Tal Vez,2019-04-03,264483,90,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,4996759,87,"argentine hip hop,trap argentino,trap latino",0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,4
Sola,2jjpbCZ9QcWGr2TTmkkgUU,2019-05-23T05:00:55Z,Sola,2018-11-09,195044,78,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,3772232,88,"colombian pop,latin,reggaeton",0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,4
Swing (Bonus Track),5zUGr7GcNo7UNjvkNYkjiH,2019-05-23T05:00:55Z,Swing,2019-02-15,155058,59,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,1551094,81,"latin,pop,reggaeton,tropical",0.729,0.616,8,-6.422,1,0.249,0.458,0,0.082,0.532,106.486,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-05-23T05:00:55Z,Te Robaré,2019-03-22,201818,91,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9222485,93,"latin,latin hip hop,pop,reggaeton,tropical",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4
Contra La Pared,3JjaofJ0lCeEsFSZqppzOp,2019-05-23T05:00:55Z,Contra La Pared,2019-03-14,224680,83,Sean Paul,3Isy6kedDrgPYoTS1dazA9,2445535,86,"dance pop,dancehall",0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,4
Amanece,1LiN0Z98FkR1t0m8KmLcAH,2019-05-23T05:00:55Z,Amanece,2018-12-14,190004,87,Anuel Aa,2R21vXR83lH98kGeO99Y66,6136437,94,"reggaeton flow,trap latino",0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,4
Te Vi,059bcIhyc2SBwm6sw2AZzd,2019-05-23T05:00:55Z,Te Vi,2018-12-14,231848,89,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,3433160,83,"colombian pop,latin",0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,4
