track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Kids (with Robbie Williams),0E6LsKGri2bpBhVmHDW0kK,2019-07-26T13:38:19Z,Step Back in Time: The Definitive Collection,2019-06-28,260133,40,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,833178,71,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock",0.662,0.885,2,-4.406000000000001,1,0.175,0.00792,1.3e-06,0.578,0.389,92.415,4
Unwritten,1D1nixOVWOxvNfWi0UD7VX,2019-07-26T13:38:19Z,Unwritten,2004-08-30,259333,74,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,819622,69,"australian pop,dance pop,europop,folk-pop,neo mellow,pop,pop rock,post-teen pop,r&b",0.706,0.8009999999999999,5,-6.332999999999999,1,0.0399,0.00577,0.0,0.0822,0.63,100.01299999999999,4
When Love Takes Over (feat. Kelly Rowland),77FULy278MulVvGWS8BfK7,2019-07-26T13:38:19Z,One Love (Deluxe Version),2009-08-21,191000,49,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19357102,89,"dance pop,edm,pop",0.674,0.862,11,-4.614,1,0.0253,0.0157,0.00042699999999999997,0.16899999999999998,0.5,129.965,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-07-26T13:38:19Z,"Don't Forget About Me, Demos",2018-10-16,177666,85,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,118466,77,alternative pop rock,0.815,0.518,7,-6.593999999999999,0,0.0897,0.223,0.0,0.10400000000000001,0.877,151.891,4
Can't Get You out of My Head,7dxiorC4Um7Ph0fAPsVn76,2019-07-26T13:38:19Z,Step Back in Time: The Definitive Collection,2019-06-28,230640,39,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,833178,71,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock",0.7659999999999999,0.563,9,-7.516,0,0.0339,0.0263,0.6829999999999999,0.115,0.9640000000000001,126.007,4
Bad Day,0mUyMawtxj1CJ76kn9gIZK,2019-07-26T13:38:19Z,Daniel Powter (U.S. Release),2005-02-22,233640,73,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,155566,64,"canadian pop,neo mellow,pop rock",0.599,0.785,3,-4.013,1,0.0309,0.44799999999999995,0.00336,0.151,0.52,140.046,4
My Love Goes On (feat. Joss Stone),5M9XpS7kkTRjIge1IAz3yI,2019-07-26T13:38:19Z,You're Stronger Than You Know,2019-03-08,216800,48,James Morrison,3LpLGlgRS1IKPPwElnpW35,1068076,68,"folk-pop,neo mellow,neo soul,pop,pop rock,r&b",0.46299999999999997,0.772,7,-4.315,0,0.0367,0.00678,0.0,0.11,0.364,91.931,4
Time Is Now,7xG0XZhUxTu6Axewwq0jfN,2019-07-26T13:38:19Z,Catalogue,2006-07-17,222226,53,Moloko,4aaBjq7VqqQvpSF69GglvO,218084,57,"alternative dance,big beat,dance pop,electronic,electropop,trip hop",0.7,0.7290000000000001,9,-10.157,0,0.0878,0.436,0.00209,0.0967,0.735,127.988,4
Either You Love Me Or You Don't,20dLwdByS6il74d9UR7hcU,2019-07-26T13:38:19Z,Either You Love Me Or You Don't,2019-04-25,201481,56,Plested,2nJYGgfTf2846LtVB3AES8,18689,58,"australian pop,indie anthem-folk,indie cafe pop,uk pop",0.562,0.65,9,-5.599,1,0.0356,0.0061,0.0,0.0891,0.39299999999999996,81.02,4
Wow,1KmqJunkjyiMCrXqZ5uu6q,2019-07-26T13:38:19Z,Step Back in Time: The Definitive Collection,2019-06-28,192573,36,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,833178,71,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock",0.6609999999999999,0.833,9,-7.51,1,0.183,0.128,0.000604,0.4,0.8740000000000001,124.039,4
Stars,5QJSD5GQOq72OmwLV5IHUV,2019-07-26T13:38:19Z,Stars [Expanded] (US DMD),1991,248599,45,Simply Red,1fa0cOhromAZdq2xRA4vv8,967700,70,"british soul,dance rock,disco,mellow gold,new romantic,new wave pop,soft rock",0.716,0.818,7,-7.456,1,0.0256,0.154,0.0008060000000000001,0.23600000000000002,0.8170000000000001,103.66799999999999,4
Mercy,78twQ5XCFJMTE37ZSU0gsj,2019-07-26T13:38:19Z,Rockferry,2008-01-01,219920,56,Duffy,37NqXwtb6nIEqRt4EJSoIO,619979,62,"british soul,dance pop,folk-pop,neo soul,pop rock,r&b",0.792,0.85,0,-3.6210000000000004,1,0.0329,0.289,0.00011999999999999999,0.132,0.965,129.906,4
Hard to Beat,34L2ThvPUNNAMUZ5Ei1F54,2019-07-26T13:38:19Z,Best Of 2004 - 2014,2014-01-24,253306,40,Hard-FI,14Gi3Uph96lpNB3utkoVAD,105060,54,"britpop,dance-punk,garage rock,indie rock,modern rock,new rave,rock",0.56,0.841,10,-4.532,1,0.0664,0.0019100000000000002,5.33e-06,0.182,0.78,125.219,4
Hate How Much I Love You,2v00WuRHH1WdnXxlHnyURi,2019-07-26T13:38:19Z,Hate How Much I Love You,2019-06-28,175897,68,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,1553173,76,"australian pop,dance pop,pop,post-teen pop,viral pop",0.779,0.42,0,-8.396,1,0.221,0.665,0.0,0.0862,0.688,105.07600000000001,4
It's My Life - 1997 Remaster,4jhsuQCUCJKA5f0bXb6XdJ,2019-07-26T13:38:19Z,It's My Life,1984,232400,63,Talk Talk,7Fo8TAyGJr4VmhE68QamMf,226101,60,"art rock,dance rock,melancholia,new romantic,new wave,new wave pop,rock,synthpop",0.627,0.802,0,-8.432,1,0.0348,0.19699999999999998,0.784,0.40399999999999997,0.867,126.28299999999999,4
