track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-06-25T11:15:36Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,86,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,584267,86,"dance pop,pop",0.605,0.664,8.0,-7.162000000000001,1.0,0.0316,0.00548,3e-06,0.204,0.16399999999999998,103.99700000000001,4.0
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-06-25T11:15:36Z,Sucker,2019-03-01,181040,93,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2470721,91,"boy band,dance pop,pop,post-teen pop",0.8420000000000001,0.7340000000000001,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,4.0
Dream Glow (BTS World Original Soundtrack) - Pt. 1,4c1WgUnHXq2LEncGHKgj1I,2019-06-25T11:15:36Z,Dream Glow (BTS World Original Soundtrack) [Pt. 1],2019-06-07,187457,84,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11787821,95,"k-pop,k-pop boy group",0.735,0.74,0.0,-3.8369999999999997,0.0,0.0519,0.0967,0.0,0.10099999999999999,0.541,141.94799999999998,4.0
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-06-25T11:15:36Z,SOS,2019-04-10,157202,85,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13893423,94,"big room,edm,pop",0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,4.0
Don't Worry Bout Me,507tQXutCPYNFkpOq8tmKF,2019-06-25T11:15:36Z,Don't Worry Bout Me,2019-03-28,208811,79,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5305479,86,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.752,0.706,5.0,-6.274,1.0,0.0636,0.0797,0.000752,0.129,0.33,125.041,4.0
Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,2019-06-25T11:15:36Z,Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,206186,92,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46313906,98,"pop,uk pop",0.746,0.787,4.0,-6.372999999999999,1.0,0.12,0.214,0.0,0.0669,0.607,95.005,4.0
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-06-25T11:15:36Z,Giant (with Rag'n'Bone Man),2019-01-11,229184,87,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17175634,91,"edm,electro house,house,pop,progressive house,uk dance",0.807,0.887,1.0,-4.311,0.0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4.0
Civil War,5tmu5pAFHkUSl8Fo8ncyA4,2019-06-25T11:15:36Z,Civil War,2019-05-08,143880,83,Russ,1z7b1Pr1rSlvWRzsW3HOrS,2403266,86,"pop,rap",0.9129999999999999,0.608,7.0,-6.763999999999999,1.0,0.259,0.11599999999999999,0.0,0.109,0.496,101.00200000000001,4.0
7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-06-25T11:15:36Z,"thank u, next",2019-02-08,178626,91,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,31463709,96,"dance pop,pop,post-teen pop",0.778,0.317,1.0,-10.732000000000001,0.0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,4.0
Hurts 2B Human (feat. Khalid),7c5h27Ju8JE5xWKTQ88KhL,2019-06-25T11:15:36Z,Hurts 2B Human (feat. Khalid),2019-04-22,202640,75,P!nk,1KCSPY1glIKqW2TotWuXOR,6559406,88,"dance pop,pop,post-teen pop,r&b",0.46299999999999997,0.62,7.0,-5.647,1.0,0.16699999999999998,0.131,0.0,0.0619,0.158,83.031,1.0
Shallow,2VxeLyX666F8uXCJ0dZF8B,2019-06-25T11:15:36Z,A Star Is Born Soundtrack,2018-10-05,215733,90,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,8057302,91,"dance pop,pop",0.5720000000000001,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.32299999999999995,95.79899999999999,4.0
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,2019-06-25T11:15:36Z,Camila,2018-01-12,217306,85,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,10139420,92,"dance pop,pop,post-teen pop,r&b",0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,4.0
Isis,36TO60sxDduIsO3xH8IcUh,2019-06-25T11:15:36Z,Isis,2019-05-23,236000,85,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,765906,82,"boston hip hop,hip hop,pop rap,rap",0.9179999999999999,0.8370000000000001,1.0,-6.792000000000001,1.0,0.255,0.23399999999999999,0.0,0.22699999999999998,0.855,120.01700000000001,4.0
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,2019-06-25T11:15:36Z,Moonlight,2018-09-07,173066,80,Gaullin,1aQwKFn00nswXRDUDipm0K,36328,72,lithuanian electronic,0.813,0.7609999999999999,10.0,-5.687,0.0,0.085,0.0529,0.0119,0.337,0.29,124.95700000000001,4.0
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-06-25T11:15:36Z,TIM,2019-06-06,277261,90,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13893423,94,"big room,edm,pop",0.5920000000000001,0.873,9.0,-5.65,1.0,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,4.0
