track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-02T15:43:42Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45185123,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
High Hopes,1rqqCSm0Qe4I9rUvWncaom,2019-06-02T15:43:42Z,Pray For The Wicked,2018-06-22,190946,89,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,7045593,90,"emo,modern rock,pop punk",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
Say My Name,0YammaEkYSeo9vQYZ1OwS6,2019-06-02T15:43:42Z,7,2018-09-14,198946,83,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18835753,90,"dance pop,edm,pop",0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,4
Con Altura,2qG5sZ7Si6sdK74qLxedYM,2019-06-02T15:43:42Z,Con Altura,2019-03-28,161626,90,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,700647,84,r&b en espanol,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-06-02T15:43:42Z,Sucker,2019-03-01,181040,94,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2297517,88,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
Presiento,7nHUD2xhqkehsYk3PT6QDs,2019-06-02T15:43:42Z,Presiento,2019-04-12,174379,79,Morat,5C4PDR4LnhZTbVnKWXuDKD,1915780,83,"colombian pop,latin,latin pop",0.711,0.727,2,-3.15,1,0.162,0.168,0,0.296,0.465,180.039,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-06-02T15:43:42Z,ME!,2019-04-26,193040,88,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20247696,92,"dance pop,pop,post-teen pop",0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,4
Tu Foto,1jq9xWt0mdT92G7UoGZWmS,2019-06-02T15:43:42Z,Tu Foto,2019-04-12,204785,55,Adonay Santana,2UT4uT6JFXXzHgyITNvKDu,37,44,,0.787,0.812,9,-4.857,1,0.224,0.399,0,0.355,0.762,104.995,4
5 Sentidos,7chjOPhoxbpRYSrO1rvdnu,2019-06-02T15:43:42Z,5 Sentidos,2018-09-27,209953,71,Dvicio,2KxjMGXFgX1vt9grpbD3xI,454919,70,"latin arena pop,latin pop,latin viral pop,spanish pop",0.644,0.735,5,-5.499,1,0.0473,0.0961,0,0.116,0.664,175.913,4
Sweet but Psycho,25sgk305KZfyuqVBQIahim,2019-06-02T15:43:42Z,Sweet but Psycho,2018-08-17,187436,91,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,370868,85,"dance pop,pop,post-teen pop",0.719,0.704,1,-4.724,1,0.0476,0.0691,0,0.166,0.628,133.002,4
Calma - Alicia Remix,7h49721ABzBNotuKaP6sx1,2019-06-02T15:43:42Z,Gangalee,2019-04-26,224092,57,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,263169,82,latin pop,0.755,0.808,2,-3.981,1,0.0404,0.311,0,0.0951,0.673,126.917,4
