track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Win 2x2 vrijkaarten voor Pinkpop! - Check arminvanbuuren.com/pinkpop,67toS8OFLJlkejCfxh8aC0,2019-05-24T08:02:59Z,Win 2x2 vrijkaarten voor Pinkpop!,2019-05-15,30857,15,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.575,0.635,1,-12.293,1,0.218,0.0515,0,0.362,0.884,105.245,3
Jump - Armin van Buuren Remix,6aQ2Xtx7z1p2VM9w26yCZq,2019-05-24T08:02:59Z,Jump (Armin van Buuren Remix),2019-05-17,219721,49,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,2387583,76,"album rock,classic rock,hard rock,metal,rock",0.597,0.848,0,-4.306,1,0.0287,0.000262,0.0332,0.0995,0.141,130.002,4
Phone Down,4SfVQLwhg7lKwuEfFwIBAc,2019-05-24T08:02:59Z,Phone Down,2019-04-19,192306,62,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.726,0.834,10,-3.272,0,0.0749,0.0129,0,0.102,0.285,104.98,4
La Résistance De L'Amour (Mixed),5MTwqoYgSCId1x7F4EvlSe,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,294039,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.476,0.763,0,-13.876,0,0.053,0.00813,0.792,0.255,0.0744,129.993,4
Don't Give Up On Me (Mixed) - Club Mix,7Hy1IU6LxGHRoHF3cCrWoZ,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,152343,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.586,0.729,0,-12.417,0,0.1,0.00286,0.0207,0.467,0.558,130.016,3
Coming Home (Mixed),0cgrRmIppJuUZoB14Bz1hS,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,67148,0,Dash Berlin,1xT5p0VBpnZDrvVSjX9sri,402835,64,"big room,edm,progressive house,progressive trance,trance,uplifting trance",0.513,0.532,10,-12.764,1,0.0304,0.419,9.41e-05,0.365,0.542,129.916,4
Canis Major (Mixed) - Vigel Remix,3lNf8yATo0DSVMgz2PSJRj,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,73156,0,Limelght,5r7UFAVFWz7LRc3R3esfrK,455,31,,0.578,0.904,10,-10.469,1,0.059,0.000826,0.378,0.315,0.514,129.983,4
Great Spirit (Mixed),7zp0caglWDUFbTFX9aIMF1,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,118154,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.519,0.837,6,-9.864,1,0.203,0.0402,1.49e-05,0.755,0.481,129.876,4
Wait 4 It (Mixed),0HXd2zTSY6RSd2aoxK532E,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,57220,0,Orjan Nilsen,1YuNQvsvOsMBm0ahbxB8qM,92813,57,"big room,edm,progressive house,progressive trance,trance,uplifting trance",0.628,0.946,7,-10.196,1,0.0488,0.000872,0.91,0.322,0.653,129.967,4
Bring It Back (Mixed) - Afrojack x Sunnery James & Ryan Marciano Remix,632OdadVdIaVq6kUAX4L3a,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,34625,0,Jewelz & Sparks,50kceDjknh0CjwOko7kx7V,47486,56,"big room,deep big room,edm,electro house,progressive electro house,sky room",0.667,0.859,10,-11.502,0,0.133,8.65e-05,0.0918,0.359,0.29,129.891,4
Body (Mixed),5zvPcZAGPAnJvQwln1eIC3,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,103826,0,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,108885,78,"dance pop,edm,pop,pop edm,tropical house",0.636,0.901,11,-9.914,0,0.152,0.0326,0.00528,0.409,0.362,129.997,4
Another You (Mixed),5cr1TALd5VvrLe5tNC2vRg,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,114501,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.398,0.669,2,-11.728,1,0.0668,0.0542,0.000375,0.173,0.133,64.296,4
Run Away (Mixed),2NpKympiHNdNJPTqr5JtMU,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,73843,0,Airborn,1cXfHfauApTH5TVv0l1fdG,18,32,,0.505,0.928,6,-9.585,0,0.137,0.00183,0.964,0.835,0.25,130.025,4
We Come In Peace (Mixed),6gOoihWamf88JF4Iif0H8J,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,155035,0,Purple Haze,35ClM9mD81Evb2EIuYq5en,6538,39,"progressive house,progressive trance,trance,uplifting trance",0.507,0.769,1,-10.237,1,0.0664,0.0155,0.0147,0.432,0.0655,130.01,4
Revolution (Mixed),3yy587Y4bgxntWCbtWvDw8,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,236312,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.529,0.9,6,-10.849,0,0.154,0.0138,0.165,0.186,0.315,129.987,4
Repeat After Me (Mixed),2hdOvpAbXyp1ZybCjMvbgV,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,158605,0,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2413341,76,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.433,0.724,8,-10.78,1,0.0525,0.000451,0.0808,0.221,0.0383,129.921,4
Live at EDC Las Vegas 2019 ID 1 (Mixed),3PxxpJQkKrBHizasHZBhEu,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,135691,0,ID,2NL6Ki9gA4LSCrF0xn57ed,944,42,"progressive trance,trance",0.56,0.601,6,-11.776,1,0.0475,0.00858,1.11e-06,0.0635,0.337,129.892,4
Show Me Love (Mixed),568fFRY59JkrA9HRzIr6XQ,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,239999,0,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,494714,69,"edm,progressive house,progressive trance,trance,uplifting trance",0.469,0.793,4,-12.707,0,0.0403,0.0289,0.348,0.595,0.405,130.006,4
The Wolf (Mixed),6R2Tn3qnok2NORfkcYiv1s,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,120011,0,Fatum,3pt2vTpH1eI776oDZT1G2C,5959,51,"progressive house,progressive trance,trance,uplifting trance",0.523,0.923,0,-10.389,1,0.0787,0.00041,0.0152,0.361,0.0353,129.98,4
ResuRection (Mixed) - Maurice West Remix,1VduVzEp7ZGtpyDQfhEC9u,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,179078,0,Planet Perfecto Knights,24To1vtxXzfI8ok2WUeRMs,1731,41,deep uplifting trance,0.689,0.616,4,-11.401,0,0.061,0.304,0.232,0.0835,0.288,130.004,4
Live at EDC Las Vegas 2019 ID 2 (Mixed),4LDV7G30eKJFh4YzDzlCks,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,147687,0,ID,2NL6Ki9gA4LSCrF0xn57ed,944,42,"progressive trance,trance",0.586,0.926,4,-9.582,0,0.0537,0.00611,0.122,0.715,0.256,130.013,4
Phone Down (Mixed),2tn5ho4WYOnZiL8HRv9SYT,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,107076,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.625,0.842,9,-11.125,0,0.105,0.00419,2.65e-05,0.405,0.571,129.951,4
Lifting You Higher (ASOT 900 Anthem) [Mixed] - Blasterjaxx Remix,6lGCNTZ65LBIqmMqDFfSO7,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,73845,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.542,0.816,9,-10.106,1,0.0521,0.00167,0.147,0.128,0.279,130.032,4
Left Of Us (Mixed),3o315uDvBfxxQ2ws97Z5Yx,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,147515,0,Luke Bond,13jm4r5O79Vxjy3zzZ51j0,7579,48,"deep uplifting trance,progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance",0.533,0.683,2,-10.632,0,0.0525,0.00501,0.00491,0.357,0.163,131.848,4
Lighter Than Air (Mixed),3R5L8XeVVS6vXZd7zEu2NJ,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,178750,0,MaRLo,2kd1zg9ZyGG6WjZO2dAsFd,41548,57,"australian dance,progressive house,progressive trance,trance,uplifting trance",0.311,0.588,9,-11.651,0,0.0466,0.0342,0.00374,0.293,0.271,131.847,4
Wild Wild Son (Mixed),1ilwqiEdNI4TXD9Fj5Sh2p,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,152776,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.283,0.395,3,-12.275,1,0.0505,0.00727,2.47e-06,0.625,0.438,175.408,5
Wild Wild Son (Mixed) - Club Mix,5x7635raFZJ2bW2xCwiJAM,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,43629,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.494,0.939,8,-10.588,1,0.0889,6.19e-06,0.92,0.283,0.144,132.024,4
The Last Dancer (Mixed),5ugV7Kw41C52UjP0n7We5v,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,242224,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.33,0.694,3,-11.622,0,0.0369,0.00862,0.279,0.387,0.132,132.725,4
Zombie (Mixed),0RhIjSCK3b7HSEgpLSxlRc,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,56259,0,Ran-D,7IeovKzVkfcG9mIJGNzTcT,86934,61,"hardstyle,rawstyle",0.457,0.85,11,-9.923,1,0.0433,0.000134,5.53e-06,0.827,0.0768,133.474,4
Flashback (Mixed),5JSInRoKFYIQUz01gGS9wC,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,54226,0,Allen Watts,04FzGJxkYQ7zIRoCLQzLqR,7482,46,"progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance",0.357,0.804,4,-5.803,1,0.0712,0.0691,0,0.733,0.469,136.502,4
D (Don't Go) [Mixed],6pENooNsuh5MRfHm9BeJkj,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,32031,0,Scot Project,39zQTkZegu3XxkHNRbQmaG,3036,38,"progressive trance,trance",0.294,0.89,10,-9.634,0,0.0512,4.2e-06,0.711,0.386,0.243,136.551,4
Communication (Mixed) - Arkham Knights Remix,7qEyU9asti5gnvuKZ3O7Fc,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,187132,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.321,0.843,7,-12.227,1,0.0854,0.00253,0.843,0.283,0.0387,136.019,4
Turn It Up (Mixed),150j664zWdlzdF1jakhS9e,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,94000,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.618,0.752,1,-11.986,1,0.0346,2.91e-05,0.24,0.174,0.0398,138.046,4
Turn It Up (Mixed) - Sound Rush Remix,2xothioXmHxaeGzP5N1HUQ,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,158519,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.298,0.802,0,-9.898,0,0.0614,0.00111,0.00119,0.599,0.396,147.904,4
Ping Pong (Mixed),3p0LH7W5t9bAu7OhPu23bv,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,65396,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.476,0.329,2,-12.48,1,0.0462,0.362,0.0144,0.948,0.0774,137.974,4
Space Journey (Mixed),69D4dxRFb1PGy6Bn7En1Jg,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,71931,0,MaRLo,2kd1zg9ZyGG6WjZO2dAsFd,41548,57,"australian dance,progressive house,progressive trance,trance,uplifting trance",0.47,0.784,11,-9.991,0,0.223,0.000108,0.117,0.405,0.352,137.962,4
Phatt Bass 2016 (Mixed),795DSUQa8dbqoE6BY8WD0f,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,112882,0,Wolfpack,74ycentHh1YZrW5x4PLnox,13181,51,"belgian edm,crust punk,deep big room,electro house,sky room",0.491,0.995,8,-10.0,0,0.104,0.525,0.629,0.304,0.0761,138.022,4
Ready To Rave (Mixed),1uKrU41xDdVwdNyHE2vKfd,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,86511,0,W&W,2rTo8KIkBTFjQS7VvaKYQ4,571587,70,"big room,deep big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.57,0.704,3,-9.634,1,0.292,0.00065,0.0109,0.684,0.0382,134.424,4
Blah Blah Blah (Mixed),3LoTGW4Gq9rwTZT4MLLxzH,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,166632,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.617,0.851,0,-11.057,1,0.188,0.0143,0.00584,0.113,0.036,138.081,4
Blah Blah Blah (Mixed) - Brennan Heart & Toneshifterz Remix,7vrbnePbRWqorJaiAqlrfg,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,104070,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.472,0.791,1,-11.589,1,0.0343,0.14,0.000197,0.805,0.725,149.915,4
Blah Blah Blah (Mixed) - Zany Remix,74bnKUxJegmsp7WGenRVEe,2019-05-24T08:02:59Z,Live at EDC Las Vegas 2019 (Highlights),2019-05-19,49166,0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.44,0.945,6,-10.379,1,0.0682,0.0068,0.705,0.969,0.0377,150.08,4
Turn It Up,2p21ISIcfxkxKoiW6IlHhM,2019-05-24T08:02:59Z,A State Of Trance 2019 (Mixed by Armin van Buuren),2019-05-03,172173,54,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.582,0.953,5,-6.113,0,0.0567,0.00136,0.00197,0.324,0.12,138.025,4
Ultra Music Festival Miami 2019 ID 5 (Mixed),3EEdbrJSbEc8jVdVE9gXH3,2019-05-24T08:02:59Z,Live at Ultra Music Festival Miami 2019 (Highlights),2019-03-30,227438,37,ID,2NL6Ki9gA4LSCrF0xn57ed,944,42,"progressive trance,trance",0.617,0.855,11,-11.003,0,0.0425,0.00261,0.189,0.215,0.177,137.983,4
Kingdom United,7J82NSX45AkxmUbLEEy8Ij,2019-05-24T08:02:59Z,Kingdom United,2019-05-10,326500,46,Gareth Emery,0hprEC0nsWuQPSHag1O2Vi,181473,64,"big room,edm,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.58,0.915,7,-5.278,1,0.0397,0.000892,0.0232,0.209,0.0398,133.004,4
La Résistance De L'Amour,4lNEYr3PyUPZH9babUKBIY,2019-05-24T08:02:59Z,A State Of Trance 2019 (Mixed by Armin van Buuren),2019-05-03,211875,51,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2818593,81,"edm,progressive house,progressive trance,trance",0.544,0.974,7,-4.933,0,0.0391,0.00502,0.761,0.236,0.101,128.001,4
We Come In Peace,0g3A8DvvWELvIVqLnqo0DC,2019-05-24T08:02:59Z,We Come In Peace,2019-05-24,191136,0,Purple Haze,35ClM9mD81Evb2EIuYq5en,6538,39,"progressive house,progressive trance,trance,uplifting trance",0.605,0.763,1,-3.112,1,0.0332,0.00412,0.149,0.139,0.0358,132.051,4
Lighter Than Air,3HrOJN5xJWY2Klqny3BUEU,2019-05-24T08:02:59Z,A State Of Trance 2019 (Mixed by Armin van Buuren),2019-05-03,201529,44,MaRLo,2kd1zg9ZyGG6WjZO2dAsFd,41548,57,"australian dance,progressive house,progressive trance,trance,uplifting trance",0.359,0.669,0,-7.714,1,0.0402,0.321,0.00262,0.105,0.153,130.185,4
Show Me Love,3ZMNc89VJZw3woOJ6WAeex,2019-05-24T08:02:59Z,A State Of Trance 2019 (Mixed by Armin van Buuren),2019-05-03,211655,39,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,494714,69,"edm,progressive house,progressive trance,trance,uplifting trance",0.46,0.878,4,-5.203,0,0.0437,0.022,0.508,0.157,0.454,128.017,4
