track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Never Gonna Step Down,62AF8llIPBfSGupPQj5McH,2019-06-14T08:50:48Z,A State Of Trance Top 20 - May 2019 (Selected by Armin van Buuren),2019-05-24,176732,35,STANDERWICK,6mLXfZ1OfXde8Iy9BfKoHE,10506,53,"progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance",0.46,0.9359999999999999,7,-5.688,1,0.0475,0.000392,0.22399999999999998,0.3,0.0384,139.92700000000002,4
Eternity,5f1qe51O3GDqlzEv46RW0D,2019-06-14T08:50:48Z,A State Of Trance 2019 (Mixed by Armin van Buuren),2019-05-03,222000,34,Roman Messer,25DnzR3jtrD8StkyyRCvHR,3851,46,"progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance",0.231,0.987,10,-3.4810000000000003,0,0.07400000000000001,0.00133,0.866,0.165,0.436,138.029,4
Saving Light,1ZZUokdNDeSPpqxhOsNiEk,2019-06-14T08:50:48Z,A State Of Trance 850 (The Official Album),2018-02-15,275665,41,Gareth Emery,0hprEC0nsWuQPSHag1O2Vi,183696,65,"big room,edm,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.259,0.927,4,-2.5989999999999998,0,0.0839,0.0507,0.0014199999999999998,0.32799999999999996,0.126,129.981,4
Lily Of The Valley,56wiDWE8jRY1gNcJMMHtQZ,2019-06-14T08:50:48Z,Lily Of The Valley,2019-03-01,193333,40,Dave Winnel,1K80Wcuuo13i28cVd68mxm,5376,56,"progressive house,progressive trance",0.551,0.718,1,-8.912,0,0.0825,0.405,0.292,0.152,0.26899999999999996,188.84400000000002,3
Ready To Rave,5u0bRBCBblvTFitZFENxOb,2019-06-14T08:50:48Z,A State Of Trance Top 20 - January 2019 (Selected by Armin van Buuren),2019-01-11,158785,32,W&W,2rTo8KIkBTFjQS7VvaKYQ4,577483,71,"big room,deep big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.562,0.968,8,-3.86,1,0.11599999999999999,0.0030399999999999997,0.85,0.344,0.132,140.069,4
Run Away,4E1y2oscrsns28OXKb6Otu,2019-06-14T08:50:48Z,Run Away,2018-11-30,223000,35,Airborn,1cXfHfauApTH5TVv0l1fdG,28,35,,0.626,0.8590000000000001,2,-3.3680000000000003,1,0.0757,0.0038799999999999998,0.00883,0.341,0.0711,131.974,4
The Melody,0jR2vXnjjRGW9WtrQbaduS,2019-06-14T08:50:48Z,A State Of Trance Top 20 - March 2019 (Selected by Armin van Buuren) [Miami Edition],2019-03-15,193846,33,NWYR,558dSyN1mMqsKrEBcKJ2p0,32125,52,"big room,deep big room,edm,electro house,progressive house,progressive trance,sky room,trance,uplifting trance",0.512,0.925,1,-2.404,1,0.28,0.00617,0.00514,0.536,0.262,129.993,4
RAMsterdam - Jorn van Deynhoven Remix,12AGKpRlSf5HglN6YloZag,2019-06-14T08:50:48Z,A State Of Trance Festival 2015,2015-06-26,201615,44,RAM,4f0a5IgkYFHFts5Z9N9SDX,13258,48,"deep uplifting trance,progressive house,progressive trance,progressive uplifting trance,trance,uplifting trance",0.43200000000000005,0.968,1,-8.555,0,0.0729,0.000503,0.884,0.381,0.242,137.974,4
Take Everything,2UJ7fAUQV0UT97FdjB6y6X,2019-06-14T08:50:48Z,A State Of Trance Top 20 - January 2019 (Selected by Armin van Buuren),2019-01-11,212238,33,Gareth Emery,0hprEC0nsWuQPSHag1O2Vi,183696,65,"big room,edm,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.506,0.823,6,-5.272,1,0.0424,0.0234,0.000916,0.303,0.405,133.954,4
Free Tibet - Vini Vici Remix,0oRkCc2ueXMYnkGsyhN70V,2019-06-14T08:50:48Z,Who's Afraid Of 138?! Top 15 - 2016-03,2016-03-04,236521,31,Hilight Tribe,62RdOEwjfXjFOQpKdufMR7,68914,63,"didgeridoo,psychedelic trance",0.36200000000000004,0.9840000000000001,10,-6.039,0,0.0706,0.0404,0.537,0.131,0.0956,103.522,3
