track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Revolution (Mixed) - Cinematic Intro Version,13SXFjIbY5PZgq5FywW8mm,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,77085,34,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2949938,81,"edm,progressive house,progressive trance,trance",0.35200000000000004,0.598,6,-10.958,0,0.0394,0.361,0.29,0.444,0.2,130.064,4
Revolution (Mixed),6cjrNP5BCfMqFADg7FpL7C,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,192062,33,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2949938,81,"edm,progressive house,progressive trance,trance",0.457,0.9490000000000001,6,-10.402000000000001,0,0.41600000000000004,0.0181,0.00257,0.5,0.0719,129.92600000000002,4
Great Spirit (Mixed),6daxhGgMrEYsPaVzfRzCuX,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,118169,33,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2949938,81,"edm,progressive house,progressive trance,trance",0.48100000000000004,0.853,1,-9.818,1,0.153,0.376,3.73e-05,0.955,0.475,130.05200000000002,4
Wait 4 It (Mixed),2lB0EEQN4JclqaYfTvQaCh,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,44309,32,Orjan Nilsen,1YuNQvsvOsMBm0ahbxB8qM,95967,56,"big room,edm,progressive house,progressive trance,trance,uplifting trance",0.5489999999999999,0.963,7,-9.779,1,0.0535,0.0137,0.912,0.862,0.846,129.982,4
Canis Major (Mixed) - Vigel Remix,3YlaVyVhRCpZu5FIQJ2GyB,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,29542,1,Limelght,5r7UFAVFWz7LRc3R3esfrK,510,36,,0.52,0.871,1,-9.552999999999999,1,0.0892,7.159999999999999e-05,2.72e-06,0.77,0.184,130.039,4
Body (Mixed),4Rh4pjvlv8Ua4KwGvuVeg5,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,75697,32,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,142877,78,"dance pop,edm,house,pop,tropical house",0.505,0.92,2,-9.812999999999999,1,0.0718,0.20800000000000002,0.0109,0.93,0.248,130.015,4
Bring It Back (Mixed) - Afrojack x Sunnery James & Ryan Marciano Edit,6W3Ma6XfytbNIp1IT3jIfU,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,31382,32,Jewelz & Sparks,50kceDjknh0CjwOko7kx7V,49445,55,"big room,deep big room,edm,electro house,progressive electro house,sky room",0.496,0.982,1,-10.176,1,0.0984,0.00021600000000000002,0.7390000000000001,0.415,0.18100000000000002,130.015,4
Magitek (Mixed),1AJ9ALTbZlIByItANngScS,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,44304,32,Andrew Bayer,5dFuu05x8SPBuymudrTBU8,46994,55,"edm,progressive house,progressive trance,trance,uplifting trance",0.5589999999999999,0.742,7,-12.460999999999999,1,0.0422,0.000653,0.0482,0.6970000000000001,0.62,129.982,4
Show Me Love (Mixed),3Vk8dOn6nmcu3AcXVDr9PN,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,62742,32,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,511622,70,"edm,progressive house,progressive trance,trance,uplifting trance",0.513,0.835,2,-12.328,1,0.0431,0.0334,0.624,0.715,0.304,129.999,4
Burned With Desire (Mixed),372fmalg3dU1wIDpyLHU4X,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,147693,32,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2949938,81,"edm,progressive house,progressive trance,trance",0.48200000000000004,0.8320000000000001,4,-10.915,0,0.0673,0.0321,6.0899999999999996e-05,0.7559999999999999,0.242,130.011,4
ResuRection (Mixed) - Maurice West Remix,5v82PyrLl8ICzosZRhyxqX,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,156181,32,Planet Perfecto Knights,24To1vtxXzfI8ok2WUeRMs,1894,42,"deep uplifting trance,progressive house,progressive trance,trance",0.509,0.82,4,-9.475,0,0.337,0.24600000000000002,0.063,0.364,0.20199999999999999,130.309,4
Something Real (Mixed),2kEkWHmtQghPesPNp9WGFA,2019-07-24T12:40:26Z,Live at Tomorrowland Belgium 2019 (Highlights),2019-07-20,224078,32,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2949938,81,"edm,progressive house,progressive trance,trance",0.495,0.7909999999999999,1,-9.849,1,0.0855,0.0466,0.0,0.209,0.282,129.996,4
