track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Forever Young - Dave Winnel & Jack Wins Club Mix,7FwFPVhDWtqGOG8yIC7zqL,2019-05-14T15:09:37Z,Forever Young (Dave Winnel & Jack Wins Club Mix),2019-05-13,217303,28,Jack Wins,5v8ZROs9c26k4yGMxUkebt,9080,62,"deep groove house,deep tropical house,edm,house,pop edm,tropical house",0.564,0.6859999999999999,4,-6.477,0,0.0999,0.00957,0.000585,0.22399999999999998,0.146,125.76100000000001,4
Nobody Else - 1991 Remix,44iDh0Jq6w5rJfU9QRGBS4,2019-05-14T15:09:37Z,Nobody Else (1991 Remix),2019-05-10,215194,44,Axwell,1xNmvlEiICkRlRGqlNFZ43,1300702,69,"big room,deep big room,disco house,edm,electro house,house,progressive electro house,progressive house,vocal house",0.489,0.93,1,-3.602,1,0.047,0.00011899999999999999,0.418,0.0565,0.377,173.99,4
Don't Go - Gerd Janson Re-Work - Shorter Edit,6DUWBZ6K8A0pmn0h719BI3,2019-05-14T15:09:37Z,Don't Go (Gerd Janson Re-Work - Shorter Edit),2018-11-09,146190,43,Julie McDermott,25ORH36m22WXNx98UdFT1T,275,38,uk house,0.615,0.6729999999999999,10,-14.34,0,0.0423,0.003,0.743,0.0687,0.63,126.01899999999999,4
Solid Gold,7DQ5CZjAQdhgDgdnSXxJ7Z,2019-05-15T11:16:08Z,Solid Gold,2019-05-02,208367,65,PNAU,6n28c9qs9hNGriNa72b26u,100594,66,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,edm,new rave",0.5670000000000001,0.946,5,-2.245,0,0.0541,0.0978,1.37e-06,0.0836,0.295,104.98299999999999,4
Nobody Else - A-Trak Remix,3kPehpAFW5keiaMoEWWKA2,2019-05-14T15:09:37Z,Nobody Else (A-Trak Remix),2019-05-03,190000,53,Axwell,1xNmvlEiICkRlRGqlNFZ43,1300702,69,"big room,deep big room,disco house,edm,electro house,house,progressive electro house,progressive house,vocal house",0.872,0.687,1,-5.689,1,0.0813,0.00031600000000000004,0.0133,0.166,0.767,123.01899999999999,4
MAD,1L6HVFyDAf7MGPjHBibgQV,2019-05-14T15:09:37Z,MAD,2019-04-12,177857,51,JETFIRE,1flYnVP7znbiEcL0ELwwTt,30101,55,"belgian edm,big room,deep big room,electro house,progressive electro house,sky room",0.809,0.96,10,-3.275,0,0.10400000000000001,0.0116,0.317,0.233,0.545,126.02600000000001,4
Deep In My Soul,69O4kQmLPQmMtPrwKalO6S,2019-05-14T15:09:37Z,Deep In My Soul,2019-03-29,192249,51,Gianni Blu,7xpdGx95yjp1d4c6dViRSx,2875,45,deep groove house,0.7509999999999999,0.8959999999999999,10,-6.309,0,0.27899999999999997,0.0981,0.000541,0.203,0.36700000000000005,122.979,4
Everybody,4kU87cO0bEhkEDpLxFamk6,2019-05-14T15:09:37Z,Everybody,2019-05-10,144375,52,Steff da Campo,7Bo6vpAmmhylCRWoHSBkcZ,7321,56,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,sky room",0.679,0.895,11,-4.445,0,0.0971,0.0317,0.18,0.348,0.361,128.05700000000002,4
Reason (feat. Kelly Boek),3cVnFjTZHJlWNwDOsTyIFc,2019-05-14T15:09:37Z,Reason (feat. Kelly Boek),2019-05-10,200022,47,JYYE,1KNafMiV5Y3OhOr1A5tWwb,9631,52,"deep groove house,house,pop edm,tropical house",0.65,0.905,6,-5.193,0,0.0444,0.07200000000000001,0.0052899999999999996,0.294,0.18100000000000002,125.976,4
Happy People,7AFvQJ4osDwjyXC9KB2f2E,2019-05-14T15:09:37Z,Happy People,2019-05-03,192000,48,Wh0,132Hhe61bhvXtkygENHZHA,1205,46,uk dance,0.608,0.9390000000000001,0,-4.8580000000000005,1,0.16899999999999998,0.0194,1.63e-05,0.41100000000000003,0.276,124.959,4
All Yours - Full Intention Remix,4p3oao9kGflU6CEmiz9wLG,2019-05-14T15:09:37Z,All Yours (Full Intention Remix),2019-04-19,147400,35,Roisto,0zkoIIaqJT7WP0rly4rOMk,2345,43,finnish edm,0.659,0.8540000000000001,7,-4.772,0,0.225,0.111,3.1e-06,0.35600000000000004,0.732,120.061,4
right with the groove,1PwLK0QI5CSkytt1KSx1fk,2019-05-14T15:09:37Z,right with the groove,2019-05-03,166722,41,warner case,106OuakzOxxbXTuigEEf01,1042,37,,0.8859999999999999,0.615,6,-8.974,0,0.151,0.516,0.423,0.0811,0.23,124.006,4
Inside - Rebūke Warehouse Mix,6owp5ddav3kPfUsgE5DxXm,2019-05-14T15:09:37Z,Inside (Rebūke Warehouse Mix),2019-04-26,350802,24,Better Lost Than Stupid,0XOcl1zHdeEJxvrbgWpcTI,280,18,,0.7979999999999999,0.92,6,-5.154,0,0.0839,0.00542,0.489,0.0625,0.16,126.012,4
Save Me Tonight,57e4WsTr1CQjKqMkeuAaHS,2019-05-14T15:09:37Z,Save Me Tonight,2019-01-25,170079,60,ARTY,1rSGNXhhYuWoq9BEz5DZGO,117942,68,"big room,edm,electro house,pop edm,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65e-05,0.13699999999999998,0.408,125.85,4
Dust,6wRAaHDUB48YnmKpTfS7GZ,2019-05-14T15:09:37Z,Dust,2019-03-08,190080,46,BROHUG,3IHsD0sttucHrX8b32Vcab,34003,58,"bass house,big room,brostep,deep big room,deep groove house,edm,electro house,electronic trap,house,pop edm,progressive house",0.6629999999999999,0.961,1,-3.9739999999999998,1,0.0655,0.000512,0.8759999999999999,0.32,0.535,125.039,4
We Are The Universe,6RQsjEGimiYlekyOInMA1t,2019-05-14T15:09:37Z,We Are The Universe,2019-04-26,240436,45,Ilan Bluestone,1yoZuH2j43vVSWsOwYuQyn,31145,56,"edm,progressive house,progressive trance,trance,uplifting trance",0.564,0.705,11,-6.747999999999999,1,0.0628,0.00565,0.163,0.107,0.27,129.99200000000002,4
DJs Gotta Dance More - Illyus & Barrientos Remix,2z1osTeSqdOOdfDZy025yY,2019-05-14T15:09:37Z,DJs Gotta Dance More,2018-09-27,328086,37,A-Trak,3TaUSUXn41GixL7zbvrIDt,96570,63,"canadian electronic,edm,electro house,electronic trap,turntablism",0.775,0.82,7,-5.313,1,0.0949,0.000585,0.114,0.204,0.649,123.001,4
