track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Don't Wanna Dance,6b56B8Ew3d0WDnd4Vq01Gh,2019-07-19T14:20:40Z,Don't Wanna Dance,2019-06-28,169402,52,Boston Bun,1Na1sVrGWKwAigaW7a6hi5,11769,51,pop edm,0.797,0.8270000000000001,5,-5.607,1,0.0418,0.0334,0.10099999999999999,0.28800000000000003,0.68,121.979,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-07-19T14:20:40Z,Magnets EP,2019-05-24,174444,85,Sam Feldt,20gsENnposVs2I4rQ5kvrf,375915,80,"deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.6509999999999999,107.35600000000001,4
Give Me a Reason,6apnL2zZz3Ft8ae5ueBzzX,2019-07-19T14:20:40Z,Rise,2019-07-12,228387,47,Sonny Fodera,39B7ChWwrWDs7zXlsu3MoP,45644,65,"deep groove house,deep house,disco house,house,tropical house,uk dance",0.725,0.657,0,-6.2589999999999995,1,0.0336,0.0281,0.0011099999999999999,0.151,0.13699999999999998,124.025,4
SUPERNATURAL (feat. The Griswolds),6zZDcoqPsrScolZ9CHox0Y,2019-07-19T14:20:40Z,Supernatural EP,2019-06-21,160661,45,Max Styler,3NKKngINK1tP6BFy0WOyWk,10054,59,"brostep,pop edm",0.7120000000000001,0.687,4,-8.407,0,0.0416,0.064,0.00121,0.0954,0.0387,120.969,4
Don't Let Them,5DcfAiJLSxOqhgatiFXy3P,2019-07-19T14:20:40Z,Don't Let Them,2019-05-31,147999,46,Young Bombs,4LKB1IkCINDDjEX8iS7glI,8495,54,pop edm,0.58,0.821,5,-3.603,1,0.0636,0.0928,0.0,0.146,0.5720000000000001,119.919,4
Just Say,0NtQhbV0mVf48wYXVWPnuQ,2019-07-19T14:20:40Z,Just Say,2019-05-24,194208,57,Voost,2Xpq8bhn9z3zWo6WUsdvDO,1622,53,"deep tropical house,pop edm",0.5720000000000001,0.797,2,-7.897,1,0.0307,0.00157,0.0307,0.355,0.376,122.995,4
No Reason - Axwell Radio Edit,22YN2PiMKMetTkylLJOXYm,2019-07-19T14:20:40Z,No Reason,2001-01-01,203374,3,Mambana,15CDgxS2EKDi8nitKgu4wC,211,11,,0.7,0.9309999999999999,7,-5.3389999999999995,0,0.0324,0.0535,0.10400000000000001,0.136,0.973,127.024,4
Pararam,0eCiCbHblFYUFzWD7TU8fl,2019-07-19T14:20:40Z,Pararam,2019-07-19,174480,33,Chemical Surf,7LgAW1ZiEd8f3HtCMGFaGx,116182,63,"brazilian edm,funk carioca",0.7290000000000001,0.9129999999999999,9,-3.929,1,0.0623,0.0161,0.589,0.0461,0.485,125.00299999999999,4
Slowly Burning 2019,0nRSoJxUMDqgwtHgUjOFnV,2019-07-19T15:46:00Z,Slowly Burning 2019,2019-07-19,242184,27,Cristoph,532SqCIYmJyXEdEiCJLgYG,21376,61,"deep melodic euro house,house,progressive house,tech house",0.636,0.905,4,-5.149,0,0.0453,0.091,0.42200000000000004,0.105,0.35700000000000004,124.97399999999999,4
Switch (Follow The Drum),77MBbWqaUkiGzg2ARBWkih,2019-07-19T14:20:40Z,Switch,2019-03-22,142505,34,Jansons,0gztzLIt9uRDJd4Jl9TSLY,1107,37,"disco house,uk tech house",0.815,0.9,10,-7.395,0,0.0559,0.0161,0.209,0.304,0.884,125.975,4
Wild Game (feat. Monique Lawz),1yJj4h7EF7mpnimW7RywWy,2019-07-19T14:20:40Z,Wild Game (feat. Monique Lawz),2019-07-19,142611,22,Michael Calfan,4CuipEvwcoQggmCV8jpKF9,113631,61,"big room,deep groove house,deep house,deep tropical house,disco house,edm,electro house,house,progressive electro house,progressive house,tropical house",0.7979999999999999,0.636,3,-10.126,1,0.0612,0.152,0.00107,0.11,0.491,124.01299999999999,4
Emotion,2CiOFdudXTfZfsd1lZqrhR,2019-07-19T14:20:40Z,Emotion EP,2019-07-19,184918,33,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,76021,66,"deep house,disco house,house,vocal house",0.7240000000000001,0.8959999999999999,0,-6.485,0,0.0388,0.0128,0.007370000000000001,0.0663,0.84,122.023,4
Make the Crowd Go,2oCGfqyb7412TEruQCKVZr,2019-07-19T14:20:40Z,Make the Crowd Go,2019-06-07,216000,31,ALFO,4NzYvZva0WwmRJYOGhg7KH,10,21,,0.8440000000000001,0.882,11,-8.52,0,0.131,0.0273,0.441,0.0588,0.511,125.015,4
Daisy,6Dtz21cQRXmZXUYHMfYhI1,2019-07-19T14:20:40Z,Daisy,2019-06-21,153250,43,Arlow,0UUg4WqiuFaqavE3JSZtHQ,299,34,,0.768,0.731,7,-5.462999999999999,1,0.0558,0.201,0.0,0.10400000000000001,0.287,120.031,4
