track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Fuego Lento,0tO52JrDF0irlfh2c7DdVu,2019-08-23T22:30:57Z,Fuego Lento,2018-09-28,189230,60,Drake Bell,03ilIKH0i08IxmjKcn63ne,254613,58,post-teen pop,0.689,0.712,10,-4.61,1,0.0718,0.312,0,0.0953,0.664,169.918,4
All This Time,7atGQ4FcDs99ZKUVgZmt0t,2019-08-23T22:32:31Z,All This Time,2019-06-14,225625,45,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,35491,66,"australian pop,nz pop",0.517,0.613,6,-5.992,0,0.118,0.236,1.63e-06,0.15,0.398,88.854,4
Colours & Lights,3mlofacGjfLS5qrEG2Pm6B,2019-08-23T22:30:57Z,Colours & Lights,2019-07-26,188995,56,GoldFish,0uRdK8gy7fXJGRywrlmPM7,126313,63,"cape town indie,downtempo,electro swing,nu jazz,tropical house",0.656,0.74,9,-5.882,1,0.0443,0.0215,2.04e-06,0.534,0.473,124.97,4
Bad Boy,5AUvVazWxTUoqbOyQHbYtN,2019-08-23T22:31:23Z,Bad Boy,2019-06-21,187544,56,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,67011,60,"future funk,vaporwave",0.859,0.794,1,-5.553,0,0.0815,0.0336,6.07e-06,0.0704,0.773,118.037,4
Til I Die,5rTcQ0Mw0YxGEMLVlwzOdm,2019-08-23T22:30:57Z,Til I Die,2019-08-07,124986,55,THEY.,0pghUohLPptZWBasy2wmUx,157834,66,"alternative r&b,pop,trap soul,underground hip hop",0.772,0.637,1,-3.013,1,0.053,0.00532,0,0.0745,0.357,153.957,4
Everybody Clap,6lMNMaq2OaE7UIQiBevauB,2019-08-23T22:30:57Z,Everybody Clap,2019-08-16,148124,55,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2538001,82,"belgian dance,belgian edm,big room,edm,electro house,progressive electro house,tropical house",0.716,0.971,0,-4.963,1,0.0685,0.0048,0.675,0.277,0.125,128.011,4
Waiting,78v8ad1iLTlfLbam4qvzNu,2019-08-23T22:30:57Z,Waiting,2019-05-17,205714,55,Vicetone,0daugAjUgbJSqdlyYNwIbT,270892,70,"big room,catstep,dance pop,edm,electro house,pop,pop edm,progressive electro house,tracestep,tropical house",0.651,0.7,1,-4.264,0,0.0318,0.352,0,0.061,0.214,104.964,4
Must Be Love,52BNaU9hk4nlT04R09ULlI,2019-08-23T22:31:38Z,Must Be Love,2019-06-07,180732,46,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,67011,60,"future funk,vaporwave",0.771,0.867,3,-3.67,1,0.0506,0.00418,0.811,0.131,0.874,123.017,4
My Own Thang,2Vt5yfzBBsYwy8z525XbMr,2019-08-23T22:32:02Z,Self Help,2017-10-20,277933,46,Walker & Royce,1lAwVq9MxNJkB0dEY6xNoV,21040,51,"bass house,deep disco house,electro house,house",0.956,0.398,1,-8.748,1,0.168,0.00595,0.00129,0.0968,0.391,125.007,4
Fuego Lento,0tO52JrDF0irlfh2c7DdVu,2019-08-23T22:32:52Z,Fuego Lento,2018-09-28,189230,60,Drake Bell,03ilIKH0i08IxmjKcn63ne,254613,58,post-teen pop,0.689,0.712,10,-4.61,1,0.0718,0.312,0,0.0953,0.664,169.918,4
All This Time,7atGQ4FcDs99ZKUVgZmt0t,2019-08-23T22:32:52Z,All This Time,2019-06-14,225625,45,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,35491,66,"australian pop,nz pop",0.517,0.613,6,-5.992,0,0.118,0.236,1.63e-06,0.15,0.398,88.854,4
Colours & Lights,3mlofacGjfLS5qrEG2Pm6B,2019-08-23T22:32:52Z,Colours & Lights,2019-07-26,188995,56,GoldFish,0uRdK8gy7fXJGRywrlmPM7,126313,63,"cape town indie,downtempo,electro swing,nu jazz,tropical house",0.656,0.74,9,-5.882,1,0.0443,0.0215,2.04e-06,0.534,0.473,124.97,4
Bad Boy,5AUvVazWxTUoqbOyQHbYtN,2019-08-23T22:32:52Z,Bad Boy,2019-06-21,187544,56,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,67011,60,"future funk,vaporwave",0.859,0.794,1,-5.553,0,0.0815,0.0336,6.07e-06,0.0704,0.773,118.037,4
Til I Die,5rTcQ0Mw0YxGEMLVlwzOdm,2019-08-23T22:32:52Z,Til I Die,2019-08-07,124986,55,THEY.,0pghUohLPptZWBasy2wmUx,157834,66,"alternative r&b,pop,trap soul,underground hip hop",0.772,0.637,1,-3.013,1,0.053,0.00532,0,0.0745,0.357,153.957,4
Everybody Clap,6lMNMaq2OaE7UIQiBevauB,2019-08-23T22:32:52Z,Everybody Clap,2019-08-16,148124,55,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2538001,82,"belgian dance,belgian edm,big room,edm,electro house,progressive electro house,tropical house",0.716,0.971,0,-4.963,1,0.0685,0.0048,0.675,0.277,0.125,128.011,4
Waiting,78v8ad1iLTlfLbam4qvzNu,2019-08-23T22:32:52Z,Waiting,2019-05-17,205714,55,Vicetone,0daugAjUgbJSqdlyYNwIbT,270892,70,"big room,catstep,dance pop,edm,electro house,pop,pop edm,progressive electro house,tracestep,tropical house",0.651,0.7,1,-4.264,0,0.0318,0.352,0,0.061,0.214,104.964,4
Must Be Love,52BNaU9hk4nlT04R09ULlI,2019-08-23T22:32:52Z,Must Be Love,2019-06-07,180732,46,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,67011,60,"future funk,vaporwave",0.771,0.867,3,-3.67,1,0.0506,0.00418,0.811,0.131,0.874,123.017,4
My Own Thang,2Vt5yfzBBsYwy8z525XbMr,2019-08-23T22:32:52Z,Self Help,2017-10-20,277933,46,Walker & Royce,1lAwVq9MxNJkB0dEY6xNoV,21040,51,"bass house,deep disco house,electro house,house",0.956,0.398,1,-8.748,1,0.168,0.00595,0.00129,0.0968,0.391,125.007,4
Fuego Lento,0tO52JrDF0irlfh2c7DdVu,2019-08-23T22:32:55Z,Fuego Lento,2018-09-28,189230,60,Drake Bell,03ilIKH0i08IxmjKcn63ne,254613,58,post-teen pop,0.689,0.712,10,-4.61,1,0.0718,0.312,0,0.0953,0.664,169.918,4
All This Time,7atGQ4FcDs99ZKUVgZmt0t,2019-08-23T22:32:55Z,All This Time,2019-06-14,225625,45,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,35491,66,"australian pop,nz pop",0.517,0.613,6,-5.992,0,0.118,0.236,1.63e-06,0.15,0.398,88.854,4
Colours & Lights,3mlofacGjfLS5qrEG2Pm6B,2019-08-23T22:32:55Z,Colours & Lights,2019-07-26,188995,56,GoldFish,0uRdK8gy7fXJGRywrlmPM7,126313,63,"cape town indie,downtempo,electro swing,nu jazz,tropical house",0.656,0.74,9,-5.882,1,0.0443,0.0215,2.04e-06,0.534,0.473,124.97,4
Bad Boy,5AUvVazWxTUoqbOyQHbYtN,2019-08-23T22:32:55Z,Bad Boy,2019-06-21,187544,56,Yung Bae,30FDJPN3RtwJZ20g5YGCRX,67011,60,"future funk,vaporwave",0.859,0.794,1,-5.553,0,0.0815,0.0336,6.07e-06,0.0704,0.773,118.037,4
Til I Die,5rTcQ0Mw0YxGEMLVlwzOdm,2019-08-23T22:32:55Z,Til I Die,2019-08-07,124986,55,THEY.,0pghUohLPptZWBasy2wmUx,157834,66,"alternative r&b,pop,trap soul,underground hip hop",0.772,0.637,1,-3.013,1,0.053,0.00532,0,0.0745,0.357,153.957,4
