track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Antisocial (with Travis Scott),1DhRbox3xkceP64k3JeYfW,2019-07-23T15:13:24Z,No.6 Collaborations Project,2019-07-12,161746,86,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010644,100,"pop,uk pop",0.715,0.823,5,-5.313,0,0.0495,0.133,0.0,0.361,0.91,151.95600000000002,4
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,2019-07-23T15:13:24Z,No.6 Collaborations Project,2019-07-12,204466,86,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010644,100,"pop,uk pop",0.857,0.621,9,-6.376,0,0.0824,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.986,4
Remember The Name (feat. Eminem & 50 Cent),0AtP8EkGPn6SwxKDaUuXec,2019-07-23T15:13:24Z,No.6 Collaborations Project,2019-07-12,207760,83,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010644,100,"pop,uk pop",0.852,0.6659999999999999,11,-6.922999999999999,0,0.184,0.135,0.0,0.7979999999999999,0.726,91.046,4
Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,2019-07-23T15:13:24Z,Tip of My Tongue,2019-07-12,199413,66,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,2565890,77,"contemporary country,country,country road",0.669,0.5589999999999999,5,-5.003,1,0.0251,0.0805,0.0,0.0703,0.491,95.001,4
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,2019-07-23T15:13:24Z,Perfect Ten,2019-06-28,174100,81,Mustard,0YinUQ50QDB7ZxSCLyQ40k,434286,82,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.883,0.525,2,-8.054,0,0.0633,0.18899999999999997,0.0,0.0971,0.312,99.978,4
Like a Rodeo,6RZmbKPtcieEcQJMcOEXZU,2019-07-23T15:13:24Z,Experiment,2019-07-12,201730,67,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,1696554,83,"contemporary country,country road",0.67,0.6609999999999999,3,-6.797999999999999,0,0.0466,0.7040000000000001,0.0,0.217,0.425,119.985,4
Time - Edit,68Vm2W4oURsPV3121vUZgB,2019-07-23T15:13:24Z,Time,2019-07-12,230610,78,NF,6fOMl44jA4Sp5b9PpYCkzz,2094079,86,"hip hop,rap",0.665,0.703,8,-3.885,1,0.07,0.128,0.0,0.115,0.257,97.96799999999999,4
Southbound,7qXPZxXn6Xmv1sjh03skiW,2019-07-23T15:13:24Z,Cry Pretty,2018-09-14,202853,68,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,3439295,75,"contemporary country,country,country dawn,dance pop,pop,post-teen pop",0.614,0.884,0,-4.019,1,0.0402,0.00122,0.0,0.077,0.721,100.531,4
"SPIRIT - From Disney's ""The Lion King""",1tC5WMSlsGDFfqnrquB1ty,2019-07-23T15:13:24Z,"SPIRIT (From Disney's ""The Lion King"")",2019-07-10,277030,76,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19452232,91,"dance pop,pop,r&b",0.44799999999999995,0.435,10,-8.102,1,0.039,0.00988,0.0,0.0964,0.0466,80.84899999999999,4
Best Part of Me (feat. YEBBA),0VsGaRXR5WAzpu51unJTis,2019-07-23T15:13:24Z,No.6 Collaborations Project,2019-07-12,243266,79,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010644,100,"pop,uk pop",0.565,0.242,2,-8.367,1,0.0318,0.762,9.3e-06,0.285,0.237,81.657,4
