track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,2019-07-16T14:34:08Z,Eastside (with Halsey & Khalid),2018-07-12,173799,83,benny blanco,5CiGnKThu5ctn9pBxv7DGa,306309,81,"dance pop,edm,pop,post-teen pop,tropical house",0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,4
Look Back At It,3Ol2xnObFdKV9pmRD2t9x8,2019-07-16T14:34:08Z,Hoodie SZN,2018-12-21,179449,82,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3122939,89,"rap,trap music",0.7909999999999999,0.5870000000000001,3,-5.075,0,0.0413,0.40700000000000003,0.0,0.14800000000000002,0.536,96.057,4
"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",36J0iaPDGbYGsHvYpaYs3k,2019-07-16T14:34:08Z,Revenge Of The Dreamers III,2019-07-05,169146,77,Dreamville,1iNqsUDUraNWrj00bqssQG,100915,84,"hip hop,pop rap,rap,trap music",0.7609999999999999,0.586,0,-5.367999999999999,1,0.359,0.0392,0.0,0.0558,0.7190000000000001,149.804,4
Good as You,1D07CwYBPqu8NbQTdu9C1g,2019-07-16T14:34:08Z,Experiment,2018-11-09,192053,75,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,1677937,83,"contemporary country,country road",0.634,0.516,8,-6.05,1,0.0373,0.4,0.0,0.142,0.769,153.83100000000002,4
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,2019-07-16T14:34:08Z,Revenge Of The Dreamers III,2019-07-05,217866,76,Dreamville,1iNqsUDUraNWrj00bqssQG,100915,84,"hip hop,pop rap,rap,trap music",0.642,0.647,7,-6.312,0,0.428,0.517,0.0,0.0649,0.664,120.749,4
Out The Mud,2wZjsbwmWfNVslgV5afl1L,2019-07-16T14:34:08Z,Out The Mud,2019-06-21,157816,79,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2402941,88,"atl hip hop,atl trap,rap,trap music",0.746,0.49700000000000005,1,-5.785,1,0.149,0.00944,8.6e-05,0.10099999999999999,0.25,160.05100000000002,4
Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,2019-07-16T14:34:08Z,Last Day Of Summer,2018-10-19,222374,75,Summer Walker,57LYzLEk2LcFghVwuWbcuS,395211,72,"alternative r&b,deep pop r&b,indie r&b,pop,r&b",0.6559999999999999,0.43200000000000005,6,-9.481,0,0.217,0.44299999999999995,0.0,0.132,0.0897,97.022,4
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-07-16T14:34:08Z,SHE IS COMING,2019-05-31,219080,86,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9279282,87,"dance pop,pop,post-teen pop",0.6809999999999999,0.865,1,-4.132,0,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4
MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,2019-07-16T14:34:08Z,MEGATRON,2019-06-21,190746,81,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,15718228,91,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b,rap",0.893,0.6409999999999999,1,-3.051,1,0.272,0.128,8.06e-05,0.086,0.7709999999999999,94.01700000000001,4
ocean eyes,7hDVYcQq6MxkdJGweuCtl9,2019-07-16T14:34:08Z,dont smile at me,2017-12-22,200379,82,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10668553,97,"electropop,pop",0.511,0.363,4,-7.65,0,0.040999999999999995,0.816,0.0317,0.084,0.16899999999999998,144.892,4
