track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
More Than Ever,1o3A4lWzyTBLm0XyrF8IfB,2019-06-21T09:13:54Z,More Than Ever,2019-04-12,206557,52,DLMT,5rG00A9pRANrMDzVI3DrmF,4958,57,"deep groove house,pop edm",0.762,0.809,7,-6.09,0,0.0745,0.0431,9.91e-06,0.0962,0.308,121.95200000000001,4
Shake That,0mZdLtmKwH6iNqMlOej9qP,2019-06-21T09:13:54Z,Shake That,2019-05-03,186386,50,Tom Budin,1kwRrQDCpXpVliMDntpxCt,12168,54,"deep groove house,electro house,house,pop edm",0.8,0.672,11,-10.88,0,0.0434,0.0016300000000000002,0.765,0.0703,0.912,126.009,4
Love You,2naRcRFkCGNsI2nJgjvPW4,2019-06-21T09:13:54Z,Love You,2019-03-08,165160,38,Aeden,2WIFU5KpTGyYWZs039dQPn,399,40,,0.637,0.73,8,-5.928999999999999,1,0.0401,0.0415,0.9129999999999999,0.146,0.505,125.111,4
Force of Nature,7E1bNGiqw4hwWHFdra1Hjx,2019-06-21T09:13:54Z,Force of Nature,2019-03-22,184200,58,Cookin' On 3 Burners,726MxZBpkxnnoKl6aN7mmj,62703,68,"bboy,funk,instrumental funk",0.742,0.787,2,-5.432,1,0.0684,0.00264,6.82e-05,0.33899999999999997,0.888,122.01100000000001,4
Atmosphere,7Mz88sUw06Mhq0BkaucyeS,2019-06-21T09:13:54Z,Atmosphere,2019-03-22,186714,33,Clixx,6zDyLPW26yfwhcwvTBX31X,341,34,,0.41100000000000003,0.66,10,-5.82,0,0.254,0.0308,0.000315,0.157,0.252,182.94400000000002,3
On Love,0fpQuanaNJtbyv2i2hdDud,2019-06-21T09:13:54Z,On Love,2019-03-08,185806,24,Marcus Brodowski,3U5sS2ernX7nUjFZ9GSxWh,548,43,,0.8109999999999999,0.737,10,-4.17,0,0.139,0.23,0.00010700000000000001,0.10800000000000001,0.5379999999999999,124.016,4
Something More,0kA96LB9paSF6z5AbjkBcA,2019-06-21T09:13:54Z,Something More,2019-04-05,180000,41,BAZZFLOW,4VVcDH5D15esq9GKF4FyFD,340,44,german dance,0.6729999999999999,0.7829999999999999,11,-4.405,0,0.0486,0.0758,2.71e-05,0.122,0.47200000000000003,128.06,4
Sunflower - Radio Edit,6flFIMu6vU4x3EclA0sJl6,2019-06-21T09:13:54Z,Sunflower,2019-02-15,157953,51,T. Matthias,2R7k2SovVWGhTcvPx1JbQv,1060,45,uk dance,0.72,0.747,10,-6.395,0,0.0631,0.114,0.000918,0.111,0.19,123.97200000000001,4
So Close,7FjZU7XFs7P9jHI9Z0yRhK,2019-06-21T09:13:54Z,So Close (feat. Georgia Ku),2018-11-02,190302,81,NOTD,5jAMCwdNHWr7JThxtMuEyy,53124,77,"australian pop,dance pop,edm,electropop,pop,pop edm,post-teen pop,tropical house",0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.10300000000000001,0.7609999999999999,125.03,4
Closure,08H2gS7cSUaO8mHeiBiDye,2019-06-21T09:13:54Z,Closure,2018-12-07,166446,62,Steve Void,3WSK3JppX3N41XHVwQp7Gt,40970,62,"deep tropical house,edm,pop edm,tropical house",0.596,0.8340000000000001,0,-4.095,1,0.0542,0.126,1.05e-06,0.65,0.562,123.98100000000001,4
