track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Harder,2b1BwUGGyKq0CoJd8G1B6M,2019-07-12T15:45:00Z,Snacks,2019-07-12,159753,32,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,516934,82,"dance pop,edm,house,pop,tropical house,uk dance",0.9059999999999999,0.8320000000000001,5.0,-3.0039999999999996,0.0,0.0718,0.0909,0.0,0.152,0.7509999999999999,104.03,4.0
Dilemma,03druhrRJ5f3MJYg38NF2c,2019-07-12T15:45:00Z,Dilemma,2019-07-12,160114,38,Sigma,01pKrlgPJhm5dB4lneYAqS,204328,67,"drum and bass,house,liquid funk,pop,tropical house,uk dance",,,,,,,,,,,,
Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,2019-07-12T15:45:00Z,Sad Song (feat. TINI),2019-06-14,154024,79,Alesso,4AVFqumd2ogHFlRbKIjp1t,2875789,83,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.7340000000000001,0.693,0.0,-6.474,1.0,0.0361,0.0878,0.0,0.341,0.55,110.021,4.0
All This Time,1tq4UL9BB7BHuT6eorlX3X,2019-07-12T15:45:00Z,All This Time,2019-07-12,225159,53,Deorro,6VD4UEUPvtsemqD3mmTqCR,899859,74,"big room,dance pop,deep big room,edm,electro house,melbourne bounce,melbourne bounce international,pop,progressive electro house,tropical house",0.66,0.857,2.0,-5.218999999999999,1.0,0.321,0.16699999999999998,1.36e-05,0.11900000000000001,0.233,130.069,4.0
Viva la Dealer - Gestört aber GeiL Remix,1twCDBPDERLBAYFhGjmNfI,2019-07-12T15:45:00Z,Viva la Dealer (Gestört aber GeiL Remix),2019-07-11,217868,47,SDP,1EfwyuCzDQpCslZc8C9gkG,405380,72,"german hip hop,german pop,german reggae,german rock",0.759,0.805,0.0,-6.849,1.0,0.0753,0.207,5.3500000000000006e-05,0.0938,0.782,121.999,4.0
Easier - Seeb Remix,6GIRtKNXokeu25nn7U6Hu8,2019-07-12T17:26:13Z,Easier (Seeb Remix),2019-07-12,165767,53,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4861764,88,"boy band,dance pop,pop,post-teen pop",0.47700000000000004,0.7490000000000001,5.0,-3.315,1.0,0.0583,0.0722,0.0,0.135,0.6659999999999999,97.23100000000001,4.0
Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,2019-07-12T15:45:00Z,Thing For You (With Martin Solveig),2019-07-12,191398,65,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19213183,91,"dance pop,edm,pop",0.774,0.723,2.0,-5.545,1.0,0.0496,0.0395,1.82e-05,0.1,0.769,121.057,4.0
On the Beach - Skip Nine Remix,23DJKB6CmrQWVGKvrSQgzI,2019-07-12T15:45:00Z,On the Beach,2019-07-12,172500,11,AM-PM Project,5AoeeP6H3VwuXLT42Nc0dy,2,5,,0.67,0.76,11.0,-6.58,0.0,0.0384,0.13699999999999998,0.0005110000000000001,0.342,0.37799999999999995,119.994,4.0
Gone,0Af11lJGFMTJ2LIplAzlQE,2019-07-12T17:26:13Z,Gone (feat. Mary Leay),2019-07-11,166272,26,Lulleaux,6bA8L82JXU9CQa2nyUnLDh,10246,57,"deep tropical house,pop edm,tropical house",0.691,0.77,0.0,-6.065,0.0,0.0375,0.0283,7.63e-05,0.153,0.335,117.98200000000001,4.0
Fearless,5uZGPHOKj1hCAziP3NWWKK,2019-07-12T15:45:00Z,Fearless,2019-06-21,179787,33,Chris Night,1Jgt8FqiLqbhDGnXusGELt,3033,26,,0.653,0.8809999999999999,6.0,-5.537000000000001,0.0,0.11800000000000001,0.027000000000000003,0.000414,0.384,0.537,123.074,4.0
