track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Indios y Vaqueros,3u5GmyJP2MU3tEJgyiAG2T,2019-08-09T11:35:18Z,Indios y Vaqueros,2018-08-01,184000,66,Sinsinati,2rGri7YZ2eiCS58zgvmlQb,7875,57,,0.606,0.797,8,-6.23,1,0.0702,0.0607,0,0.366,0.851,100.015,4
Soldadito de Hierro,3DfUO7e24abpbIreUpUK4B,2019-08-09T11:35:18Z,Soldadito de Hierro,2019-02-22,142964,67,Nil Moliner,6X8uzem5Dbl4l2so4CeexD,38414,64,"latin viral pop,spanish pop",0.716,0.344,9,-7.528,1,0.14,0.87,0,0.0945,0.412,81.86,4
Cicatrices (feat. Indara),17nYNma8AncLFqOBk6tu6m,2019-08-09T11:35:18Z,Cicatrices (feat. Indara),2019-05-24,173868,70,Sergio Contreras,5QYdUMRHeBxlpJioqpIL0k,133892,64,spanish pop,0.819,0.702,6,-4.865,1,0.0554,0.0225,0.000124,0.0893,0.937,137.023,4
Una Vida Para Recordar,7pxL0DzPpCjjcdfQccvnus,2019-08-09T11:35:18Z,Una Vida Para Recordar,2019-07-05,215086,77,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,3922528,81,"colombian pop,latin",0.703,0.776,7,-3.075,1,0.2,0.0746,0,0.123,0.483,182.136,4
It's You,6moU77g9RQyMzHNuKEaQKq,2019-08-09T11:35:18Z,It's You,2019-06-14,212606,89,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,189707,81,"canadian hip hop,pop",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
Si te vas,33DRqd2LBqENdAV0zKq3ib,2019-08-09T11:35:18Z,Si te vas,2019-07-26,208723,52,Blas Cantó,3IJtdFn9IKbFvNvZqOJA46,90232,57,"latin viral pop,spanish pop",0.604,0.6,2,-8.496,1,0.0389,0.243,0,0.251,0.24,93.982,4
Maldito miedo (feat. Soge Culebra),1oGkFC08hfifH5qkgTlOzT,2019-08-09T11:35:18Z,Maldito miedo (feat. Soge Culebra),2019-08-02,206434,52,Alex Ubago,2tY2GFdhH0Wa2VBvsxew5X,930384,66,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock",0.525,0.769,8,-4.746,1,0.0315,0.147,0,0.149,0.382,153.936,4
Nothing On You (feat. Paulo Londra & Dave),2qRN7PWiHRLprw4FpDeI9N,2019-08-09T11:35:18Z,No.6 Collaborations Project,2019-07-12,200733,81,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48801089,100,"pop,uk pop",0.747,0.649,10,-6.218,0,0.219,0.333,0,0.172,0.84,88.011,4
Me llama,7piXNyrajEfqhOkzgDq2Ts,2019-08-09T11:35:18Z,Me llama,2019-04-26,211180,70,Beret,0ZHPrnImGh4re3TbSNkoZl,1225430,76,"spanish hip hop,spanish pop",0.682,0.55,1,-5.91,1,0.105,0.175,0,0.116,0.271,90.727,4
Mala Fama,44fRJ4STXvhxEFcE6mvMml,2019-08-09T11:35:18Z,Mala Fama,2019-08-09,179200,38,Nyno Vargas,2dkbKcHXhN7ooFBdqAV76G,113490,59,"spanish hip hop,spanish pop",0.687,0.872,0,-3.668,0,0.0403,0.238,0.000211,0.342,0.917,75.004,4
DIEZ MINUTOS (feat. Mario Bautista),3ALLv1BQxYFlJ8XQOQtgW1,2019-08-09T11:35:18Z,DIEZ MINUTOS (feat. Mario Bautista),2019-07-26,189894,51,Paula Cendejas,4EiI7Vls0NB16jLuexzCHC,2734,52,r&b en espanol,0.805,0.767,8,-3.977,0,0.056,0.087,0.00722,0.177,0.797,97.986,4
Mamacita (feat. Farruko),7iwhbx1YQcQ675DTj6AmAb,2019-08-09T11:35:18Z,Mamacita (feat. Farruko),2019-07-05,204064,73,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,6965955,83,"dance pop,pop,pop rap,post-teen pop,r&b",0.593,0.787,11,-3.67,1,0.34,0.303,0,0.0917,0.495,191.772,4
Freaking Me Out,7uYIX9O9DY6l1D3HiwHR1J,2019-08-09T11:35:18Z,Freaking Me Out,2019-07-31,192455,68,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,540653,82,"dance pop,pop,post-teen pop",0.429,0.553,1,-4.838,0,0.0669,0.458,0,0.0766,0.382,97.954,4
Serpiente Veneno (feat. Ele A El Dominio),63c2jMnVyf8dtnbaQK910d,2019-08-09T11:35:18Z,Serpiente Veneno (feat. Ele A El Dominio),2019-04-26,268437,71,Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km,819356,73,trap espanol,0.918,0.527,1,-6.733,1,0.276,0.108,8.62e-05,0.0549,0.553,99.973,4
Enchochado de Ti,6G8TNOdTBpBPmDdJAvoVhA,2019-08-09T11:35:18Z,La Dura Vida del Joven Rapero,2019-01-27,213373,72,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,120405,75,trap espanol,0.556,0.508,7,-6.564,1,0.352,0.402,0.00533,0.165,0.53,180.071,4
Siempre a mi lado,6Q04p26nFb6zetyfPqliLT,2019-08-09T11:35:18Z,Siempre a mi lado,2019-07-26,200826,49,Efecto Pasillo,6CSa1r92LtHHdLG6kRabU3,316480,60,"latin arena pop,latin viral pop,musica canaria,rock en espanol,spanish pop",0.738,0.754,10,-4.679,1,0.0528,0.0934,0,0.0674,0.941,102.52,4
Tal Vez (feat. Rayden),6A0DbHNmhAkAgV7FvHY2vp,2019-08-09T11:35:18Z,Tal Vez (feat. Rayden),2019-08-02,253010,49,Nil Moliner,6X8uzem5Dbl4l2so4CeexD,38414,64,"latin viral pop,spanish pop",0.614,0.875,9,-4.517,1,0.0461,0.246,0,0.37,0.812,158.903,3
Tal Vez,46lvmzK8wxAy66tjzXXSh0,2019-08-09T11:35:18Z,Tal Vez,2019-04-03,264483,84,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,6417259,88,"argentine hip hop,trap argentino,trap latino",0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,4
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-08-09T11:35:18Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,78,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19493409,90,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-08-09T11:35:18Z,I Don't Care (with Justin Bieber),2019-05-10,219946,94,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48801089,100,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Contando Lunares (feat. Cruz Cafuné),6uW0PIRcyZLvkoonm763xD,2019-08-09T11:35:18Z,La Dura Vida del Joven Rapero,2019-01-27,219666,79,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,120405,75,trap espanol,0.856,0.523,4,-10.481,0,0.131,0.444,0,0.0537,0.709,105.935,4
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-08-09T11:35:18Z,So Am I,2019-03-07,183026,84,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,540653,82,"dance pop,pop,post-teen pop",0.682,0.656,6,-4.67,1,0.0435,0.0737,0,0.353,0.607,130.089,4
