track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Up All Night,6lCBuAOONHLtVlKKLvEIAb,2019-08-17T20:56:13Z,Up All Night,2019-07-31,242201,44,IHF,34P1IGH1mIqdaVkfRuTebV,24372,49,"vapor soul,vapor twitch",0.537,0.803,5,-8.522,1,0.144,0.00578,0.32,0.103,0.361,111.242,4
Drown the Sky,7yW9xPLtJ4Yh0zXKbS5T1H,2019-08-17T20:56:13Z,Drown the Sky,2019-08-14,221793,38,William Black,7d5SfGXKpgS3JK8BFIq59h,17037,54,"bass trap,pop edm,traprun",0.495,0.714,5,-5.058,1,0.0369,0.257,0,0.105,0.242,144.882,4
Heartbeats,4MHQS0NA1D6vUsepLzi1ox,2019-08-17T20:56:13Z,Heartbeats,2019-07-25,196000,45,Fairlane,3L7JnVovGbYSUmRyqhXMYO,4502,50,pop edm,0.527,0.683,8,-5.023,1,0.035,0.407,1.92e-06,0.101,0.114,92.986,4
Neon Lights,7K1nhzKpNd6Qa6yoD5KBxS,2019-08-17T20:56:13Z,Neon Lights,2019-08-05,220500,29,Forester,3d13oWvwmjcodRr3NzdArc,397,42,,0.549,0.717,3,-6.987,1,0.0334,0.554,0.122,0.0786,0.0728,102.964,4
Built To Last (feat. RØRY),3OmKuGbtu4U2UnQpDqLXHi,2019-08-17T20:56:13Z,Built To Last (feat. RØRY),2019-08-02,165861,38,Feki,3oZDqlOiOQTolPJZsxivaN,9388,46,"pop edm,vapor soul",0.68,0.588,0,-7.14,1,0.0891,0.406,0,0.0621,0.394,102.029,4
If You Love Me,6Xby6jEJo4ImVkT4AZC8Rc,2019-08-17T20:56:13Z,If You Love Me,2019-08-02,218569,34,Liimo,5zMGoQoFhdlLrLkx2VnH08,650,37,uk alternative pop,0.558,0.698,2,-5.852,1,0.0535,0.259,1.7e-06,0.101,0.537,145.852,4
Don't Want to Be in Love (Anymore) [feat. James Droll],2sUeM08RYmXB5xRjnhLA20,2019-08-17T20:56:13Z,Don't Want to Be in Love (Anymore) [feat. James Droll],2019-08-15,171230,15,Meridian,4CL766oPnQwg2qYuAeKXup,4,7,,0.689,0.508,10,-11.46,0,0.053,0.106,0.00998,0.107,0.378,112.044,4
Lost,5aqkSvg3sOvPDziEVOZuh2,2019-08-17T20:56:13Z,Lost,2019-08-02,210558,38,Portair,5eNDu0xRakAeO0Za8pRIuG,736,40,,0.594,0.35,9,-10.763,0,0.0325,0.83,5.49e-06,0.767,0.34,108.753,4
Supernova,3gK67UURanunYFJvK43D3X,2019-08-17T20:56:13Z,Supernova,2019-07-19,179538,44,Eastern Odyssey,6vd0iw9nRnxUADUos1y3j1,4187,48,,0.331,0.786,9,-6.013,0,0.097,0.00814,0.406,0.116,0.208,187.107,4
Gateless,56SZbQAvAwjwebXPMkTaXL,2019-08-17T20:56:13Z,Gateless,2019-07-26,336097,38,Koelle,6kkdxR4fLeX1bz8Ujruh3a,4736,45,progressive house,0.698,0.692,0,-9.592,1,0.0741,0.746,0.955,0.0796,0.378,117.976,4
