track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
E30,66H0yX3dWnODauOIwlBBHq,2019-05-21T02:08:37Z,E30,2019-04-26,180414,55,Ryan Trey,5YHM0i7v5TqqibZhS0YiuX,14131,59,trap soul,0.73,0.557,11,-10.61,1,0.313,0.375,0.0,0.47600000000000003,0.43799999999999994,114.587,5
Over You,5mXGxPDw2RMpx0akr6hLpH,2019-05-21T02:08:37Z,Over You,2019-02-18,192941,35,Meric,44aoeFCBHXcE6v9hM7dBcl,1797,42,,0.657,0.746,2,-4.769,1,0.0675,0.363,7.499999999999999e-06,0.0675,0.359,101.97,4
lost cause,0sQc1JN9FgzSStwnnqUD1z,2019-05-21T02:08:37Z,lost cause,2019-05-01,187213,50,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,4952,46,bedroom pop,0.521,0.509,0,-8.667,1,0.03,0.474,0.0011099999999999999,0.14400000000000002,0.38,120.936,4
Drifting into Dark,5g1S12Ottmgl7WxbjXd4FR,2019-05-21T02:08:37Z,Glass Houses,2019-03-08,232772,41,Tim Schaufert,3PThWtcE0CEi5IUmfgTvrC,5641,51,"chillstep,vapor soul,wave",0.361,0.47700000000000004,5,-10.597000000000001,1,0.0429,0.17600000000000002,0.603,0.0915,0.0643,136.945,4
Can't Stop It,66aARQw7C7lLT0YSqGs4mT,2019-05-21T02:08:37Z,Can't Stop It,2019-03-22,173035,43,Justin Prime,0TFdkHvlyUVl9zrb4seHxJ,8578,46,"big room,deep big room,sky room",0.6559999999999999,0.7509999999999999,7,-3.864,0,0.0524,0.31,0.0,0.16399999999999998,0.462,112.03200000000001,4
At Fault,3zgQUUsPXPE5fL6peSBZCU,2019-05-21T02:08:37Z,At Fault,2019-04-05,218533,51,Medasin,62vbsDRAq0qHdezaCOzB0T,49079,67,vapor twitch,0.638,0.414,1,-9.666,1,0.0715,0.41600000000000004,6.78e-05,0.145,0.225,136.974,4
Do You Think About Me,2zjGh9BWrFXy9fUNI7hylv,2019-05-21T02:08:37Z,Do You Think About Me,2019-03-15,226666,53,Josefine,5iLaZnrGlRUHm2PwZ33dIt,406,48,scandipop,0.816,0.6970000000000001,7,-4.669,0,0.06,0.0612,1.73e-06,0.0979,0.833,108.039,4
They Don't Know Me,2LBgsnOYRftYWaFio89LFZ,2019-05-21T02:08:37Z,They Don't Know Me,2019-02-01,190000,55,Josefine,5iLaZnrGlRUHm2PwZ33dIt,406,48,scandipop,0.6990000000000001,0.609,1,-8.201,0,0.0479,0.0126,2.92e-06,0.0332,0.545,96.02799999999999,4
BLUE,1Roxb5PucuEVW34lGHRhMY,2019-05-21T02:08:37Z,BLUE,2019-03-29,137183,54,Zaia,1m0t5VYISq6TcyMo7UqLMz,1930,48,,0.833,0.807,8,-4.187,1,0.0552,0.00722,0.0644,0.11900000000000001,0.9259999999999999,115.954,4
Coming Back to Life,63PEZUMuvA7YXqesZR1GDb,2019-05-21T02:08:37Z,Coming Back to Life,2019-02-01,211764,44,AJ Salvatore,5gLMXPUMc0uh9TedkRlng9,3053,46,,0.5589999999999999,0.8640000000000001,8,-5.008,0,0.0736,0.297,0.0,0.309,0.66,102.03299999999999,4
Sunsets,70nZjGuf7FF9BMhoeR7BWX,2019-05-21T02:08:37Z,Sunsets,2018-12-07,223058,49,Nurko,757FXqX0Osk2pqtgv4E5v4,10539,53,"bass trap,pop edm,traprun",0.287,0.7070000000000001,7,-6.138999999999999,1,0.0323,0.162,0.000664,0.094,0.166,129.95,4
Better Now,1Iux66iOVsuNiKW7YQxffx,2019-05-21T02:08:37Z,Better Now,2018-05-11,186767,42,Anevo,1FmrdSfTqWOzQoEoaS7MWb,8983,47,"catstep,deep uplifting trance,electro house,pop edm",0.591,0.8490000000000001,7,-2.343,0,0.0663,0.092,0.0,0.14400000000000002,0.716,144.971,4
Cycles,4GeOvwkdNBVsZ42rGBM27J,2019-05-21T02:08:37Z,Cycles,2018-08-07,250363,39,Tim Schaufert,3PThWtcE0CEi5IUmfgTvrC,5641,51,"chillstep,vapor soul,wave",0.307,0.474,7,-13.321,0,0.11199999999999999,0.583,0.0553,0.0986,0.0332,174.012,5
Wildfire,74Iek9QLydiQPtGcnHqHe8,2019-05-21T02:08:37Z,Wildfire,2018-08-23,217263,46,Fairlane,3L7JnVovGbYSUmRyqhXMYO,3562,48,"pop edm,traprun",0.595,0.67,11,-6.8020000000000005,0,0.0359,0.301,0.0,0.157,0.295,95.01899999999999,4
Aint Gotta Know,5yIRCKiE34UzQaNwF9xPTM,2019-05-21T02:08:37Z,Aint Gotta Know,2018-11-30,236800,37,Casper & B.,2D3CXS70FRMw2FIkchBQdH,626,42,,0.614,0.575,2,-6.462000000000001,0,0.0395,0.14400000000000002,0.0,0.0941,0.256,150.07399999999998,4
Uncover You,6W8r7ensMcwOAQv8dTlLv4,2019-05-21T02:08:37Z,Uncover You,2018-07-05,233924,48,Fairlane,3L7JnVovGbYSUmRyqhXMYO,3562,48,"pop edm,traprun",0.53,0.7879999999999999,0,-4.809,0,0.044000000000000004,0.124,0.0,0.111,0.363,158.049,4
Away,5X9NXoU3sBboFn7lrOP5f5,2019-05-21T02:08:37Z,Away,2018-08-30,170142,42,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,4444,47,"traprun,uk dance",0.53,0.726,4,-8.353,0,0.0799,0.0411,4.4e-06,0.0944,0.113,139.91,4
