track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Critical Mass,3KjTsg8hHFhqD5qw1nZ03r,2019-06-28T04:59:43Z,Critical Mass,2019-06-28,196153,24,Eastern Odyssey,6vd0iw9nRnxUADUos1y3j1,3639,47,traprun,0.287,0.65,7.0,-6.51,1.0,0.0416,0.0913,0.000859,0.10300000000000001,0.129,156.262,4.0
All the While,6Lgv0fCNittRUlnKbCwQDc,2019-06-27T12:52:56Z,Hold On,2019-06-27,206524,20,Blonde Maze,7jKdwKEJDwdloy2X6fyk9Y,1458,46,indie electro-pop,0.695,0.758,11.0,-6.013,1.0,0.212,0.0478,0.00733,0.10300000000000001,0.33,100.01100000000001,4.0
Before the New,08UtM9Q5WDq05cOHYIBlX1,2019-06-24T19:01:59Z,The Long Way Home,2019-06-20,236160,26,Cozmoe,2krDA9qCEfYKl4QjZcruhy,545,41,,0.743,0.7120000000000001,9.0,-9.085,1.0,0.183,0.311,0.08900000000000001,0.0904,0.147,124.969,4.0
Cloudsitting,5GYIKkKwdVDoczKcd60lbv,2019-06-27T12:53:27Z,Hold On,2019-06-27,184924,17,Blonde Maze,7jKdwKEJDwdloy2X6fyk9Y,1458,46,indie electro-pop,0.6829999999999999,0.528,5.0,-10.257,1.0,0.23399999999999999,0.048,2.71e-06,0.193,0.34,100.022,4.0
Moon Funk,55gRWQhKKa4wOQMGHYfacM,2019-06-28T20:01:50Z,Moon Funk,2019-06-28,167478,32,Ellis,00CYRdkMnA0mwfy1VQPA7X,14482,53,pop edm,0.677,0.852,5.0,-5.045,1.0,0.049,0.0153,0.12,0.355,0.32799999999999996,115.103,4.0
Passionfruit,39D5bySreu47kb6bVb65Gi,2019-06-24T08:17:50Z,Passionfruit,2019-06-14,267528,23,Paper Idol,6dewigIOIcG6m1XGsG4Mc3,147,30,,0.762,0.626,7.0,-7.572,1.0,0.303,0.00279,0.000188,0.255,0.49700000000000005,109.98700000000001,4.0
The Kite (Outro),4DZkKFTYk72rhLimOITZP9,2019-06-27T12:53:34Z,Hold On,2019-06-27,165456,14,Blonde Maze,7jKdwKEJDwdloy2X6fyk9Y,1458,46,indie electro-pop,0.466,0.748,0.0,-10.831,1.0,0.0489,0.038,0.809,0.0967,0.0307,179.97,4.0
Piece of Your Heart,3jpqI5B1MppaGXOfGluHl9,2019-06-24T07:16:48Z,Piece of Your Heart,2019-05-28,163384,23,Paix,0QSJEM4SA3W2HYShuYMfbW,230,35,,0.632,0.622,1.0,-8.056000000000001,1.0,0.21100000000000002,0.184,1.17e-05,0.44,0.414,113.914,4.0
In Between,6rTayaf5TGzAfQB6OODOJd,2019-06-24T07:15:03Z,In Between,2019-06-03,172075,47,LZRD,6O2ODylN42JL651p1vcIYQ,8377,53,pop edm,0.526,0.778,0.0,-4.773,1.0,0.0616,0.0225,0.0,0.19899999999999998,0.445,106.01700000000001,4.0
Somebody Like You,0gm82JrJkAxKNM4pTibNYu,2019-06-24T08:22:17Z,Somebody Like You,2019-06-21,201998,48,Gianni Blu,7xpdGx95yjp1d4c6dViRSx,3038,47,deep groove house,,,,,,,,,,,,
The Real and No Lie,7DjqrrU9jqzFmPY76aBCiu,2019-06-24T19:02:24Z,The Long Way Home,2019-06-20,256000,36,Cozmoe,2krDA9qCEfYKl4QjZcruhy,545,41,,0.6729999999999999,0.486,8.0,-9.943999999999999,1.0,0.0642,0.37200000000000005,0.00909,0.0773,0.42,119.88799999999999,4.0
Setting Sail,3nUtunxUw00BfFWkZW0YQV,2019-06-28T07:57:25Z,Genesis,2018-08-24,195230,40,Eastern Odyssey,6vd0iw9nRnxUADUos1y3j1,3639,47,traprun,0.73,0.449,8.0,-7.234,0.0,0.0518,0.294,0.0563,0.11199999999999999,0.414,112.015,4.0
Love Again,6bIHzoGwxPmQZS2uAPyAAa,2019-06-24T07:15:03Z,Love Again,2019-06-14,174545,53,Adon,7l7IyxqOyGDSU6iF4FzisA,1169,55,"deep tropical house,tropical house",0.688,0.6779999999999999,11.0,-5.602,1.0,0.0321,0.0393,5.7100000000000006e-05,0.10800000000000001,0.389,113.12899999999999,4.0
Heaven Can Wait,6q8YtmvckE9yOtfQ9W6WUP,2019-06-24T07:15:03Z,Heaven Can Wait,2019-06-20,260519,40,Brandt,6FShVH7NfiowNaNumqeBhZ,18,29,,0.541,0.382,2.0,-9.693,1.0,0.0296,0.154,2.89e-06,0.10400000000000001,0.35100000000000003,128.819,4.0
The Long Way Home,0449BoXxYQRGbzfmWzbZpw,2019-06-24T19:02:04Z,The Long Way Home,2019-06-20,254545,26,Cozmoe,2krDA9qCEfYKl4QjZcruhy,545,41,,0.7070000000000001,0.713,8.0,-8.445,1.0,0.0561,0.134,0.0787,0.203,0.493,98.979,4.0
