track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-06-28T10:23:37Z,Higher Love,2019-06-28,228267,84,Kygo,23fqKkggKUBHNkbKtXEls4,5090662,91,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
Narcotic,7M9w4C8WenlvWfNRAulZOX,2019-06-14T11:14:08Z,Narcotic,2019-04-26,192386,74,Younotus,67ghKnycRX6VM1xfqJSMlH,4030,69,german dance,0.749,0.668,10,-5.964,0,0.0608,0.0373,0.000272,0.045,0.366,108.0,4
Kind of Blue,7nHmJXlyr4AIotI84ZnVFP,2019-07-04T23:05:26Z,Kind of Blue,2019-07-05,165733,41,Hellberg,1kgxTtyF91VaqLD3J6Krd5,41327,56,"catstep,chillstep,complextro,edm,electro house,pop edm,tracestep",0.565,0.606,1,-6.246,1,0.0703,0.566,1.26e-06,0.0442,0.626,83.571,4
Rockstar,4OgwXdylh75fHfwUzJTUqg,2019-06-21T06:44:48Z,Rockstar,2019-06-21,212280,63,Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,16744,59,,0.771,0.826,11,-3.978,1,0.0604,0.142,0.03,0.145,0.185,100.012,4
"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas)",0U6bQIAh6MCGo1xjbIIx2S,2019-07-04T23:05:26Z,"Instagram (feat. Afro Bros, Natti Natasha & Dimitri Vegas)",2019-07-05,184558,66,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2467376,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.736,0.901,11,-2.305,1,0.157,0.139,0,0.876,0.932,95.996,4
Calma - Alan Walker Remix,1aSarrHE1TK9vSmyozuo4K,2019-07-05T11:46:54Z,Calma (Alan Walker Remix),2019-06-21,193973,67,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,354928,82,latin pop,0.811,0.601,2,-6.846,1,0.117,0.0973,0,0.059,0.577,127.082,4
Sophie,66va3gYX5Tlpl0lJ10l5CM,2019-06-28T10:23:37Z,Sophie,2019-06-28,159226,49,Anstandslos & Durchgeknallt,5R8zS6ofKclznKk3ffudoO,31499,62,german pop,0.72,0.781,9,-6.856,0,0.0708,0.0246,0,0.211,0.475,124.015,4
Obsessed,4rTZbEQtDtlZZW1Ag9Umbk,2019-06-14T11:14:08Z,Obsessed,2019-03-22,208774,49,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,101387,78,edm,0.581,0.818,11,-4.412,0,0.0591,0.0648,2.63e-06,0.153,0.191,117.972,4
All In - Ostblockschlampen Mix,2zRFPRWcIBBlTvvn34sj2o,2019-07-04T23:05:26Z,All In (Ostblockschlampen Mix),2019-07-05,184413,31,Eastblock Bitches,5ujBuZtDUrPORHkAyQJTjP,4167,43,german dance,0.662,0.587,1,-6.083,1,0.0347,0.128,0,0.143,0.405,99.993,4
With You,1xK7enJZVdv37fnnxoZlPq,2019-06-14T11:14:08Z,With You,2019-06-14,180840,72,Kaskade,6TQj5BFPooTa08A7pk8AQ1,703582,75,"big room,chicago house,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house,vocal house",0.362,0.921,1,-3.815,0,0.486,0.123,0,0.19,0.529,172.191,3
