track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Sing - Charming Horses Remix,5G0HLnMFTz0DnloaH9AEPH,2019-05-03T11:56:04Z,Sing (Charming Horses Remix),2019-04-04,182413,32,Mark F. Angelo,6e5TFHHFWLHjX82Vwacq6g,515,32,,0.752,0.8809999999999999,3,-5.0680000000000005,1,0.122,0.138,0.000305,0.0644,0.68,124.051,4
Waking up Alive,4OmDYC629aN4NCQvNcds0F,2019-05-03T11:56:04Z,Waking up Alive,2019-01-18,209640,58,LIZOT,12A83CWwFiyXy90ScLWPIe,9891,59,"deep tropical house,german dance,german pop,tropical house",0.7440000000000001,0.7709999999999999,0,-3.8989999999999996,1,0.0404,0.22899999999999998,0.0,0.0919,0.54,106.02799999999999,4
Djara,62YN1hon7J0nkivI7eEDYN,2019-05-03T11:56:04Z,Djara,2019-03-01,150000,36,Rasster,3LVYHgfHgCTy3QSRt5kKQg,717,36,,0.7340000000000001,0.802,8,-2.705,1,0.0378,0.005370000000000001,0.0133,0.33899999999999997,0.428,100.05799999999999,4
High Hopes - Don Diablo Remix,1FlIzyCvRFQUE4pc7PiaIo,2019-05-03T11:56:04Z,High Hopes (Don Diablo Remix),2019-01-11,185714,67,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,6805995,88,"emo,modern rock,pop punk",0.59,0.888,5,-2.8510000000000004,1,0.0765,0.0216,0.0,0.48700000000000004,0.28800000000000003,126.094,4
Magic Potion,2AuWF6sLXEGRXp1LoyRRB0,2019-05-06T10:49:54Z,Magic Potion,2019-05-03,221714,36,STEEL,1Ecl9uVEThgbEiJWaPwF7B,71,29,,0.521,0.57,2,-7.722,1,0.0301,0.00914,0.0,0.242,0.156,104.87200000000001,4
Wherever We Are,56NKlRgDtHPdW9d4RWHKLe,2019-05-06T10:49:54Z,Wherever We Are,2019-04-05,194846,46,Newclaess,6OqSgClwQLHCr09un2NQmR,26790,47,german dance,0.615,0.7170000000000001,2,-6.517,0,0.0326,0.0907,0.0,0.16399999999999998,0.414,119.92,4
Get Up,1dRJiv2tCm4ZJ80VgiUCpn,2019-05-06T10:49:54Z,Get Up,2019-04-26,171904,30,Steve Norton,3PCnJPxTg6LT4q4vWXrxsL,390,20,,0.851,0.7959999999999999,10,-4.419,1,0.0942,0.0333,0.77,0.435,0.5670000000000001,125.993,4
Team,5Ebd3KSEL2pQwOYfoH761F,2019-05-06T10:49:54Z,Team,2019-05-02,150000,35,Pessto,2DDWrsqTqYfha6N07pwbJe,359,25,,0.637,0.9570000000000001,2,-1.686,1,0.205,0.047,0.138,0.371,0.371,127.995,4
Waste It On Me (feat. BTS) - Steve Aoki The Bold Tender Sneeze Remix,7EGA4D5eRMEgoFZZRUMowW,2019-05-03T11:56:04Z,Waste It On Me (feat. BTS) [Steve Aoki The Bold Tender Sneeze Remix],2018-12-25,179047,49,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,3071051,82,"big room,dance pop,edm,electro house,pop,tropical house",0.763,0.9359999999999999,7,-2.176,1,0.0494,0.0057799999999999995,0.00022200000000000003,0.34700000000000003,0.0359,126.008,4
Off The Grid,5STtg0bZXSoWfF20qWGxeV,2019-05-03T11:56:04Z,Off The Grid,2019-04-26,175645,58,EDX,7GMot9WvBYqhhJz92vhBp6,138185,68,"big room,deep groove house,deep house,deep tropical house,edm,electro house,house,pop edm,progressive electro house,progressive house,tech house,tropical house",0.7340000000000001,0.899,9,-4.442,0,0.0669,0.0549,3.9e-05,0.10800000000000001,0.52,124.035,4
Bipolar,07njLOX4s6NOcScO7kbAUB,2019-05-10T09:19:40Z,Bipolar,2019-05-09,172894,40,BEAUZ,2Wzb0u138rgoZQTK3ytknT,13276,54,pop edm,0.631,0.653,8,-4.348,0,0.092,0.579,5.73e-06,0.11,0.727,152.016,4
