track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
We Are Young (feat. byMIA),4PHwhFkTWtDcy0D1Vh15S1,2019-06-06T22:43:05Z,We Are Young (feat. byMIA),2019-06-07,165026,39,LIZOT,12A83CWwFiyXy90ScLWPIe,10109,59,"deep tropical house,german dance,german pop,tropical house",0.818,0.851,1,-3.502,1,0.0389,0.221,4.81e-06,0.19,0.503,105.03,4
Body 2 Body,4466tjT4xLDhIdmsMymUHk,2019-06-03T16:43:08Z,Body 2 Body,2019-05-10,145573,62,MK,1yqxFtPHKcGcv6SXZNdyT9,133876,73,"deep groove house,house,pop,tropical house",0.68,0.7709999999999999,0,-5.406000000000001,1,0.0421,0.0161,0.0,0.38799999999999996,0.67,122.023,4
Truth Never Lies,4PcK8kNYE7ElqK6hM90djg,2019-06-06T22:43:05Z,Truth Never Lies,2019-06-06,191762,13,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,1297801,77,"belgian edm,edm,pop,tropical house",0.6809999999999999,0.631,6,-8.113,0,0.0368,0.146,0.0,0.18600000000000003,0.435,119.958,4
Say What You Want,43KLa2butXjsupKiuxD1pO,2019-06-03T09:28:27Z,Say What You Want,2019-05-31,194226,51,John De Sohn,3TVjdmhfFoYJLgBEkkZTBm,63884,66,"big room,dance pop,deep pop edm,edm,progressive electro house,swedish pop,swedish tropical house,tropical house",0.6759999999999999,0.795,11,-6.2379999999999995,0,0.0326,0.00636,1.77e-05,0.204,0.833,111.045,4
Extraordinary,2IFEunnvdyUowUJp8wSQ80,2019-06-03T09:28:27Z,Extraordinary,2019-05-31,181945,20,Giorgio Gee,2uNkbVQ2yfwLDR79cYe92R,1019,32,,0.7879999999999999,0.775,10,-6.075,1,0.0649,0.0206,0.45799999999999996,0.35,0.45899999999999996,123.993,4
My Friend,3qeJ84Y6PRS9LtliOuT94Z,2019-06-03T09:28:27Z,My Friend,2019-05-31,170000,54,Yves V,47BEc2RoW53owMyxacXWdV,193063,65,"belgian edm,big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.47100000000000003,0.9109999999999999,2,-4.372,0,0.0594,0.0316,0.00648,0.5710000000000001,0.19699999999999998,126.11200000000001,4
Your Mind,5XqGyCI5sNjatuYzVu1QJS,2019-06-03T09:28:27Z,Your Mind,2019-05-27,172380,33,Evol Waves,7sBYiKWYwz0H0R1MhMMz6F,101,29,,0.59,0.985,2,-4.407,1,0.0644,0.0129,0.9229999999999999,0.35100000000000003,0.297,126.008,4
Killer - Radio Edit,04egQBSQaAsNIrgDA3Cgs4,2019-06-03T12:59:07Z,Killer (Radio Edit),2019-05-31,222148,31,Roberto Bates,7Ju871nNaFm8Nfmb2qUc60,4256,29,,0.816,0.762,10,-5.774,0,0.0501,0.004379999999999999,0.00025,0.643,0.5870000000000001,121.036,4
La Isla Bonita,3oJYe7NI7juu1HIGyyvwec,2019-06-04T15:07:34Z,La Isla Bonita,2019-05-31,206388,50,Hr. Troels,6PUFh0Oa8MkLlpkfovzKnC,216,40,,0.733,0.86,1,-3.85,0,0.12,0.102,2.7600000000000003e-05,0.11599999999999999,0.599,107.865,4
The Path,7H5kBTYT1oHzn9jGEaTjhq,2019-06-03T09:45:44Z,The Path,2019-05-31,187514,32,Blaze U,2qY02HUpBMVIy3oGX8URf1,3869,36,future house,0.581,0.907,10,-4.543,0,0.0643,0.0427,0.141,0.38799999999999996,0.141,128.04,4
Please Don't Go,0la7YuIt0UPKZmx4Q3xnqN,2019-06-03T16:43:08Z,Please Don't Go,2019-05-24,180254,50,SRTW,7vHAcPVlEDksRsCfkez2CD,3158,52,"deep tropical house,pop edm,tropical house",0.782,0.53,4,-8.349,1,0.0561,0.37799999999999995,0.0254,0.115,0.5429999999999999,119.964,4
Wherever I Go,3UJZpfU5kggL1idhkDvXe5,2019-06-03T09:45:44Z,Wherever I Go,2019-05-31,226875,40,ANG,3iGTIdf1fn9YmiiZiODGTl,6074,42,"deep big room,sky room",0.529,0.9279999999999999,9,-4.164,1,0.134,0.37200000000000005,0.0,0.318,0.32299999999999995,128.043,4
Pretty Can't You See,2EhmTRmQjesYboIPWLMffw,2019-06-03T09:37:07Z,Pretty Can't You See,2019-05-31,172258,24,Jasted,0ceAkUWB6kvxGNLvHiSqf2,745,36,future house,0.725,0.9690000000000001,2,-2.6039999999999996,1,0.132,0.114,0.0591,0.107,0.48,123.939,4
Echos In My Mind - Blondee & Roberto Mozza Remix,3pyNakMVEM4MqbEg6DaCGo,2019-06-06T22:51:54Z,Echos In My Mind,2019-06-07,220645,17,Kaleidoskop,56fCvFAx0YtbbhwPvpuFUW,85,9,austrian hip hop,0.652,0.767,9,-6.19,1,0.0643,0.0302,0.00372,0.27399999999999997,0.14400000000000002,123.963,4
Future Memories (Official Anthem Secret Island 2019) (feat. Bella) - Radio Edit,2bpsrY5BsaKdadtSzFjArh,2019-06-03T09:28:27Z,Future Memories (Official Anthem Secret Island 2019) (feat. Bella),2019-05-31,162685,35,Chris Armada,4og82NHzHSH3rx8J7sF98l,383,40,,0.745,0.763,11,-4.7010000000000005,0,0.0996,0.0173,6.7e-05,0.10099999999999999,0.555,108.00200000000001,4
