track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Some Of It,3d1qN7AHge6BXuVPutcpI5,2019-07-26T19:09:29Z,Desperate Man,2018-10-05,195146,71,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,2114285,76,"contemporary country,country,country road,modern country rock",0.56,0.736,0,-7.306,1,0.0446,0.341,9.81e-06,0.155,0.824,79.843,4
The Ones That Didn’t Make It Back Home,20vIaD2DFOxGqDvN0dlMEH,2019-07-26T19:09:29Z,The Ones That Didn’t Make It Back Home,2018-10-12,191018,70,Justin Moore,30e8DmahrEamvLbFRPdWmk,973450,70,"arkansas country,contemporary country,country,country road,modern country rock,redneck",0.537,0.784,3,-4.869,1,0.034,0.0979,0,0.224,0.468,137.995,4
Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,2019-07-26T19:09:29Z,Knockin' Boots,2019-03-29,199382,76,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,4279130,80,"contemporary country,country,country road",0.739,0.682,2,-3.728,1,0.205,0.129,0,0.328,0.634,131.983,4
Talk You Out Of It,2jul6zd5hZoCZvYZ4f4T2t,2019-07-26T19:09:29Z,Florida Georgia Line,2018-08-24,202920,20,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,3022847,84,"contemporary country,country,country pop,country road,modern country rock",0.652,0.712,4,-4.588,1,0.0388,0.596,0,0.0814,0.553,120.063,4
Southbound,7qXPZxXn6Xmv1sjh03skiW,2019-07-26T19:09:29Z,Cry Pretty,2018-09-14,202853,68,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,3439296,75,"contemporary country,country,country dawn,dance pop,pop,post-teen pop",0.614,0.884,0,-4.019,1,0.0402,0.00122,0,0.077,0.721,100.531,4
What Happens In A Small Town,3g9OCNXY2aSbGRQGY17qVE,2019-07-26T19:09:29Z,What Happens In A Small Town,2018-12-14,202586,69,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,1602178,73,"contemporary country,country,country road,modern country rock",0.496,0.775,11,-5.304,1,0.0411,0.000927,0,0.14,0.478,138.165,4
Living,54K7AZoGpQklpygKrxZlKN,2019-07-26T19:09:29Z,The Mountain,2018-06-08,222146,71,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,1865422,74,"contemporary country,country,country road,modern country rock",0.517,0.813,1,-6.325,1,0.0558,0.0153,0,0.106,0.444,83.005,4
We Were,6JOeNbZ3X6dtXusG3hkHn8,2019-07-26T19:09:29Z,We Were,2019-05-14,189104,69,Keith Urban,0u2FHSq3ln94y5Q57xazwf,3216459,75,"australian country,contemporary country,country,country road",0.44,0.803,5,-6.162,1,0.0512,0.127,0,0.128,0.633,79.312,4
Back To Life,7Lr4XaxGpkAwa37IVgg22k,2019-07-26T19:09:29Z,Back To Life,2018-09-28,214218,67,Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,1956353,74,"contemporary country,country,country road",0.467,0.701,4,-4.997,1,0.0302,0.191,0,0.0769,0.28,132.041,3
What If I Never Get Over You,1kqVSbwdlNKsPGv0aehcAZ,2019-07-26T19:09:29Z,What If I Never Get Over You,2019-05-17,206230,71,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,2549106,72,"contemporary country,country,country dawn,country pop,country road,neo mellow",0.58,0.725,0,-5.124,1,0.0273,0.016,0,0.107,0.369,93.014,4
Mr. Lonely,3sEa95MTLJ8JcoP5A97bWl,2019-07-26T19:09:29Z,Mr. Lonely,2019-03-29,179135,59,Midland,1DTZRmlVZBxx2wRQBtx6yi,92993,66,neo-traditional country,0.594,0.859,4,-5.004,1,0.0365,0.0328,4.68e-06,0.426,0.851,149.929,4
Closer To You,7xELq8WliIctkuvWXONX6d,2019-07-26T19:09:29Z,Closer To You,2018-11-02,187321,68,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,82781,62,"contemporary country,country pop",0.662,0.685,4,-4.561,0,0.0302,0.125,0,0.0961,0.447,111.964,4
Heartache Medication,6ZvAXIWw3rw8WR0Xlmifri,2019-07-26T19:09:29Z,Heartache Medication,2019-05-20,209109,64,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,786002,75,"contemporary country,country,country road,modern country rock",0.621,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075,4
Remember You Young,3LK6wDkhbTyg8GhJidU9oC,2019-07-26T19:09:29Z,Center Point Road,2019-05-31,180466,63,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,2785871,81,"contemporary country,country,country road,modern country rock",0.396,0.51,6,-6.274,1,0.0327,0.355,0,0.113,0.299,113.994,4
I Don't Remember Me (Before You),6xrREPyyC5KESDhWfwqHiN,2019-07-26T19:09:29Z,Port Saint Joe,2018-04-20,192680,63,Brothers Osborne,39NR3AUhpbbqKM33vWn2fp,490168,69,"contemporary country,country,country road,modern country rock,modern southern rock",0.614,0.614,4,-7.497,0,0.0314,0.104,3.59e-05,0.104,0.598,146.03,4
Slow Dance In A Parking Lot,6MBUUSIWCzaXW4q58Ktrv9,2019-07-26T19:09:29Z,Home State,2018-03-23,193929,63,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,137444,70,"contemporary country,country road",0.523,0.837,7,-4.494,1,0.0335,0.301,0,0.172,0.523,82.006,4
After A Few,1z6wl2rwKatfmza6usanWw,2019-07-26T19:09:29Z,After A Few,2019-01-18,213493,58,Travis Denning,6CegFHnUqJcOBipgphZ2CJ,7025,57,country pop,0.617,0.849,10,-4.316,0,0.0355,0.0146,0,0.194,0.695,106.998,4
Catch,53cGGBxGPaRjP0HVUESyW5,2019-07-26T19:09:29Z,Ticket To L.A.,2018-12-07,196440,61,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,396227,74,contemporary country,0.566,0.765,2,-6.337,1,0.0439,0.0248,0,0.0783,0.604,156.036,4
