track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
It All Comes Out in the Wash,5QZFaimQx9Hgv0hZQp9hpp,2019-07-18T15:10:04Z,It All Comes Out in the Wash,2019-07-18,214786,52,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,1933374,70,"contemporary country,country,country dawn,country road,modern country rock",0.602,0.73,0,-4.925,1,0.0314,0.00106,0.000115,0.095,0.923,164.027,4
Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,2019-07-18T15:10:04Z,The Prequel - EP,2019-06-07,186800,71,Luke Combs,718COspgdWOnwOFpJHRZHS,1451010,84,"contemporary country,country road",0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0871,0.64,77.0,4
GIRL,3y5B5ebFMzEEFqCPOesAXR,2019-07-18T15:10:04Z,GIRL,2019-03-08,250653,73,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,354081,80,contemporary country,0.44,0.793,6,-3.95,1,0.0502,0.0677,0,0.0788,0.447,143.599,4
Like a Rodeo,6RZmbKPtcieEcQJMcOEXZU,2019-07-18T15:10:04Z,Experiment,2019-07-12,201730,66,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,1677937,83,"contemporary country,country road",0.67,0.661,3,-6.798,0,0.0466,0.704,0,0.217,0.425,119.985,4
Town Ain't Big Enough,5DrmJ25aHuPBImk1kLp5Of,2019-07-18T15:10:04Z,Town Ain't Big Enough,2019-07-12,171800,58,Chris Young,4BYxqVkZyFjtik7crYLg5Q,1498960,73,"contemporary country,country,country road,modern country rock",0.441,0.826,6,-4.175,1,0.04,0.0638,0.00162,0.0944,0.577,75.982,4
Locomotive,2U6wOtqEUHJ15J5pjdBHkC,2019-07-18T15:10:04Z,It All Comes Out in the Wash,2019-07-18,193893,42,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,1933374,70,"contemporary country,country,country dawn,country road,modern country rock",0.568,0.967,4,-2.678,1,0.0799,0.00188,0.00206,0.361,0.686,107.378,4
One Man Band,3ksmU0DaEUMEVzx5V6cc3z,2019-07-18T15:10:04Z,Old Dominion,2019-01-18,186520,73,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,534926,75,"contemporary country,country road",0.705,0.363,6,-8.327,1,0.0355,0.667,0,0.112,0.482,75.98,4
One Thing Right - feat. Kane Brown,4hPpVbbakQNv8YTHYaOJP4,2019-07-18T15:10:04Z,One Thing Right (feat. Kane Brown),2019-06-21,181823,87,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14230552,91,"brostep,progressive electro house",0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
Good Time,5EmRdnYpBnMWFu8PLGxYYj,2019-07-20T14:17:45Z,Good Time,2019-07-19,213486,23,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,206,20,,0.791,0.64,5,-5.876,1,0.0468,0.134,0,0.371,0.616,138.043,4
To a T,64wjSAPLRnrjNByQCxnX3u,2019-07-18T15:10:04Z,To a T,2019-01-04,178813,70,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw,46872,64,"contemporary country,country pop,modern country rock",0.687,0.641,11,-5.814,1,0.03,0.17,0,0.111,0.663,120.04,4
Thought About You,7kCXmYJeltdnCMMsfwaCsf,2019-07-18T15:10:04Z,Thought About You,2018-10-04,225694,18,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,2761825,76,"contemporary country,country,country road",0.563,0.745,2,-4.753,1,0.0288,0.24,4.96e-05,0.11,0.28,121.015,4
Love That,4o4duy4v22J4GdvA45xNz0,2019-07-18T15:10:04Z,Seaforth,2018-11-16,190093,10,Seaforth,1ryJB2bhfYjjIt8kqy4BoG,3632,54,country pop,0.583,0.802,0,-6.242,0,0.0399,0.206,4.37e-06,0.328,0.448,101.975,4
Homesick,3Z6ZB2rAjuqsErN2gWzojW,2019-07-18T15:10:04Z,Experiment,2018-11-09,205400,65,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,1677937,83,"contemporary country,country road",0.701,0.5,8,-8.82,1,0.0303,0.46,0,0.234,0.409,97.028,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-07-18T15:10:04Z,Old Town Road,2019-04-05,157066,95,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,624391,93,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Even Though I'm Leaving,3sVLgsSTHRu483w6QciloO,2019-07-18T15:10:04Z,The Prequel - EP,2019-06-07,225253,73,Luke Combs,718COspgdWOnwOFpJHRZHS,1451010,84,"contemporary country,country road",0.547,0.743,2,-6.064,1,0.0323,0.235,0,0.231,0.647,77.9,4
The Bones,3npzogdOEiVsieXmmhBepL,2019-07-18T15:10:04Z,GIRL,2019-03-08,197293,77,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,354081,80,contemporary country,0.612,0.57,11,-6.642,0,0.0347,0.279,0,0.0963,0.335,77.004,4
