track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-05-24T18:03:50Z,If I Can't Have You,2019-05-03,190800,94,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,16760281,92,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-05-24T18:03:50Z,Sucker,2019-03-01,181040,95,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2202811,86,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-05-24T18:03:50Z,SOS,2019-04-10,157202,95,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13378164,90,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,2019-05-24T18:03:50Z,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2019-02-28,158027,88,benny blanco,5CiGnKThu5ctn9pBxv7DGa,246541,84,"dance pop,pop,tropical house",0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-05-24T18:03:50Z,ME!,2019-04-26,193040,94,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19970021,92,"dance pop,pop,post-teen pop",0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-24T18:03:50Z,I Don't Care (with Justin Bieber),2019-05-10,219946,97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44454221,95,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Nightmare,340UVheS8z3ncW9TTUhAbc,2019-05-24T18:03:50Z,Nightmare,2019-05-17,231998,84,Halsey,26VFTg2z8YR0cCuwLzESi2,6240402,92,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,4
Easier,4tNXntkAzQ5A2dfYRYGIIQ,2019-05-24T18:03:50Z,Easier,2019-05-23,157492,0,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4625765,86,"boy band,dance pop,pop,post-teen pop",0.648,0.433,2,-5.533,0,0.147,0.496,0,0.0996,0.614,87.997,4
MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-05-24T18:03:50Z,MONOPOLY,2019-04-01,158586,85,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,29609194,97,"dance pop,pop,post-teen pop",0.892,0.507,0,-8.282,1,0.378,0.704,3.14e-05,0.109,0.695,143.96,4
Diva (with Swae Lee & Tove Lo),7sxA24QDCYRSEUQqEAsaKR,2019-05-24T18:03:50Z,Diva (with Swae Lee & Tove Lo),2019-05-10,165600,70,Aazar,7oNtf1MwhHcyXRsYXE1WsG,20045,61,electronic trap,0.694,0.717,5,-5.468,0,0.0467,0.0674,0,0.143,0.306,100.063,4
Superhuman,4baWaXmm0BFFT3Qe3uSvs9,2019-05-24T18:03:50Z,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,2019-05-24,237853,0,NCT 127,7f4ignuCJhLXfZ9giKT7rH,1379206,74,k-pop,0.679,0.797,2,-4.627,1,0.338,0.0438,0,0.0748,0.609,117.018,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-05-24T18:03:50Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7938722,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Con Calma - Remix,4au7FRcgZzChASRYu279xH,2019-05-24T18:03:50Z,Con Calma (Remix),2019-04-19,181280,83,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,11110905,94,"latin,latin hip hop,pop,reggaeton,tropical",0.736,0.868,8,-3.01,0,0.0454,0.166,1.48e-06,0.0419,0.613,94.026,4
Kill This Love,3VHrwffnUZFb7FidvPV3OA,2019-05-24T18:03:50Z,Kill This Love,2019-04-04,189052,65,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,6925456,88,k-pop,0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,4
Wow. - Remix,3IKRHd9ihUdGffgz4Mbgv0,2019-05-24T18:03:50Z,Wow. (Remix),2019-03-15,170053,56,Post Malone,246dkjvS1zLTtiykXe5h60,13969184,96,"pop,rap",0.797,0.64,11,-6.272,0,0.194,0.148,0,0.209,0.486,100.002,4
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-05-24T18:03:50Z,Ivy To Roses (Mixtape),2019-01-18,178480,93,Mabel,1MIVXf74SZHmTIp4V4paH4,243435,83,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-05-24T18:03:50Z,Rescue Me,2019-05-17,158899,80,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,7611064,84,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,2019-05-24T18:03:50Z,What I Like About You (feat. Theresa Rex),2019-03-22,220396,86,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,1930649,85,"dance pop,edm,pop,tropical house,uk dance",0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,4
Gimme,14BPKhtTkVVTwSfWslRJW9,2019-05-24T18:03:50Z,Gimme,2019-04-29,219493,71,BANKS,2xe8IXgCTpwHE3eA9hTs4n,766917,69,"alternative r&b,dance pop,electropop,indie poptimism,indie r&b,indietronica,pop,r&b,tropical house,vapor soul",0.759,0.621,2,-5.233,0,0.0866,0.508,4.49e-05,0.265,0.612,120.053,4
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-05-24T18:03:50Z,Here With Me,2019-03-08,156346,92,Marshmello,64KEffDW9EtZ1y2vBYgq8T,12164091,92,"brostep,egyptian pop,progressive electro house",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4
U Was At The Club (Bottoms Up),4CIMIZRcwllSonMlzr5wd2,2019-05-24T18:03:50Z,U Was At The Club (Bottoms Up),2019-04-19,196400,68,The Boyboy West Coast,5CsBiyjBzZ8ZWwEpcMg5fy,10315,57,,0.845,0.791,3,-3.674,1,0.161,0.0186,0.107,0.0957,0.843,117.987,4
Too Much,4wpQYSyuaEMCoIC5GCdZPR,2019-05-24T18:03:50Z,Too Much,2019-05-09,197093,65,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,3377068,79,"canadian pop,dance pop,electropop,indie poptimism,pop,post-teen pop,r&b",0.733,0.522,5,-6.853,1,0.0593,0.0603,0,0.097,0.729,179.837,4
Joy,3QpkbrYXtlU3LRJu3sTK6V,2019-05-24T18:03:50Z,Joy,2019-05-02,192522,77,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,3537331,85,"metropopolis,modern rock,pop",0.559,0.915,9,-4.811,1,0.132,0.222,0,0.113,0.361,117.914,4
Fade Out,20XjdVfh6kFATmgm7T0C5r,2019-05-24T18:03:50Z,Fade Out,2019-05-15,196666,65,Seeb,5iNrZmtVMtYev5M9yoWpEq,123962,77,"dance pop,edm,norwegian pop,pop,pop edm,tropical house",0.706,0.68,4,-4.65,0,0.0424,0.118,0,0.0443,0.728,105.977,4
Highway to Heaven,0tzcpUsYfyvGHH0IB7gLUj,2019-05-24T18:03:50Z,Highway to Heaven,2019-05-14,200573,63,NCT 127,7f4ignuCJhLXfZ9giKT7rH,1379206,74,k-pop,0.642,0.729,6,-5.005,1,0.056,0.0297,0,0.102,0.536,112.966,4
"A Whole New World (End Title) - From ""Aladdin""",1iWHabUgUuuKLBa0TzTHfk,2019-05-24T18:03:50Z,"A Whole New World (End Title) [From ""Aladdin""]",2019-05-09,242956,83,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,7857197,84,"dance pop,pop,post-teen pop",0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,4
Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,2019-05-24T18:03:50Z,Good Things Fall Apart (with Jon Bellion),2019-05-13,216668,73,ILLENIUM,45eNHdiiabvmbp4erw26rg,558105,77,"edm,pop,pop edm,tropical house",0.641,0.609,2,-5.489,1,0.0307,0.0143,0,0.123,0.453,144.034,4
Get Stüpid,4PMLEEYw4mblYsPlDSHKyu,2019-05-24T18:03:50Z,Crystalline,2019-04-05,172800,68,bülow,5vBrKGOjN10BMwB0cJADj4,85798,75,"electropop,indie cafe pop,indie poptimism,pop",0.843,0.797,11,-4.597,0,0.0419,0.202,0.000117,0.0822,0.613,109.973,4
All Day And Night - Jax Jones & Martin Solveig Present Europa,33CfD8UkDEcSdAP9j4QpUY,2019-05-24T18:03:50Z,All Day And Night,2019-03-28,169303,81,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,475855,79,"dance pop,edm,house,pop,tropical house,uk dance",0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,4
Future (with Quavo),5EIh8I3PpZItdLg6R8KgIM,2019-05-24T18:03:50Z,Future (with Quavo),2019-05-17,233801,66,Madonna,6tbjWDEIzxoDsBA1FuhfPW,3050763,81,"dance pop,pop,pop rock",0.687,0.859,1,-2.396,0,0.0889,0.456,0,0.132,0.653,158.031,4
all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,2019-05-24T18:03:50Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,168839,88,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7938722,100,"electropop,pop",0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,4
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,2019-05-24T18:03:50Z,Sunflower (Spider-Man: Into the Spider-Verse),2018-10-18,158053,42,Post Malone,246dkjvS1zLTtiykXe5h60,13969184,96,"pop,rap",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,4
Undrunk,5SHhPFh68OhUmuRPymKX9d,2019-05-24T18:03:50Z,Undrunk,2019-01-25,183428,80,FLETCHER,5qa31A9HySw3T7MKWI9bGg,84547,71,"dance pop,electropop,indie cafe pop,indie poptimism,pop,post-teen pop",0.679,0.572,5,-6.703,1,0.0781,0.455,2.41e-06,0.127,0.542,92.859,4
Tough Love,4XZxalvnG4Yo8YZLuiT1kV,2019-05-24T18:03:50Z,Tough Love,2019-05-09,191248,84,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13378164,90,"big room,edm,pop",0.402,0.754,8,-4.837,1,0.0432,0.143,0,0.358,0.621,108.17,4
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-05-24T18:03:50Z,Dancing With A Stranger (with Normani),2019-01-11,171029,92,Sam Smith,2wY79sveU1sp5g7SokKOiI,8519797,90,"pop,post-teen pop",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-05-24T18:03:50Z,Piece Of Your Heart,2019-02-01,152913,82,MEDUZA,0xRXCcSX89eobfrshSVdyu,9838,77,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
