track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-07-26T19:09:26Z,Happiness Begins,2019-06-07,183000,86,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2641248,88,"boy band,dance pop,pop,post-teen pop",0.795,0.496,0,-5.882999999999999,1,0.0722,0.10800000000000001,0.0,0.0645,0.8740000000000001,94.01,4
Hold The Line (feat. A R I Z O N A),6EBlOYNcZ8MrdEov9lEdV6,2019-07-26T19:09:26Z,TIM,2019-06-06,171785,74,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14290387,90,"big room,edm,pop",0.648,0.5539999999999999,9,-7.005,1,0.0341,0.32899999999999996,2.56e-05,0.0803,0.37200000000000005,98.045,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-07-26T19:09:26Z,I Don't Care (with Justin Bieber),2019-05-10,219946,95,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010705,100,"pop,uk pop",0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4
Glitter & Gold,1Mf27cnAF1Q6Ko83XTM5d1,2019-07-26T19:09:26Z,The Attractions Of Youth,2017-09-29,176093,64,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,217627,67,"modern alternative rock,modern rock",0.48700000000000004,0.625,8,-5.112,1,0.0401,0.374,0.0,0.226,0.35100000000000003,170.39700000000002,4
Summertime In Paris,6XNANAB7sFvkfho6bMCp7o,2019-07-26T19:09:26Z,ERYS (Deluxe),2019-07-05,270960,70,Jaden,0xOeVMOz2fVg5BJY3N6akT,859639,81,"hip hop,pop,pop rap,rap",0.569,0.86,9,-4.1160000000000005,1,0.043,0.135,0.0,0.153,0.289,90.93700000000001,4
Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,2019-07-26T19:09:26Z,Sad Song (feat. TINI),2019-06-14,154024,77,Alesso,4AVFqumd2ogHFlRbKIjp1t,2906964,80,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.7340000000000001,0.693,0,-6.474,1,0.0361,0.0878,0.0,0.341,0.55,110.021,4
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-07-26T19:09:26Z,Here With Me,2019-03-08,156346,85,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14467018,91,"brostep,progressive electro house",0.7909999999999999,0.565,5,-3.9330000000000003,0,0.0439,0.0623,0.0,0.156,0.18100000000000002,99.961,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-07-26T19:09:26Z,TIM,2019-06-06,277261,86,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14290387,90,"big room,edm,pop",0.5920000000000001,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,4
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,2019-07-26T19:09:26Z,"thank u, next",2019-02-08,190440,84,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,32996609,93,"dance pop,pop,post-teen pop",0.726,0.5539999999999999,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.99900000000002,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-07-26T19:09:26Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,95,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10974612,97,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4
Contra La Pared,37eGbhE1xVFSvcKkqGb6i1,2019-07-26T19:09:26Z,Contra La Pared,2019-03-14,224680,85,Sean Paul,3Isy6kedDrgPYoTS1dazA9,2553247,85,"dance pop,dancehall",0.828,0.588,2,-7.14,1,0.11800000000000001,0.0156,0.0,0.124,0.598,94.052,4
