track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",3IPnBzGRMg6BfViFxxa0Gq,2019-05-18T00:52:35Z,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2013-01-01,124733,67,Kristen Bell,2kHxkdiKCSnHMkhIgFBZaI,26830,66,"disney,hollywood,movie tunes",0.737,0.637,6,-6.308,0,0.0735,0.262,0,0.319,0.537,100.033,4
"A Whole New World (End Title) - From ""Aladdin""",1iWHabUgUuuKLBa0TzTHfk,2019-05-18T00:52:35Z,"A Whole New World (End Title) [From ""Aladdin""]",2019-05-09,242956,80,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,7797282,84,"dance pop,electropop,pop,post-teen pop",0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,4
How Far I'll Go,6mb6lVLNrcUgLnEN8QnDJd,2019-05-18T00:52:35Z,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,163386,74,Auli'i Cravalho,5mnS9jJdKQQcRSqFu5YPVe,33370,69,"disney,hollywood,movie tunes,show tunes",0.576,0.319,4,-10.934,1,0.0518,0.603,0,0.173,0.0921,83.632,4
You're Welcome,6U4VqEHy4n5VeiH4pQPL24,2019-05-18T00:52:35Z,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,163893,73,Dwayne Johnson,1T8S48bD91THNKBByWBDyn,9858,63,,0.782,0.751,5,-7.023,1,0.28,0.278,0,0.0367,0.688,135.277,4
"I Just Can't Wait to Be King - From ""The Lion King""/Soundtrack Version",0qxtQ8rf3W1nId3D2r0xH4,2019-05-18T00:52:35Z,The Lion King,1994-01-01,170880,69,Jason Weaver,5UdPkKWd8YNR5xGcmqH9QJ,3943,64,movie tunes,0.625,0.52,6,-14.213,1,0.0586,0.294,5.99e-05,0.0951,0.902,98.819,4
"A Whole New World - From ""Aladdin"" / Soundtrack Version",1hwdPQtFHISvZ9SXMkNrIK,2019-05-18T00:52:35Z,Aladdin Special Edition,2004-01-01,160800,67,Lea Salonga,1GlMjIezcLwV3OFlX0uXOv,84237,66,"hollywood,movie tunes,tagalog worship",0.284,0.24,0,-15.607,1,0.0385,0.831,5.79e-06,0.104,0.157,124.805,4
"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",28UMEtwyUUy5u0UWOVHwiI,2019-05-18T00:52:35Z,Mulan,1998-01-01,201680,66,Donny Osmond,5ZEAzHE2TzAwUcOj6jMIgf,38720,61,"bubblegum pop,movie tunes",0.656,0.33,7,-17.503,1,0.0372,0.133,0.000109,0.0664,0.519,113.845,4
"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,2019-05-18T00:52:35Z,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),2013-01-01,223840,70,Idina Menzel,73Np75Wv2tju61Eo9Zw4IR,192163,70,"broadway,christmas,hollywood,movie tunes,show tunes",0.541,0.485,8,-6.85,1,0.031,0.558,0,0.12,0.369,136.956,4
"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",03xWMkKEbeO4SnylA53ipj,2019-05-18T00:52:35Z,Tangled,2010-01-01,152333,66,Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,365716,67,"dance pop,europop,hollywood,movie tunes,neo mellow,post-teen pop",0.673,0.42,4,-7.581,1,0.0317,0.112,0,0.0897,0.385,108.066,4
Kiss the Girl - Remastered 2014,75VAFZAhvPSw1euEHg1fQU,2019-05-18T00:52:35Z,Walt Disney Records The Legacy Collection: The Little Mermaid,2014-12-15,160880,62,Samuel E. Wright,6Id8rcDNyBXPcgKQVfQ8rX,20821,63,"disney,movie tunes",0.665,0.237,0,-15.65,1,0.053,0.745,1.06e-06,0.203,0.693,134.92,4
"In Summer - From ""Frozen""/Soundtrack Version",4dT14t0kG0bPlHzAp2Sx9k,2019-05-18T00:52:35Z,Frozen (Original Motion Picture Soundtrack),2013-01-01,110986,59,Josh Gad,4dSQICBjdUIp5iK6RRU2bY,10441,63,"broadway,comic,hollywood,movie tunes,show tunes",0.5,0.342,7,-9.536,1,0.175,0.536,0,0.59,0.684,77.124,1
"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",5E8yddtSG3sH4hw2SfwcgW,2019-05-18T00:52:35Z,The Lion King,1994-01-01,177786,66,Joseph Williams,5xk0kRuXn1zToTHpHAqpui,9977,62,"disney,movie tunes",0.296,0.132,5,-19.311,1,0.0719,0.808,0,0.543,0.477,166.765,3
"I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version",3Dupb5AcaVFErlSSfl3szW,2019-05-18T00:52:35Z,Disney's Greatest Volume 1,2001-01-01,140093,62,Susan Egan,7CckquWatDQSr3PFKkjM8M,9698,58,"broadway,hollywood,movie tunes,show tunes",0.684,0.471,0,-9.43,1,0.043,0.208,0,0.14,0.453,121.081,4
Where You Are,2bwSCIuNtVrQPVddCi8sOW,2019-05-18T00:52:35Z,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,210320,68,Christopher Jackson,6sLwRSXSUF5JTUnQaFenyj,18539,67,"hollywood,show tunes",0.629,0.652,4,-9.26,1,0.191,0.709,0,0.172,0.716,117.918,4
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",5J4pDyvjRrYfcgHetKjKSj,2019-05-18T00:52:35Z,The Little Mermaid,1997-01-01,195493,68,Jodi Benson,4mmMtabvFCKA6HfmVmitNH,19810,59,"disney,movie tunes",0.367,0.138,5,-15.189,1,0.0365,0.92,0.000215,0.281,0.342,89.357,1
"You've Got a Friend in Me - From ""Toy Story""/Soundtrack Version",2stkLJ0JNcXkIRDNF3ld6c,2019-05-18T00:52:35Z,Toy Story,1995-01-01,124160,66,Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,103922,64,"disney,movie tunes,singer-songwriter",0.681,0.335,3,-12.151,1,0.0336,0.793,3.39e-06,0.285,0.532,115.883,4
