track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Overload,0StFaoK4OGr6NP92qQQTFi,2019-05-03T14:40:43Z,Overload,2019-05-03,189998,41,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,54519,59,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,sky room",0.511,0.848,11,-4.583,0,0.0526,0.00659,0.439,0.0923,0.29,124.93799999999999,4
TIME - Alesso & Deniz Koyu Remix,6EHfy60U5dH5QJcQKdbNPQ,2019-05-03T14:02:25Z,TIME (Alesso & Deniz Koyu Remix),2019-05-03,234240,58,Alesso,4AVFqumd2ogHFlRbKIjp1t,2752928,80,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.718,0.6559999999999999,0,-5.78,1,0.0388,0.000139,0.23199999999999998,0.059000000000000004,0.261,124.964,4
Honey,0R0o8ASFnjFUKi3uoPzgen,2019-04-26T07:40:54Z,Honey,2019-04-26,200059,50,DMNDS,0U3b0BjITtQHwjwBVtiGcO,34,37,,0.701,0.9079999999999999,5,-4.499,0,0.0533,0.0011,6.36e-05,0.614,0.18100000000000002,124.039,4
God Only Knows (R3HAB Remix),7CTyBvcRHWso8oUcvyNkLt,2019-04-26T17:43:57Z,God Only Knows (R3HAB Remix),2019-04-26,155000,62,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,467231,69,"anthem worship,ccm,christian alternative rock,christian indie,christian music,world worship,worship",0.542,0.695,11,-7.566,0,0.0559,0.19,0.000184,0.515,0.435,144.007,4
Girl in Red,6eBZGUGriVK8RHYjbk6Xu4,2019-04-19T13:42:47Z,Girl in Red,2019-04-19,155547,47,Dastic,1wdU1J2NHzcDYarT7jEU2A,18591,52,"deep big room,electro house,pop edm",0.7070000000000001,0.8690000000000001,6,-3.61,1,0.0415,0.0903,0.00588,0.0895,0.23199999999999998,127.986,4
Higher Ground - Pt. 1,0M5VartkvnducIg0GYqM84,2019-04-19T13:40:48Z,Higher Ground (Pt. 1),2019-04-19,192380,44,Quentyn,5bYML8xTIbwYZg5e3izzjl,6954,45,,0.61,0.6409999999999999,7,-6.36,1,0.10800000000000001,0.0844,1.13e-05,0.42,0.359,126.01,4
One Day (feat. ROZES),156z1HK87SEXLnMuK8gdqT,2019-03-29T11:24:46Z,One Day (feat. ROZES),2019-03-29,147540,64,Sam Feldt,20gsENnposVs2I4rQ5kvrf,348647,76,"big room,dance pop,deep tropical house,edm,electro house,pop,pop edm,tropical house",0.6679999999999999,0.858,8,-4.048,1,0.0431,0.18100000000000002,0.0,0.34,0.332,122.08200000000001,4
Bounce,6LwlxrRkPPt0AgX9NPTK0U,2019-05-03T14:53:07Z,Bounce,2019-05-03,213333,48,Firebeatz,53YSn9tHwGJ6bq5P0gGoYo,414177,63,"big room,dance pop,deep big room,dutch house,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.742,0.779,1,-5.019,1,0.0829,0.0139,0.457,0.105,0.366,126.031,4
Hungover You,769OywRyTkW4i5l3K3vMUv,2019-04-19T12:58:13Z,Hungover You,2019-04-19,213746,52,LIZOT,12A83CWwFiyXy90ScLWPIe,9891,59,"deep tropical house,german dance,german pop,tropical house",0.725,0.6759999999999999,1,-5.279,0,0.18600000000000003,0.0293,0.0,0.0983,0.375,100.072,4
Feel Alive,7F5fy8py8jbzCLxPfIt7dF,2019-05-10T12:21:27Z,Feel Alive,2019-05-10,170617,22,Jack & James,5wtxbzgYhdnCUNb3z4ulUA,1518,30,,0.701,0.5870000000000001,0,-6.2620000000000005,0,0.0378,0.0225,0.0026,0.23800000000000002,0.47200000000000003,127.96600000000001,4
Dance (feat. HYM & Jona Selle),3D1HS330ITnaTIV1RTFJ0L,2019-03-29T14:38:07Z,Dance (feat. HYM & Jona Selle),2019-03-29,195386,48,Freischwimmer,185m2EJWTIm36MdqguiU8T,5898,49,german dance,0.725,0.84,7,-3.833,0,0.0752,0.0718,0.0,0.138,0.5660000000000001,119.99,4
